"Jahr";"Quartal";"Monat";"Betriebsart";"Tourismus_Ankünfte";"Tourismus_Übernachtungen";"Tourismus_Betriebe";"Tourismus_Betten"
"2001";"1. Quartal";"02";"sonstige";196;1446;4;107
"2001";"1. Quartal";"03";"Hotels";61831;126735;67;10867
"2001";"1. Quartal";"03";"Hotels garni";9057;19953;23;2062
"2001";"1. Quartal";"03";"Gasthöfe";834;1902;10;204
"2001";"1. Quartal";"03";"Pensionen";1872;4945;31;676
"2001";"1. Quartal";"03";"Jugendherbergen";4340;10188;5;675
"2001";"1. Quartal";"03";"sonstige";347;1586;5;167
"2001";"2. Quartal";"04";"Hotels";77714;172116;68;11341
"2001";"2. Quartal";"04";"Hotels garni";12346;28146;23;2062
"2001";"2. Quartal";"04";"Gasthöfe";1313;2744;12;247
"2001";"2. Quartal";"04";"Pensionen";2633;6687;33;721
"2001";"2. Quartal";"04";"Jugendherbergen";6956;15687;6;764
"2001";"2. Quartal";"04";"sonstige";412;2032;5;167
"2001";"2. Quartal";"05";"Hotels";98421;219899;68;11339
"2001";"2. Quartal";"05";"Hotels garni";16099;36645;23;2062
"2001";"2. Quartal";"05";"Gasthöfe";1333;2567;12;247
"2001";"2. Quartal";"05";"Pensionen";3069;8044;33;734
"2001";"2. Quartal";"05";"Jugendherbergen";7103;16591;6;764
"2001";"2. Quartal";"05";"sonstige";473;1978;5;167
"2001";"2. Quartal";"06";"Hotels";92569;198867;68;11339
"2001";"2. Quartal";"06";"Hotels garni";14872;32990;23;2062
"2001";"2. Quartal";"06";"Gasthöfe";1216;2767;12;247
"2001";"2. Quartal";"06";"Pensionen";2749;6928;33;734
"2001";"2. Quartal";"06";"Jugendherbergen";7273;16035;6;764
"2001";"2. Quartal";"06";"sonstige";535;1911;5;167
"2001";"3. Quartal";"07";"Hotels";72514;156060;67;11289
"2001";"3. Quartal";"07";"Hotels garni";11891;26343;23;2062
"2001";"3. Quartal";"07";"Gasthöfe";1180;2906;12;241
"2001";"3. Quartal";"07";"Pensionen";2332;5817;36;852
