"Jahr";"Herkunftsland_37Auspr";"Herkunftsland_24Auspr";"Herkunftsland_05Auspr";"Herkunftsland_D/A";"Tourismus_Ankünfte";"Tourismus_Übernachtungen"
"2001";"Ungarn";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1025;2063
"2001";"Großbritannien";"Großbritannien";"Europa ohne Deutschland";"Ausland";12041;25878
"2001";"sonst.europäische Länder (o.20Länder)";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";3776;8822
"2001";"afrikanische Länder";"afrikanische Länder";"Sonst. Ausland";"Ausland";747;2092
"2001";"USA";"USA";"Amerika";"Ausland";22733;54503
"2001";"Kanada";"Kanada";"Amerika";"Ausland";1902;3980
"2001";"Brasilien";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";1367;2644
"2001";"Mittelamerika und Karibik";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";1058;1864
"2001";"sonst. südamerik. Länder ";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";1185;2168
"2001";"China";"China";"Asien";"Ausland";1421;2279
"2001";"Israel";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";1604;4306
"2001";"Japan";"Japan";"Asien";"Ausland";19049;36664
"2001";"Südkorea";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";370;826
"2001";"Taiwan";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";339;671
"2001";"Arabische Golfstaaten";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";541;1111
"2001";"sonst. asiatische Länder";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";1677;4322
"2001";"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";1865;3839
"2001";"Ausländer ohne Angabe";"Ausländer ohne Angabe";"Sonst. Ausland";"Ausland";1512;3069
"2002";"Deutschland";"Deutschland";"Deutschland";"Deutschland";838693;1808253
"2002";"Belgien";"Belgien";"Europa ohne Deutschland";"Ausland";3649;6650
"2002";"Dänemark";"Dänemark";"Europa ohne Deutschland";"Ausland";3180;5771
"2002";"Finnland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";969;1686
"2002";"Frankreich";"Frankreich";"Europa ohne Deutschland";"Ausland";6416;13507
"2002";"Griechenland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";582;1231
"2002";"Irland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";459;1332
"2002";"Italien";"Italien";"Europa ohne Deutschland";"Ausland";8381;13582
"2002";"Luxemburg";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";440;939
"2002";"Niederlande";"Niederlande";"Europa ohne Deutschland";"Ausland";7064;16680
"2002";"Norwegen";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";945;1663
"2002";"Österreich";"Österreich";"Europa ohne Deutschland";"Ausland";8736;18468
"2002";"Polen";"Polen";"Europa ohne Deutschland";"Ausland";2581;4153
"2002";"Schweden";"Schweden";"Europa ohne Deutschland";"Ausland";4107;5531
"2002";"Schweiz";"Schweiz";"Europa ohne Deutschland";"Ausland";11828;30604
"2002";"Russland";"Russland";"Europa ohne Deutschland";"Ausland";4044;9443
"2002";"Spanien";"Spanien";"Europa ohne Deutschland";"Ausland";2813;5540
"2002";"Tschechische Republik";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";2679;9127
"2002";"Ungarn";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1127;2168
"2002";"Großbritannien";"Großbritannien";"Europa ohne Deutschland";"Ausland";11391;25204
"2002";"sonst.europäische Länder (o.20Länder)";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";4233;11303
"2002";"afrikanische Länder";"afrikanische Länder";"Sonst. Ausland";"Ausland";623;1493
"2002";"USA";"USA";"Amerika";"Ausland";18020;46218
"2002";"Kanada";"Kanada";"Amerika";"Ausland";1472;3072
"2002";"Brasilien";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";868;1635
"2002";"Mittelamerika und Karibik";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";722;1643
"2002";"sonst. südamerik. Länder ";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";1210;2629
"2002";"China";"China";"Asien";"Ausland";881;2260
"2002";"Israel";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";1177;2794
"2002";"Japan";"Japan";"Asien";"Ausland";16616;27957
"2002";"Südkorea";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";1572;2288
"2002";"Taiwan";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";504;1113
"2002";"Arabische Golfstaaten";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";366;1642
"2002";"sonst. asiatische Länder";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";1747;3665
"2002";"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";1693;3357
"2002";"Ausländer ohne Angabe";"Ausländer ohne Angabe";"Sonst. Ausland";"Ausland";2785;5420
"2003";"Deutschland";"Deutschland";"Deutschland";"Deutschland";932908;2004824
"2003";"Belgien";"Belgien";"Europa ohne Deutschland";"Ausland";4184;8003
"2003";"Dänemark";"Dänemark";"Europa ohne Deutschland";"Ausland";4425;6991
"2003";"Finnland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1221;2368
"2003";"Frankreich";"Frankreich";"Europa ohne Deutschland";"Ausland";8374;16665
"2003";"Griechenland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1543;2889
"2003";"Irland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";601;1605
"2003";"Italien";"Italien";"Europa ohne Deutschland";"Ausland";14568;24926
"2003";"Luxemburg";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";601;1444
"2003";"Niederlande";"Niederlande";"Europa ohne Deutschland";"Ausland";9741;22405
"2003";"Norwegen";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1253;2256
"2003";"Österreich";"Österreich";"Europa ohne Deutschland";"Ausland";11110;24081
"2003";"Polen";"Polen";"Europa ohne Deutschland";"Ausland";3074;5250
"2003";"Schweden";"Schweden";"Europa ohne Deutschland";"Ausland";5593;7521
"2003";"Schweiz";"Schweiz";"Europa ohne Deutschland";"Ausland";15031;37321
"2003";"Russland";"Russland";"Europa ohne Deutschland";"Ausland";3412;8657
"2003";"Spanien";"Spanien";"Europa ohne Deutschland";"Ausland";4566;9173
"2003";"Tschechische Republik";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";2951;7530
"2003";"Ungarn";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1413;2693
"2003";"Großbritannien";"Großbritannien";"Europa ohne Deutschland";"Ausland";11989;25910
"2003";"sonst.europäische Länder (o.20Länder)";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";5612;12568
"2003";"afrikanische Länder";"afrikanische Länder";"Sonst. Ausland";"Ausland";866;2232
"2003";"USA";"USA";"Amerika";"Ausland";19565;45354
"2003";"Kanada";"Kanada";"Amerika";"Ausland";1783;3700
"2003";"Brasilien";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";945;1747
"2003";"Mittelamerika und Karibik";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";875;1672
"2003";"sonst. südamerik. Länder ";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";931;1855
"2003";"China";"China";"Asien";"Ausland";1026;2400
"2003";"Israel";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";1425;3993
"2003";"Japan";"Japan";"Asien";"Ausland";22977;36242
"2003";"Südkorea";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";2390;2861
"2003";"Taiwan";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";535;985
"2003";"Arabische Golfstaaten";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";284;750
"2003";"sonst. asiatische Länder";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";1839;3956
"2003";"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";2302;4221
"2003";"Ausländer ohne Angabe";"Ausländer ohne Angabe";"Sonst. Ausland";"Ausland";1624;2934
"2004";"Deutschland";"Deutschland";"Deutschland";"Deutschland";1040991;2248533
"2004";"Belgien";"Belgien";"Europa ohne Deutschland";"Ausland";4869;9304
"2004";"Dänemark";"Dänemark";"Europa ohne Deutschland";"Ausland";4820;10146
"2004";"Finnland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1220;2191
"2004";"Frankreich";"Frankreich";"Europa ohne Deutschland";"Ausland";9922;22560
"2004";"Griechenland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1606;3236
"2004";"Irland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1176;2732
"2004";"Italien";"Italien";"Europa ohne Deutschland";"Ausland";15669;26666
"2004";"Luxemburg";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1119;2371
"2004";"Niederlande";"Niederlande";"Europa ohne Deutschland";"Ausland";9943;22109
"2004";"Norwegen";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1145;2250
"2004";"Österreich";"Österreich";"Europa ohne Deutschland";"Ausland";12210;27552
"2004";"Polen";"Polen";"Europa ohne Deutschland";"Ausland";3880;6687
"2004";"Schweden";"Schweden";"Europa ohne Deutschland";"Ausland";7254;10245
"2004";"Schweiz";"Schweiz";"Europa ohne Deutschland";"Ausland";16857;43572
"2004";"Russland";"Russland";"Europa ohne Deutschland";"Ausland";3490;6977
"2004";"Spanien";"Spanien";"Europa ohne Deutschland";"Ausland";5193;9658
"2004";"Tschechische Republik";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";2817;5190
"2004";"Ungarn";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1746;3373
"2004";"Großbritannien";"Großbritannien";"Europa ohne Deutschland";"Ausland";14621;29215
"2004";"sonst.europäische Länder (o.20Länder)";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";6586;14417
"2004";"afrikanische Länder";"afrikanische Länder";"Sonst. Ausland";"Ausland";833;2263
"2004";"USA";"USA";"Amerika";"Ausland";20580;49468
"2004";"Kanada";"Kanada";"Amerika";"Ausland";2203;5277
"2004";"Brasilien";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";1336;2167
"2004";"Mittelamerika und Karibik";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";722;1338
"2004";"sonst. südamerik. Länder ";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";1101;2033
"2004";"China";"China";"Asien";"Ausland";1571;3027
"2004";"Israel";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";1484;3816
"2004";"Japan";"Japan";"Asien";"Ausland";27389;41517
"2004";"Südkorea";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";1927;2432
"2004";"Taiwan";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";598;916
"2004";"Arabische Golfstaaten";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";375;1172
"2004";"sonst. asiatische Länder";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";3237;5783
"2004";"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";2279;4552
"2004";"Ausländer ohne Angabe";"Ausländer ohne Angabe";"Sonst. Ausland";"Ausland";2557;4275
"2005";"Deutschland";"Deutschland";"Deutschland";"Deutschland";1139644;2505511
"2005";"Belgien";"Belgien";"Europa ohne Deutschland";"Ausland";5034;10422
"2005";"Dänemark";"Dänemark";"Europa ohne Deutschland";"Ausland";5156;11074
"2005";"Finnland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1358;2825
"2005";"Frankreich";"Frankreich";"Europa ohne Deutschland";"Ausland";9376;20799
"2005";"Griechenland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1559;3342
"2005";"Irland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";731;1984
"2005";"Italien";"Italien";"Europa ohne Deutschland";"Ausland";17236;29820
"2005";"Luxemburg";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1300;2923
"2005";"Niederlande";"Niederlande";"Europa ohne Deutschland";"Ausland";11843;26588
"2005";"Norwegen";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1390;2635
"2005";"Österreich";"Österreich";"Europa ohne Deutschland";"Ausland";13661;32282
"2005";"Polen";"Polen";"Europa ohne Deutschland";"Ausland";4134;7627
"2005";"Schweden";"Schweden";"Europa ohne Deutschland";"Ausland";6524;8991
"2005";"Schweiz";"Schweiz";"Europa ohne Deutschland";"Ausland";20986;53301
"2005";"Russland";"Russland";"Europa ohne Deutschland";"Ausland";3764;8976
"2005";"Spanien";"Spanien";"Europa ohne Deutschland";"Ausland";5230;10374
"2005";"Tschechische Republik";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";3451;6276
"2005";"Ungarn";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1473;3004
"2005";"Großbritannien";"Großbritannien";"Europa ohne Deutschland";"Ausland";14757;33818
"2005";"sonst.europäische Länder (o.20Länder)";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";7625;15949
"2005";"afrikanische Länder";"afrikanische Länder";"Sonst. Ausland";"Ausland";853;2268
"2005";"USA";"USA";"Amerika";"Ausland";22780;59331
"2005";"Kanada";"Kanada";"Amerika";"Ausland";2670;5625
"2005";"Brasilien";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";1163;2310
"2005";"Mittelamerika und Karibik";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";777;1533
"2005";"sonst. südamerik. Länder ";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";1149;2246
"2005";"China";"China";"Asien";"Ausland";1523;3134
"2005";"Israel";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";1552;3615
"2005";"Japan";"Japan";"Asien";"Ausland";25825;46633
"2005";"Südkorea";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";2154;3000
"2005";"Taiwan";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";817;1445
"2005";"Arabische Golfstaaten";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";428;1207
"2005";"sonst. asiatische Länder";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";3866;7946
"2005";"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";3447;7221
"2005";"Ausländer ohne Angabe";"Ausländer ohne Angabe";"Sonst. Ausland";"Ausland";1551;3180
"2006";"Deutschland";"Deutschland";"Deutschland";"Deutschland";1365159;3012348
"2006";"Belgien";"Belgien";"Europa ohne Deutschland";"Ausland";6162;13759
"2006";"Dänemark";"Dänemark";"Europa ohne Deutschland";"Ausland";5173;11478
"2006";"Finnland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1515;3036
"2006";"Frankreich";"Frankreich";"Europa ohne Deutschland";"Ausland";11312;24214
"2006";"Griechenland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1226;2767
"2006";"Irland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";791;1950
"2006";"Italien";"Italien";"Europa ohne Deutschland";"Ausland";16185;28954
"2006";"Luxemburg";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1058;2734
"2006";"Niederlande";"Niederlande";"Europa ohne Deutschland";"Ausland";13337;29162
"2006";"Norwegen";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";2157;4120
"2006";"Österreich";"Österreich";"Europa ohne Deutschland";"Ausland";16615;38239
"2006";"Polen";"Polen";"Europa ohne Deutschland";"Ausland";4858;8981
"2006";"Schweden";"Schweden";"Europa ohne Deutschland";"Ausland";6768;11242
"2006";"Schweiz";"Schweiz";"Europa ohne Deutschland";"Ausland";20916;52093
"2006";"Russland";"Russland";"Europa ohne Deutschland";"Ausland";4422;10162
"2006";"Spanien";"Spanien";"Europa ohne Deutschland";"Ausland";6515;13509
"2006";"Tschechische Republik";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";4251;7112
"2006";"Ungarn";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1601;3067
"2006";"Ukraine";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";336;598
"2006";"Großbritannien";"Großbritannien";"Europa ohne Deutschland";"Ausland";17987;40390
"2006";"sonst.europäische Länder (o.20Länder)";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";8196;16457
"2006";"afrikanische Länder";"afrikanische Länder";"Sonst. Ausland";"Ausland";966;2502
"2006";"USA";"USA";"Amerika";"Ausland";27387;65754
"2006";"Kanada";"Kanada";"Amerika";"Ausland";2997;6636
"2006";"Brasilien";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";1538;2843
"2006";"Mittelamerika und Karibik";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";1312;2700
"2006";"sonst. südamerik. Länder ";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";1499;2769
"2006";"China";"China";"Asien";"Ausland";2089;4998
"2006";"Indien  ";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";384;1001
"2006";"Israel";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";2036;4339
"2006";"Japan";"Japan";"Asien";"Ausland";24633;45748
"2006";"Südkorea";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";2170;3694
"2006";"Taiwan";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";893;2389
"2006";"Arabische Golfstaaten";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";498;1242
"2006";"sonst. asiatische Länder";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";2127;5558
"2006";"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";3704;7575
"2006";"Ausländer ohne Angabe";"Ausländer ohne Angabe";"Sonst. Ausland";"Ausland";1229;3025
"2007";"Deutschland";"Deutschland";"Deutschland";"Deutschland";1268752;2799639
"2007";"Belgien";"Belgien";"Europa ohne Deutschland";"Ausland";6923;16295
"2007";"Dänemark";"Dänemark";"Europa ohne Deutschland";"Ausland";6183;14267
"2007";"Finnland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1766;3928
"2007";"Frankreich";"Frankreich";"Europa ohne Deutschland";"Ausland";11266;26280
"2007";"Griechenland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1488;3070
"2007";"Irland";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1063;2861
"2007";"Italien";"Italien";"Europa ohne Deutschland";"Ausland";18049;30584
"2007";"Luxemburg";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";1209;3276
"2007";"Niederlande";"Niederlande";"Europa ohne Deutschland";"Ausland";14330;33697
"2007";"Norwegen";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";2024;4336
"2007";"Österreich";"Österreich";"Europa ohne Deutschland";"Ausland";17606;40298
"2007";"Polen";"Polen";"Europa ohne Deutschland";"Ausland";6286;11467
"2007";"Schweden";"Schweden";"Europa ohne Deutschland";"Ausland";5225;8362
"2007";"Schweiz";"Schweiz";"Europa ohne Deutschland";"Ausland";20743;52661
"2007";"Russland";"Russland";"Europa ohne Deutschland";"Ausland";4377;11160
"2007";"Spanien";"Spanien";"Europa ohne Deutschland";"Ausland";6626;15192
"2007";"Tschechische Republik";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";4934;8519
"2007";"Ungarn";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";2087;4123
"2007";"Ukraine";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";501;1505
"2007";"Großbritannien";"Großbritannien";"Europa ohne Deutschland";"Ausland";17655;39854
"2007";"sonst.europäische Länder (o.20Länder)";"sonst.europäische Länder (o.13 Länder)";"Europa ohne Deutschland";"Ausland";8528;20152
"2007";"afrikanische Länder";"afrikanische Länder";"Sonst. Ausland";"Ausland";1098;3354
"2007";"USA";"USA";"Amerika";"Ausland";24679;63159
"2007";"Kanada";"Kanada";"Amerika";"Ausland";2999;7076
"2007";"Brasilien";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";2400;4297
"2007";"Mittelamerika und Karibik";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";972;1877
"2007";"sonst. südamerik. Länder ";"amerik. Länder (o.USA, Kanada)";"Amerika";"Ausland";1565;3179
"2007";"China";"China";"Asien";"Ausland";3192;6149
"2007";"Indien  ";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";516;1580
"2007";"Israel";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";2147;6152
"2007";"Japan";"Japan";"Asien";"Ausland";18622;38567
"2007";"Südkorea";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";2535;3615
"2007";"Taiwan";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";1230;3326
"2007";"Arabische Golfstaaten";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";561;1480
"2007";"sonst. asiatische Länder";"asiatische Länder (o.China, Japan)";"Asien";"Ausland";2546;6676
"2007";"Australien, Neuseeland u. Ozeanien    ";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";3607;7740
"2007";"Ausländer ohne Angabe";"Ausländer ohne Angabe";"Sonst. Ausland";"Ausland";2319;4759
"2008";"Deutschland";"Deutschland";"Deutschland";"Deutschland";1252484;2688524
"2008";"Belgien";"Belgien";"Europa ohne Deutschland";"Ausland";5716;13488
