"Jahr";"Stadtraum";"Eigentümer des Gebäudes";"Anteil in %"
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigennutzung";4
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer Wohnungsgenossenschaft";12
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer Stadt";30
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"Eigentümer privat";54
"1995";"04 Leipziger Vorstadt, Pieschen";"Eigennutzung";5
"1995";"04 Leipziger Vorstadt, Pieschen";"Eigentümer Wohnungsgenossenschaft";23
"1995";"04 Leipziger Vorstadt, Pieschen";"Eigentümer Stadt";31
"1995";"04 Leipziger Vorstadt, Pieschen";"Eigentümer privat";41
"1995";"05 Mickten, Kaditz, Trachau";"Eigennutzung";10
"1995";"05 Mickten, Kaditz, Trachau";"Eigentümer Wohnungsgenossenschaft";23
"1995";"05 Mickten, Kaditz, Trachau";"Eigentümer Stadt";40
"1995";"05 Mickten, Kaditz, Trachau";"Eigentümer privat";27
"1995";"06 StB Klotzsche und nördliche OS";"Eigennutzung";30
"1995";"06 StB Klotzsche und nördliche OS";"Eigentümer Wohnungsgenossenschaft";22
"1995";"06 StB Klotzsche und nördliche OS";"Eigentümer Stadt";29
"1995";"06 StB Klotzsche und nördliche OS";"Eigentümer privat";19
"1995";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigennutzung";33
"1995";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigentümer Wohnungsgenossenschaft";3
"1995";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigentümer Stadt";13
"1995";"07 StB Loschwitz und OS Schönfeld-Weißig";"Eigentümer privat";50
"1995";"08 Blasewitz, Striesen";"Eigennutzung";2
"1995";"08 Blasewitz, Striesen";"Eigentümer Wohnungsgenossenschaft";28
"1995";"08 Blasewitz, Striesen";"Eigentümer Stadt";37
"1995";"08 Blasewitz, Striesen";"Eigentümer privat";34
"1995";"09 Tolkewitz, Seidnitz, Gruna";"Eigennutzung";4
"1995";"09 Tolkewitz, Seidnitz, Gruna";"Eigentümer Wohnungsgenossenschaft";43
"1995";"09 Tolkewitz, Seidnitz, Gruna";"Eigentümer Stadt";40
"1995";"09 Tolkewitz, Seidnitz, Gruna";"Eigentümer privat";13
"1995";"10 StB Leuben";"Eigennutzung";12
"1995";"10 StB Leuben";"Eigentümer Wohnungsgenossenschaft";42
"1995";"10 StB Leuben";"Eigentümer Stadt";32
"1995";"10 StB Leuben";"Eigentümer privat";14
"1995";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigennutzung";2
"1995";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigentümer Wohnungsgenossenschaft";48
"1995";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigentümer Stadt";46
"1995";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Eigentümer privat";3
"1995";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigennutzung";21
"1995";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigentümer Wohnungsgenossenschaft";20
"1995";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigentümer Stadt";20
"1995";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Eigentümer privat";38
"1995";"13 Südvorstadt, Zschertnitz";"Eigennutzung";2
"1995";"13 Südvorstadt, Zschertnitz";"Eigentümer Wohnungsgenossenschaft";40
"1995";"13 Südvorstadt, Zschertnitz";"Eigentümer Stadt";50
"1995";"13 Südvorstadt, Zschertnitz";"Eigentümer privat";8
"1995";"14 Mockritz, Coschütz, Plauen";"Eigennutzung";17
"1995";"14 Mockritz, Coschütz, Plauen";"Eigentümer Wohnungsgenossenschaft";28
"1995";"14 Mockritz, Coschütz, Plauen";"Eigentümer Stadt";20
"1995";"14 Mockritz, Coschütz, Plauen";"Eigentümer privat";36
"1995";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigennutzung";9
"1995";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigentümer Wohnungsgenossenschaft";27
"1995";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigentümer Stadt";33
"1995";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Eigentümer privat";31
"1995";"16 Gorbitz";"Eigennutzung";1
"1995";"16 Gorbitz";"Eigentümer Wohnungsgenossenschaft";72
"1995";"16 Gorbitz";"Eigentümer Stadt";26
"1995";"16 Gorbitz";"Eigentümer privat";1
"1995";"17 Briesnitz und westliche OS";"Eigennutzung";24
"1995";"17 Briesnitz und westliche OS";"Eigentümer Wohnungsgenossenschaft";41
"1995";"17 Briesnitz und westliche OS";"Eigentümer Stadt";9
"1995";"17 Briesnitz und westliche OS";"Eigentümer privat";26
"1995";"18 Dresden gesamt";"Eigennutzung";8
