"Jahr";"Quartal";"Monat";"Hauptgruppen (WZ 08)";"Anzahl Betriebe";"Tätige Personen (absolut)";"Tätige Personen (Anteil an Gesamtsumme des verarb. Gewerbes)";"Geleistete Arbeitsstunden (gesamt in 1000h)";"Geleistete Arbeitsstunden je tätiger Person";"Entgelte (in 1000 EUR)";"Entgelte je tätiger Person";"Gesamtumsatz (in 1000 EUR)";"Absoluter Anteil des Umsatzes in der Europazone am Gesamtumsatz (in 1000 EUR)";"Absoluter Anteil des Umsatzes im Ausland am Gesamtumsatz (in 1000 EUR)";"Gesamtumsatz je tätiger Person";"Anteil des Gesamtumsatzes an Gesamtsumme des verarb. Gewerbes";"Umsatz aus eigenen Erzeugnissen gesamt (in 1000 EUR)";"Umsatz aus eigenen Erzeugnissen Ausland (in 1000 EUR)";"Umsatz aus eigenen Erzeugnissen je tätiger Person"
"2014";"1. Quartal";"01";"A+EN Vorleistungsgüter und Energie";39;10328;44;1539;149;36104;3496;187323;121947;0;18137;50;181396;119996;17564
"2014";"1. Quartal";"01";"B Investitionsgüter";56;8769;37;1303;149;30710;3502;102425;47436;0;11680;28;98598;46541;11244
"2014";"1. Quartal";"01";"GG Gebrauchsgüter";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"01";"VG Verbrauchsgüter";22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"01";"Verarbeitendes Gewerbe gesamt";119;23468;100;3455;147;78925;3363;371782;189612;0;15842;100;359553;186644;15321
"2014";"1. Quartal";"02";"A+EN Vorleistungsgüter und Energie";39;10325;44;1421;138;37243;3607;285629;222329;196483;27664;56;279006;220176;27022
"2014";"1. Quartal";"02";"B Investitionsgüter";56;8775;37;1201;137;29483;3360;146723;84174;7808;16721;29;141002;82797;16069
"2014";"1. Quartal";"02";"GG Gebrauchsgüter";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"02";"VG Verbrauchsgüter";22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"02";"Verarbeitendes Gewerbe gesamt";119;23452;100;3179;136;79025;3370;512998;328190;218297;21874;100;498067;324351;21238
"2014";"1. Quartal";"03";"A+EN Vorleistungsgüter und Energie";39;10324;44;1458;141;37181;3601;325041;263832;238655;31484;56;317750;261648;30778
"2014";"1. Quartal";"03";"B Investitionsgüter";55;8717;37;1260;145;28980;3325;162930;88429;9852;18691;28;153181;87617;17573
"2014";"1. Quartal";"03";"GG Gebrauchsgüter";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"03";"VG Verbrauchsgüter";22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"03";"Verarbeitendes Gewerbe gesamt";118;23428;100;3308;141;82406;3517;577647;374047;263689;24656;100;557426;370944;23793
"2014";"1. Quartal";"04";"A+EN Vorleistungsgüter und Energie";40;10363;44;1460;141;37932;3660;226351;168464;147459;21842;50;221356;167204;21360
"2014";"1. Quartal";"04";"B Investitionsgüter";56;8912;38;1257;141;34478;3869;131049;70633;14685;14705;29;126047;69841;14144
"2014";"1. Quartal";"04";"GG Gebrauchsgüter";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"04";"VG Verbrauchsgüter";23;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"1. Quartal";"04";"Verarbeitendes Gewerbe gesamt";121;23763;100;3315;140;85490;3598;451826;259957;177073;19014;100;438160;257623;18439
"2014";"2. Quartal";"05";"A+EN Vorleistungsgüter und Energie";40;10315;44;1444;140;42716;4141;228116;163817;143061;22115;48;222883;162027;21608
"2014";"2. Quartal";"05";"B Investitionsgüter";56;8921;38;1238;139;35978;4033;155689;94959;19349;17452;33;148187;93999;16611
"2014";"2. Quartal";"05";"GG Gebrauchsgüter";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2014";"2. Quartal";"05";"VG Verbrauchsgüter";23;0;0;0;0;0;0;0;0;0;0;0;0;0;0
