"Jahr";"Stadtraum";"Zeitfenster";"Anteil Benotung ""sehr gut""";"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht""";"Anteil Benotung ""sehr schlecht""";"Anteil Benotung ""nicht beurteilt"""
"2007";"10 StB Leuben";"vor einem Jahr";5;17;57;17;3;2
"2007";"10 StB Leuben";"heute";3;48;38;8;2;2
"2007";"10 StB Leuben";"in einem Jahr";1;10;47;27;5;11
"2007";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"vor einem Jahr";6;15;63;9;6;2
"2007";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"heute";0;37;42;15;5;1
"2007";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"in einem Jahr";0;12;48;17;7;16
"2007";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"vor einem Jahr";4;22;56;14;3;1
"2007";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"heute";5;42;40;9;4;1
"2007";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"in einem Jahr";5;10;51;20;4;11
"2007";"13 Südvorstadt, Zschertnitz";"vor einem Jahr";4;20;60;12;2;3
"2007";"13 Südvorstadt, Zschertnitz";"heute";3;37;41;14;3;2
"2007";"13 Südvorstadt, Zschertnitz";"in einem Jahr";4;11;50;19;4;12
"2007";"14 Mockritz, Coschütz, Plauen";"vor einem Jahr";2;21;59;15;0;2
"2007";"14 Mockritz, Coschütz, Plauen";"heute";2;49;36;7;2;2
"2007";"14 Mockritz, Coschütz, Plauen";"in einem Jahr";2;10;53;21;4;10
"2007";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"vor einem Jahr";4;20;59;12;2;3
"2007";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"heute";3;44;37;10;2;3
"2007";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"in einem Jahr";2;15;43;22;4;14
"2007";"16 Gorbitz";"vor einem Jahr";2;21;60;11;5;1
"2007";"16 Gorbitz";"heute";2;25;51;14;7;1
"2007";"16 Gorbitz";"in einem Jahr";3;11;52;17;5;12
"2007";"17 Briesnitz und westliche OS";"vor einem Jahr";5;17;58;17;2;1
"2007";"17 Briesnitz und westliche OS";"heute";4;42;42;8;4;2
"2007";"17 Briesnitz und westliche OS";"in einem Jahr";2;8;45;26;6;14
"2007";"18 Dresden gesamt";"vor einem Jahr";4;20;57;15;4;2
"2007";"18 Dresden gesamt";"heute";3;41;39;11;4;2
"2007";"18 Dresden gesamt";"in einem Jahr";3;11;47;22;6;12
"2010";"01 StB Altstadt ohne Johannstadt";"vor einem Jahr";3;7;73;16;2;0
"2010";"01 StB Altstadt ohne Johannstadt";"heute";2;47;35;11;5;1
"2010";"01 StB Altstadt ohne Johannstadt";"in einem Jahr";0;13;62;11;6;8
"2010";"02 Johannstadt";"vor einem Jahr";1;14;70;11;2;3
"2010";"02 Johannstadt";"heute";7;51;23;15;3;1
"2010";"02 Johannstadt";"in einem Jahr";1;7;59;19;4;9
"2010";"03 StB Neustadt ohne Leipziger Vorstadt";"vor einem Jahr";2;17;58;20;3;1
"2010";"03 StB Neustadt ohne Leipziger Vorstadt";"heute";7;50;36;5;2;1
"2010";"03 StB Neustadt ohne Leipziger Vorstadt";"in einem Jahr";3;22;56;10;2;6
"2010";"04 Leipziger Vorstadt, Pieschen";"vor einem Jahr";3;20;57;14;4;2
"2010";"04 Leipziger Vorstadt, Pieschen";"heute";4;39;35;14;7;1
"2010";"04 Leipziger Vorstadt, Pieschen";"in einem Jahr";3;14;52;13;3;15
"2010";"05 Mickten, Kaditz, Trachau";"vor einem Jahr";3;15;67;10;3;3
"2010";"05 Mickten, Kaditz, Trachau";"heute";2;48;34;8;5;2
"2010";"05 Mickten, Kaditz, Trachau";"in einem Jahr";3;13;58;12;3;11
"2010";"06 StB Klotzsche und nördliche OS";"vor einem Jahr";4;14;68;11;1;2
"2010";"06 StB Klotzsche und nördliche OS";"heute";10;47;34;5;3;1
"2010";"06 StB Klotzsche und nördliche OS";"in einem Jahr";2;10;60;14;2;11
"2010";"07 StB Loschwitz und OS Schönfeld-Weißig";"vor einem Jahr";1;14;72;7;3;2
"2010";"07 StB Loschwitz und OS Schönfeld-Weißig";"heute";6;51;33;7;4;0
"2010";"07 StB Loschwitz und OS Schönfeld-Weißig";"in einem Jahr";0;8;53;22;2;16
"2010";"08 Blasewitz, Striesen";"vor einem Jahr";3;18;64;7;5;3
"2010";"08 Blasewitz, Striesen";"heute";7;46;35;8;3;2
"2010";"08 Blasewitz, Striesen";"in einem Jahr";2;14;54;14;4;13
"2010";"09 Tolkewitz, Seidnitz, Gruna";"vor einem Jahr";1;18;69;9;1;2
"2010";"09 Tolkewitz, Seidnitz, Gruna";"heute";6;46;34;9;4;2
"2010";"09 Tolkewitz, Seidnitz, Gruna";"in einem Jahr";2;9;61;13;3;13
"2010";"10 StB Leuben";"vor einem Jahr";4;13;70;8;4;1
"2010";"10 StB Leuben";"heute";5;45;40;6;3;0
"2010";"10 StB Leuben";"in einem Jahr";1;11;57;15;4;13
"2010";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"vor einem Jahr";3;14;64;14;4;1
"2010";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"heute";3;43;29;17;6;1
"2010";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"in einem Jahr";0;10;47;22;4;17
"2010";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"vor einem Jahr";1;16;69;9;3;2
"2010";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"heute";4;50;33;8;3;2
"2010";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"in einem Jahr";1;11;57;16;2;13
"2010";"13 Südvorstadt, Zschertnitz";"vor einem Jahr";4;16;61;13;3;3
"2010";"13 Südvorstadt, Zschertnitz";"heute";2;52;34;6;2;4
"2010";"13 Südvorstadt, Zschertnitz";"in einem Jahr";4;11;56;11;2;16
"2010";"14 Mockritz, Coschütz, Plauen";"vor einem Jahr";3;15;61;18;3;0
"2010";"14 Mockritz, Coschütz, Plauen";"heute";7;50;33;8;1;2
"2010";"14 Mockritz, Coschütz, Plauen";"in einem Jahr";1;7;65;15;3;10
"2010";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"vor einem Jahr";5;11;61;18;4;2
"2010";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"heute";5;45;35;11;3;2
"2010";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"in einem Jahr";1;10;66;10;5;8
"2010";"16 Gorbitz";"vor einem Jahr";3;16;56;11;12;2
"2010";"16 Gorbitz";"heute";2;34;38;17;7;2
"2010";"16 Gorbitz";"in einem Jahr";3;14;46;20;8;9
"2010";"17 Briesnitz und westliche OS";"vor einem Jahr";6;13;74;7;0;0
"2010";"17 Briesnitz und westliche OS";"heute";5;54;33;6;1;0
"2010";"17 Briesnitz und westliche OS";"in einem Jahr";1;7;67;8;5;11
"2010";"18 Dresden gesamt";"vor einem Jahr";3;15;65;12;3;2
"2010";"18 Dresden gesamt";"heute";5;47;34;9;4;1
"2010";"18 Dresden gesamt";"in einem Jahr";2;12;58;14;3;12
"2012";"01 StB Altstadt ohne Johannstadt";"vor einem Jahr";3;20;64;7;2;5
"2012";"01 StB Altstadt ohne Johannstadt";"heute";5;43;37;9;2;4
"2012";"01 StB Altstadt ohne Johannstadt";"in einem Jahr";6;9;48;15;4;18
"2012";"02 Johannstadt";"vor einem Jahr";4;14;66;15;1;0
"2012";"02 Johannstadt";"heute";4;46;35;14;1;0
"2012";"02 Johannstadt";"in einem Jahr";7;8;60;13;5;8
"2012";"03 StB Neustadt ohne Leipziger Vorstadt";"vor einem Jahr";4;12;69;12;3;0
"2012";"03 StB Neustadt ohne Leipziger Vorstadt";"heute";13;47;29;7;3;1
"2012";"03 StB Neustadt ohne Leipziger Vorstadt";"in einem Jahr";1;16;56;13;3;12
"2012";"04 Leipziger Vorstadt, Pieschen";"vor einem Jahr";7;21;59;12;1;0
"2012";"04 Leipziger Vorstadt, Pieschen";"heute";6;48;39;6;1;1
"2012";"04 Leipziger Vorstadt, Pieschen";"in einem Jahr";1;14;57;15;2;11
"2012";"05 Mickten, Kaditz, Trachau";"vor einem Jahr";6;13;62;15;2;2
"2012";"05 Mickten, Kaditz, Trachau";"heute";5;51;31;8;3;2
"2012";"05 Mickten, Kaditz, Trachau";"in einem Jahr";1;13;59;15;3;10
"2012";"06 StB Klotzsche und nördliche OS";"vor einem Jahr";3;12;68;12;3;1
"2012";"06 StB Klotzsche und nördliche OS";"heute";7;55;29;8;0;0
"2012";"06 StB Klotzsche und nördliche OS";"in einem Jahr";2;9;58;15;3;14
"2012";"07 StB Loschwitz und OS Schönfeld-Weißig";"vor einem Jahr";1;15;77;7;0;1
"2012";"07 StB Loschwitz und OS Schönfeld-Weißig";"heute";10;40;37;8;5;1
"2012";"07 StB Loschwitz und OS Schönfeld-Weißig";"in einem Jahr";2;10;57;18;2;13
"2012";"08 Blasewitz, Striesen";"vor einem Jahr";4;15;66;11;5;0
"2012";"08 Blasewitz, Striesen";"heute";6;53;31;7;3;0
"2012";"08 Blasewitz, Striesen";"in einem Jahr";1;14;60;14;3;8
"2012";"09 Tolkewitz, Seidnitz, Gruna";"vor einem Jahr";3;14;69;14;1;0
"2012";"09 Tolkewitz, Seidnitz, Gruna";"heute";3;47;44;4;2;0
"2012";"09 Tolkewitz, Seidnitz, Gruna";"in einem Jahr";0;13;58;17;3;10
"2012";"10 StB Leuben";"vor einem Jahr";3;13;67;12;2;3
"2012";"10 StB Leuben";"heute";4;41;38;11;2;4
"2012";"10 StB Leuben";"in einem Jahr";4;13;54;10;4;16
"2012";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"vor einem Jahr";3;13;71;7;4;2
"2012";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"heute";7;31;36;14;7;6
"2012";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"in einem Jahr";2;13;50;15;5;15
