"Jahr";"Wirtschaftszweig 2-Steller";"Anzahl Betriebe";"Tätige Personen";"Entgelte (in 1000 EUR)";"Entgelte je tätiger Person";"Gesamtumsatz (in 1000 EUR)";"Absoluter Anteil des Umsatzes im Ausland am Gesamtumsatz (in 1000 EUR)";"Gesamtumsatz je tätiger Person";"Exportquote (in Prozent)"
"2015";"Herstellung von Gummi- und Kunststoffwaren 25";21;1470;39550;26905;150946;10919;102684;7
"2015";"Glasgewerbe, Keramik, Verarbeitung von Steinen und Erden 26";36;8888;456015;51307;3139690;2176363;353250;69
"2015";"Metallerzeugung und -bearbeitung";17;1838;77031;41910;359030;197910;195337;55
"2015";"Herstellung von Metallerzeugnissen";31;4417;189114;42815;664527;429540;150448;65
"2015";"Maschinenbau 29";4;0;0;0;0;0;0;0
"2015";"Herst.v.Büromasch.,Datenverarbeitungsgeräten u.-einrichtgen.";2;0;0;0;0;0;0;0
"2015";"Herstellung v.Geräten der Elektrizitätserzeugung, -verteilg.";1;0;0;0;0;0;0;0
"2015";"Rundfunk-, Fernseh- und Nachrichtentechnik";14;830;19230;23169;58789;10975;70830;19
"2015";"Medizin-, Meß-, Steuer- und Regelungstechnik, Optik";32;1911;82971;43418;287442;53824;150414;19
"2016";"Verarbeitendes Gewerbe gesamt";238;27377;1180614;43124;6278373;3053425;229330;49
"2016";"Kohlenbergbau, Torfgewinnung";27;1037;25261;24360;170057;9672;163989;6
"2016";"Gewinnung v.Erdöl u.Erbringung damit verbund.Dienstleistgen.";1;0;0;0;0;0;0;0
"2016";"Bergbau auf Uran- und Thoriumerze";1;0;0;0;0;0;0;0
"2016";"Erzbergbau";1;0;0;0;0;0;0;0
"2016";"Textilgewerbe";1;0;0;0;0;0;0;0
"2016";"Bekleidungsgewerbe";18;1901;56775;29866;236278;0;124291;0
"2016";"Holzgewerbe (ohne Herstellung von Möbeln) 20";7;424;14804;34915;135720;31994;320094;24
"2016";"Papiergewerbe";6;1565;75867;48477;480036;0;306732;0
"2016";"Verlags-,Druckgew.,Vervielfält.v.besp.Ton-,Bild-u.Datenträg.";6;0;0;0;0;0;0;0
"2016";"Kokerei,Mineralölverarb.,Herst.u.Verarb.v.Spalt-u.Brutstoff. 23";10;249;9749;39153;84363;0;338807;0
"2016";"Chemische Industrie 24";2;0;0;0;0;0;0;0
"2016";"Herstellung von Gummi- und Kunststoffwaren 25";21;1466;40032;27307;150336;14208;102548;10
"2016";"Glasgewerbe, Keramik, Verarbeitung von Steinen und Erden 26";35;8726;445311;51033;2711867;1713278;310780;63
"2016";"Metallerzeugung und -bearbeitung";17;1812;76791;42379;305463;138402;168578;45
"2016";"Herstellung von Metallerzeugnissen";31;4354;189171;43448;635581;409363;145976;64
"2016";"Maschinenbau 29";3;0;0;0;0;0;0;0
"2016";"Herst.v.Büromasch.,Datenverarbeitungsgeräten u.-einrichtgen.";2;0;0;0;0;0;0;0
"2016";"Herstellung v.Geräten der Elektrizitätserzeugung, -verteilg.";1;0;0;0;0;0;0;0
"2016";"Rundfunk-, Fernseh- und Nachrichtentechnik";15;870;21101;24254;61292;0;70451;0
"2016";"Medizin-, Meß-, Steuer- und Regelungstechnik, Optik";32;1849;82388;44558;290749;43397;157247;15
"2017";"Verarbeitendes Gewerbe gesamt";243;27855;1226903;44046;6585872;3200892;236434;49
"2017";"Kohlenbergbau, Torfgewinnung";28;1121;27091;24167;179834;13159;160423;7
"2017";"Gewinnung v.Erdöl u.Erbringung damit verbund.Dienstleistgen.";1;0;0;0;0;0;0;0
"2017";"Bergbau auf Uran- und Thoriumerze";1;0;0;0;0;0;0;0
"2017";"Erzbergbau";2;0;0;0;0;0;0;0
"2017";"Tabakverarbeitung";1;0;0;0;0;0;0;0
"2017";"Textilgewerbe";1;0;0;0;0;0;0;0
"2017";"Bekleidungsgewerbe";15;1769;56303;31828;226297;0;127924;0
"2017";"Holzgewerbe (ohne Herstellung von Möbeln) 20";7;414;15579;37630;136289;35512;329200;26
"2017";"Papiergewerbe";6;1638;82828;50567;288427;0;176085;0
"2017";"Verlags-,Druckgew.,Vervielfält.v.besp.Ton-,Bild-u.Datenträg.";9;497;14153;28477;72803;29323;146485;40
