Statistischer Bezirk;Kirchen, Religiöse Einrichtungen (cls:L121);Ausstellungen, Galerien (cls:L496);Veranstaltungsorte (cls:L498);Theater, Musik, Tanz (cls:L499);Studentenclubs (cls:L493);Museen (cls:L497);Kulturelle Bildung, Soziokultur (cls:L500);Kinos (cls:L495);Bibliotheken (cls:L494);Sehenswürdigkeiten (cls:L92);Nette Toilette - Teilnehmer (cls:L205);Öffentliche Toiletten (cls:L204);Friedhöfe (cls:L103);Parkanlagen, Gärten (cls:L104);Wassertechnische Anlagen (Punkte) (cls:L573);Park- und Grünanlagen (Punkte) (cls:L570);Sonstige Unterkünfte (cls:L94);Hotels (cls:L93);Hostel und Jugendherbergen (cls:L95);Campingplätze (cls:L751);Nagelsche Säulen (cls:L602);Dresdner Revolutionsweg (cls:L464);Touristinformation (cls:L471)
614;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
843;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
071;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
732;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
112;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2;2;0;0;0;0
332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0
962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
035;0;1;5;0;0;2;0;0;0;14;0;6;0;8;1;0;0;0;0;0;0;0;0
644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;2;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0
978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
414;0;0;0;0;0;0;0;0;0;6;0;0;0;4;0;0;6;2;0;0;0;0;0
524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
114;2;2;0;1;0;0;2;0;0;2;12;6;0;0;0;0;0;2;0;0;0;0;0
726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
342;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0
572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
233;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;4;2;0;0;0;0;0
975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;0;1;0;1;0;1;1;0;0;2;0;0;0;0;0;0;4;8;0;0;0;1;0
972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
421;4;2;0;0;0;0;0;0;0;2;0;0;2;4;0;0;12;4;0;0;0;0;0
533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
151;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
115;0;4;0;2;0;0;1;1;0;2;9;0;0;0;0;0;0;0;4;0;0;0;0
973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
422;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;6;2;0;0;0;0;0
041;0;5;2;4;0;1;2;0;2;6;0;3;0;0;0;0;4;10;0;0;0;0;0
958;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
252;2;0;0;0;0;1;3;0;0;0;0;3;2;0;0;0;6;0;0;0;0;0;0
944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0
722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
525;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;0
612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
513;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
561;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
121;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
431;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0
253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
945;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
069;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
641;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
971;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
532;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
043;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0
946;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;0
153;0;2;0;0;0;1;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0
068;6;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
341;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
512;2;1;0;1;0;0;1;1;0;0;0;9;0;0;0;1;14;6;0;0;0;0;0
117;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0
152;4;4;1;1;0;1;1;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0
515;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0
116;2;4;0;3;0;1;3;0;0;4;12;0;2;0;0;0;2;2;0;0;0;0;0
518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
042;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
427;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0
631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
025;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0
434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
011;16;10;3;4;1;6;2;0;2;46;0;21;0;2;2;0;8;30;0;0;0;4;1
426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
632;2;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;6;0;0;0;0;0;0
435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
954;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0
453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
012;2;3;1;2;0;8;0;0;1;18;0;9;0;2;3;0;2;4;0;0;1;2;0
411;0;0;2;0;0;0;1;1;0;6;0;0;0;6;1;0;6;2;0;0;0;0;0
066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
551;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
354;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;8;0;0;0;0;0;0
566;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
425;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0
537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
044;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
903;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
322;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;2;0;0;0;0;0
075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
024;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
633;2;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0;0;0;0;0
031;0;0;0;0;0;0;0;2;0;6;0;12;0;0;1;0;2;10;0;0;0;2;1
567;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
424;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
047;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
412;2;8;0;2;0;3;1;0;1;6;0;3;4;2;0;0;14;2;0;0;0;0;0
065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
249;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
432;6;1;0;0;0;1;0;0;0;2;0;0;4;0;0;0;4;0;0;0;0;0;0
574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
831;0;1;0;0;1;1;0;0;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0
942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
462;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0
323;0;1;0;1;0;0;0;0;0;2;0;3;0;0;0;0;4;2;0;0;0;0;0
956;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
728;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;1;0;0;0
564;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
712;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
912;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
413;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;4;2;0;0;0;0;0
064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
248;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;2;0;0;0;0;0
433;6;1;1;0;0;2;0;0;1;2;0;3;0;2;0;0;6;2;0;0;0;0;0
461;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0
573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;0;0;0;0;0;0;0;0;0;0;0;3;0;2;1;0;8;0;0;0;0;0;0
534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
231;0;0;0;1;0;0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
