Statistischer Bezirk;2013: Temperatur 1m unter Wasserspiegel  (Messwerte in Dresden) (cls:L960);2017: Temperatur 1m unter Wasserspiegel (Messwerte in Dresden) (cls:L961);2015: Temperatur 1m über Grundwasserleitersohle (Messwerte) (cls:L967);2015: Temperatur 1m unter Wasserspiegel (Messwerte) (cls:L970)
341;15;15;15;15
512;6;6;6;6
117;0;0;0;0
152;18;15;15;18
515;0;0;0;0
116;0;0;0;0
518;0;0;0;0
531;3;3;3;3
042;0;0;0;0
427;0;0;0;0
631;9;9;6;6
234;3;3;3;3
025;3;3;3;3
434;15;15;12;15
977;0;0;0;0
011;27;21;21;30
426;3;3;0;3
045;3;3;3;3
632;0;0;0;0
435;3;3;0;3
954;0;0;0;0
453;0;0;0;0
012;33;33;33;36
411;0;0;0;0
066;0;0;0;0
976;0;0;0;0
551;6;15;18;18
354;3;3;0;3
566;0;0;0;0
838;0;0;0;0
425;0;0;0;0
537;0;0;0;0
044;3;3;3;3
463;3;3;3;3
575;0;0;0;0
521;3;3;3;3
957;0;0;0;0
903;45;39;39;45
741;3;3;3;3
941;0;0;0;0
713;0;0;0;0
322;6;6;6;6
075;0;0;0;0
618;3;3;3;3
727;0;0;0;0
024;3;3;3;3
536;3;3;3;3
633;6;9;6;6
031;15;15;15;15
567;6;6;3;6
839;0;0;0;0
526;3;3;3;3
424;0;0;0;0
047;3;3;3;3
913;0;0;0;0
412;12;12;12;12
065;0;0;0;0
249;9;9;9;9
432;12;12;12;12
574;0;0;0;0
831;9;12;12;12
942;0;0;0;0
462;3;3;3;3
323;3;3;0;0
956;0;0;0;0
619;9;9;9;9
728;0;0;0;0
023;3;3;3;3
553;0;0;0;0
634;21;33;18;27
564;6;6;6;6
974;0;0;0;0
535;0;0;0;0
712;3;3;0;3
912;3;3;3;3
413;0;0;0;0
064;0;0;0;0
046;3;3;3;3
646;15;15;12;15
022;3;3;3;3
527;3;3;3;3
248;0;0;0;0
433;6;6;6;6
461;3;3;0;3
573;0;0;0;0
124;0;0;0;0
565;0;0;0;0
118;3;3;3;3
534;0;0;0;0
645;3;3;3;3
423;3;3;3;3
943;0;0;0;0
711;3;3;3;3
552;0;0;0;0
021;3;3;0;3
231;3;3;3;3
562;0;0;0;0
429;0;0;0;0
