Statistischer Bezirk;Bodenrichtwerte (cls:L303);Bodenrichtwerte (cls:L483);Bodenrichtwertzonen 2015 - Beschriftung (cls:L580);Bodenleitwerte (cls:L295);Bodenrichtwerte (cls:L318);Bodenrichtwerte (cls:L308);Bodenrichtwerte (cls:L322);Bodenrichtwerte (cls:L311);Bodenrichtwerte (cls:L331);Bodenrichtwerte (cls:L312);Bodenrichtwerte (cls:L326);Bodenrichtwerte (cls:L335);Bodenrichtwerte (cls:L315);Bodenrichtwerte (cls:L329);Bodenrichtwerte (cls:L337);Bodenrichtwertzonen 2011 - Beschriftung (cls:L588);Bodenrichtwertzonen 2013 - Beschriftung (cls:L589);Bodenrichtwerte (cls:L298);Bodenrichtwerte (cls:L301);Bodenrichtwertzonen 2017 - Beschriftung (cls:L682);Bodenrichtwertzonen 2019 - Beschriftung (cls:L1079);Baukultur in Dresden (cls:L1090)
923;2;4;0;0;4;2;4;2;4;4;4;4;4;4;4;0;0;0;0;0;0;0
933;2;2;9;0;2;2;2;2;2;2;2;2;2;2;2;10;6;0;0;6;6;0
997;0;2;3;0;0;0;2;0;2;0;2;2;0;2;2;2;2;0;0;2;2;0
143;2;2;3;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;1
866;0;2;0;0;2;0;2;0;2;2;2;2;2;2;2;0;0;0;0;2;2;0
555;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
914;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;4;0
034;6;2;9;0;4;6;4;6;2;4;4;2;4;2;2;6;6;4;6;4;6;1
062;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
733;4;4;3;0;2;4;2;4;2;4;2;2;4;2;4;2;2;4;4;2;2;0
811;4;0;0;0;0;4;2;2;2;2;2;2;0;2;0;2;0;2;2;0;0;0
863;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
516;2;4;3;0;4;2;4;4;4;4;4;4;4;4;4;2;2;0;2;2;2;0
113;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
821;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
909;0;4;12;0;0;0;4;0;4;0;4;4;0;4;4;6;8;0;0;8;8;0
762;2;10;9;0;2;4;8;4;10;2;8;10;2;10;10;6;6;0;2;6;6;0
471;0;6;9;0;0;0;6;0;6;0;6;6;0;6;6;6;6;0;0;6;6;0
771;2;2;3;0;2;2;2;0;0;0;2;0;2;2;2;2;2;0;2;2;2;0
246;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;4;4;0
757;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0
579;2;4;3;2;2;2;2;2;4;2;2;4;2;4;4;4;2;0;2;2;2;0
623;0;2;3;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;4;4;0
224;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
133;2;4;6;2;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;4;2
932;6;2;3;2;4;4;4;2;6;4;4;4;2;6;4;2;2;4;4;2;2;2
996;0;2;3;0;0;0;2;0;2;0;2;2;0;2;2;2;2;0;0;2;2;0
243;4;2;3;0;4;4;4;2;4;4;4;2;4;4;2;4;4;0;2;2;2;0
967;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
314;6;12;30;0;6;8;6;8;8;6;8;12;6;8;12;18;20;2;6;18;18;0
055;2;0;3;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0
362;0;6;18;0;0;0;6;0;6;0;6;6;0;6;6;12;14;0;0;12;12;0
984;4;6;9;0;8;6;8;8;8;8;8;6;8;8;6;6;6;2;4;6;6;0
907;0;4;6;0;0;0;6;0;4;0;6;4;0;4;4;4;4;0;0;4;4;0
257;4;8;21;0;6;6;6;6;8;6;8;8;4;8;8;12;14;2;2;12;12;0
476;0;4;3;0;0;0;4;0;4;0;4;4;0;4;4;2;2;0;0;2;2;1
834;0;2;3;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0
614;2;2;6;4;2;2;2;2;2;2;2;2;2;2;2;4;4;6;2;2;2;0
843;0;2;0;0;0;0;2;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0
953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
071;2;2;3;0;2;2;2;2;2;2;0;2;2;2;2;2;2;0;0;0;0;1
732;4;4;9;0;2;4;6;4;8;4;6;6;4;2;4;6;6;2;2;6;6;1
112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
756;4;6;9;0;6;6;6;8;4;4;6;6;4;4;6;6;6;2;2;6;6;0
962;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
981;6;10;21;2;8;8;10;6;10;6;10;10;6;10;10;22;16;2;4;12;12;0
232;2;4;15;0;2;4;4;4;4;4;4;4;2;4;4;10;10;0;2;12;12;0
035;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
644;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
643;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0
122;6;6;9;0;6;6;6;6;6;6;6;6;6;6;6;6;6;2;4;6;6;3
