Statistischer Bezirk;Tankstellen (cls:L107);Reisebusparkplätze (cls:L738);Pendlerparkplätze (cls:L371);Bergbahnen (cls:L491);Bahnhöfe (cls:L490);Flughafen (cls:L489);Fähren/Anlegestellen (cls:L492);Fahrscheinautomaten (cls:L1086);DVB-Servicepunkte (cls:L1087);Mobilitätspunkte - in Betrieb (cls:L834);Mobilitätspunkte - Konzept, Planung (cls:L833)
825;0;0;0;0;0;0;0;0;0;0;0
569;0;0;0;0;0;0;0;1;0;0;0
312;0;0;0;0;0;0;0;1;0;0;0
364;0;0;0;0;0;0;0;0;0;0;0
624;2;0;0;0;0;0;0;1;0;0;1
221;0;0;0;0;0;0;0;0;0;0;1
904;0;0;0;0;1;0;0;0;0;0;0
455;0;0;0;0;0;0;0;0;0;0;0
986;0;0;0;0;0;0;0;0;0;0;0
072;0;0;0;0;0;0;0;1;0;0;0
852;0;0;0;0;0;0;0;1;0;0;1
935;0;0;0;0;0;0;0;0;0;0;0
901;0;0;0;0;1;0;0;1;0;0;1
754;2;0;0;0;0;0;0;0;0;0;0
766;0;0;0;0;0;0;0;0;0;0;0
743;6;0;0;0;0;0;0;0;0;0;0
819;0;0;0;0;0;0;0;0;0;0;0
844;4;0;0;0;0;0;0;0;0;0;0
737;0;0;0;0;0;0;0;0;0;0;0
475;0;0;0;0;0;0;0;0;0;0;0
543;0;0;0;0;0;0;0;0;0;0;1
936;0;0;0;0;0;0;0;0;0;0;0
212;0;0;0;0;0;0;0;0;0;0;0
961;0;0;0;0;0;0;0;0;0;0;0
993;2;0;1;0;0;0;0;2;0;0;1
824;0;0;0;0;0;0;0;1;0;0;0
352;0;0;0;0;0;0;0;0;0;0;0
753;2;0;0;0;0;0;0;0;0;0;0
816;0;0;0;0;0;0;0;1;0;0;0
078;0;0;0;0;0;0;0;0;0;0;0
316;0;0;0;0;1;0;0;0;0;0;1
767;0;0;0;0;0;0;0;0;0;0;0
911;6;0;0;0;1;0;0;1;0;0;1
523;0;0;0;0;0;0;0;0;0;0;0
965;0;0;0;0;0;0;0;0;0;0;0
556;0;0;0;0;0;0;0;0;0;0;0
053;2;1;0;0;0;0;0;0;0;0;1
905;0;0;0;0;0;0;0;0;0;0;0
836;0;0;0;0;0;0;0;0;0;0;0
324;0;0;0;0;0;0;0;1;0;0;1
073;0;0;0;0;0;0;0;1;0;0;0
067;0;0;0;0;0;0;0;0;0;0;0
355;0;0;0;0;0;0;0;0;0;0;0
617;0;0;0;0;0;0;0;0;0;0;0
464;0;0;0;0;0;0;0;0;0;0;0
576;2;0;0;0;0;0;0;2;0;0;1
311;2;0;0;0;0;0;0;0;0;0;0
833;2;0;0;0;0;0;0;1;0;0;0
902;0;0;0;0;0;0;0;0;0;0;0
321;0;0;0;0;0;0;0;0;0;0;0
538;2;0;0;0;0;0;0;1;0;0;0
925;0;0;0;0;0;0;0;0;0;0;0
472;0;0;0;0;0;0;0;0;0;0;0
736;0;0;0;0;0;0;0;1;0;0;0
141;2;0;0;0;0;0;0;0;0;0;0
867;0;0;0;0;0;0;0;0;0;0;0
995;0;0;0;0;0;0;0;0;0;0;0
951;0;0;0;0;0;0;0;1;0;0;0
915;0;0;0;0;0;0;0;1;0;0;0
955;0;0;0;0;0;0;0;0;0;0;0
033;0;0;0;0;0;0;0;0;0;0;1
853;0;0;0;0;0;0;0;0;0;0;0
223;0;0;0;0;0;0;0;1;0;0;0
452;0;0;0;0;0;0;0;0;0;0;1
077;2;0;0;0;0;0;0;0;0;0;0
823;0;0;0;0;0;0;0;0;0;0;0
983;0;0;0;0;0;0;0;0;0;0;0
247;0;0;0;0;0;0;0;0;0;0;0
752;0;0;0;0;0;0;0;1;0;0;0
817;2;0;0;0;0;0;0;2;0;0;1
331;4;0;0;0;2;1;0;1;0;0;1
441;0;0;0;0;0;0;0;0;0;0;0
213;0;0;0;0;0;0;0;1;0;1;0
063;0;0;0;0;0;0;0;1;0;0;0
611;0;0;0;0;0;0;0;1;0;0;1
