Statistischer Bezirk;Bodenrichtwertzonen 2017 - Beschriftung (cls:L682)
227;12
622;3
921;6
132;3
764;6
862;6
763;3
559;0
214;6
615;0
568;0
991;12
768;0
865;6
554;0
061;0
211;3
254;9
541;3
477;3
842;3
735;0
998;12
931;0
963;0
145;0
242;3
773;0
964;3
522;0
578;0
245;0
835;3
074;0
625;12
814;6
244;0
051;6
318;3
813;6
832;0
924;3
454;15
985;33
861;6
851;18
815;0
577;3
313;3
363;9
818;0
742;21
451;18
215;3
226;9
558;3
052;0
755;12
916;6
131;12
765;9
774;6
032;0
036;0
353;9
076;3
241;9
982;9
864;0
868;0
255;6
474;6
542;0
146;9
845;24
317;3
769;0
952;0
557;0
772;3
356;3
465;12
734;6
825;0
569;0
312;3
364;15
624;9
221;3
904;3
455;3
986;6
072;3
852;21
935;3
901;18
754;0
766;3
743;18
819;3
844;9
737;0
475;6
543;0
936;0
212;3
961;0
993;15
824;6
352;9
753;3
816;0
078;0
316;15
767;3
911;12
523;0
965;0
556;0
053;0
905;9
836;6
324;18
073;3
067;3
355;12
617;3
464;6
576;9
311;18
833;0
902;21
321;12
538;12
925;3
472;6
736;0
141;9
867;6
995;3
951;0
915;6
955;0
033;6
853;27
223;3
452;9
077;3
823;12
983;24
247;6
752;27
817;9
331;3
441;0
213;0
063;0
611;3
545;3
922;12
992;9
351;18
966;0
731;12
514;3
111;9
759;18
626;9
079;0
846;3
517;3
473;3
144;3
934;0
994;6
315;9
054;12
361;15
715;3
906;12
621;3
841;3
725;0
251;9
546;3
751;6
222;3
478;3
616;0
154;0
142;3
822;6
908;3
744;3
228;0
837;0
758;3
225;18
134;3
256;6
761;9
923;0
933;9
997;3
143;3
866;3
555;3
914;6
034;6
062;3
733;3
811;0
863;3
714;0
516;3
113;0
821;3
909;12
762;9
471;9
771;3
246;6
757;3
579;3
623;6
224;3
133;6
932;3
996;3
243;3
967;0
314;27
055;3
362;18
984;9
907;6
257;18
476;3
834;3
614;3
843;0
953;0
071;0
732;9
112;0
332;0
756;9
962;3
812;0
981;18
232;18
035;3
644;3
643;3
122;9
978;0
511;3
721;0
414;9
524;0
114;0
726;0
342;3
572;3
563;6
428;9
233;27
975;3
123;27
972;0
421;12
533;3
151;0
115;0
973;0
723;0
422;9
041;9
958;9
252;6
944;9
722;0
525;3
612;6
642;0
513;0
561;12
571;3
121;6
431;6
253;6
945;42
544;3
069;0
613;6
641;12
724;0
971;6
532;3
043;3
946;24
153;3
068;3
341;6
512;15
117;3
152;12
515;9
116;0
518;0
531;3
042;3
427;9
631;15
234;3
025;3
434;9
977;3
011;21
426;3
045;3
632;3
435;3
954;0
453;9
012;18
411;3
066;3
976;0
551;9
354;27
566;9
838;0
425;18
537;3
044;3
463;15
575;0
521;0
957;0
903;12
741;12
941;3
713;0
322;21
075;0
618;0
727;0
024;0
536;9
633;15
031;24
567;3
839;3
526;0
424;9
047;0
913;3
412;27
065;0
249;3
432;6
574;0
831;12
942;6
462;6
323;12
956;0
619;6
728;0
023;3
553;3
634;18
564;15
974;0
535;0
712;0
912;9
413;0
064;0
046;0
646;12
022;3
527;9
248;15
433;9
461;12
573;3
124;6
565;0
118;9
534;3
645;6
423;3
943;3
711;9
552;3
021;3
231;6
562;3
429;6
