Statistischer Bezirk;Sonstige Unterkünfte (cls:L94);Hotels (cls:L93);Hostel und Jugendherbergen (cls:L95);Campingplätze (cls:L751)
427;6;0;0;0
631;9;0;0;0
234;0;0;0;0
025;0;3;0;0
434;0;0;0;0
977;0;0;0;0
011;12;45;0;0
426;3;0;0;0
045;0;0;0;0
632;9;0;0;0
435;0;0;0;0
954;0;0;0;0
453;3;0;0;0
012;3;6;0;0
411;9;3;0;0
066;3;0;0;0
976;0;0;0;0
551;0;3;0;0
354;12;0;0;0
566;9;0;0;0
838;0;0;0;0
425;9;0;0;0
537;0;0;0;0
044;0;0;0;0
463;0;0;0;0
575;0;0;0;0
521;0;0;0;0
957;0;0;0;0
903;3;0;0;0
741;3;0;0;0
941;3;0;0;0
713;3;0;0;0
322;9;3;0;0
075;0;0;0;0
618;0;0;0;0
727;0;0;0;0
024;0;0;0;0
536;0;0;0;0
633;3;0;0;0
031;3;15;0;0
567;0;0;0;0
839;0;0;0;0
526;3;0;0;0
424;3;0;0;0
047;0;0;0;0
913;0;0;0;0
412;21;3;0;0
065;0;0;0;0
249;0;0;0;0
432;6;0;0;0
574;0;0;0;0
831;0;0;0;0
942;3;0;0;0
462;6;0;0;0
323;6;3;0;0
956;0;0;0;0
619;0;0;0;0
728;0;0;0;0
023;0;0;0;0
553;0;0;0;0
634;12;0;0;2
564;3;0;0;0
974;0;0;0;0
535;0;0;0;0
712;0;0;0;0
912;0;0;0;0
413;6;3;0;0
064;0;0;0;0
046;0;0;0;0
646;6;0;0;0
022;0;0;0;0
527;0;0;0;0
248;9;3;0;0
433;9;3;0;0
461;0;0;0;0
573;0;0;0;0
124;0;0;0;0
565;0;0;0;0
118;12;0;0;0
534;0;0;0;0
645;6;0;0;0
423;6;0;0;0
943;6;0;0;0
711;3;0;0;0
552;0;0;0;0
021;0;3;3;0
231;0;0;0;0
562;3;0;0;0
429;0;0;0;0
