Statistischer Bezirk;Bodenrichtwertzonen 2015 - Beschriftung (cls:L580)
227;10
622;2
921;4
132;2
764;4
862;2
763;2
559;0
214;4
615;0
568;0
991;8
768;0
865;0
554;0
061;0
211;2
254;6
541;2
477;2
842;2
735;0
998;8
931;0
963;0
145;0
242;2
773;0
964;2
522;0
578;0
245;0
835;2
074;2
625;8
814;6
244;0
051;6
318;2
813;4
832;0
924;2
454;12
985;22
861;4
851;12
815;0
577;2
313;2
363;6
818;0
742;14
451;16
215;2
226;6
558;2
052;0
755;8
916;4
131;8
765;2
774;4
032;0
036;0
353;6
076;2
241;6
982;6
864;0
868;0
255;4
474;6
542;0
146;6
845;16
317;2
769;0
952;0
557;0
772;2
356;4
465;10
734;4
825;0
569;0
312;2
364;10
624;6
221;12
904;2
455;2
986;6
072;0
852;14
935;2
901;14
754;0
766;6
743;12
819;2
844;6
737;0
475;4
543;0
936;0
212;4
961;0
993;10
824;4
352;6
753;2
816;0
078;0
316;10
767;2
911;8
523;0
965;0
556;2
053;0
905;6
836;4
324;12
073;2
067;2
355;8
617;2
464;4
576;6
311;10
833;0
902;16
321;8
538;8
925;2
472;4
736;0
141;6
867;2
995;2
951;0
915;4
955;0
033;4
853;18
223;2
452;6
077;2
823;6
983;18
247;2
752;18
817;6
331;2
441;0
213;0
063;0
611;2
545;2
922;8
992;6
351;12
966;0
731;8
514;2
111;6
759;12
626;6
079;0
846;2
517;2
473;2
144;0
934;0
994;4
315;8
054;8
361;10
715;2
906;8
621;2
841;2
725;0
251;6
546;2
751;4
222;2
478;2
616;0
154;0
142;2
822;4
908;2
744;2
228;0
837;0
758;2
225;14
134;2
256;4
761;6
923;0
933;6
997;2
143;2
866;0
555;2
914;2
034;6
062;2
733;2
811;0
863;2
714;0
516;2
113;0
821;2
909;8
762;6
471;6
771;2
246;4
757;2
579;2
623;2
224;2
133;4
932;2
996;2
243;2
967;0
314;20
055;2
362;12
984;6
907;4
257;14
476;2
834;2
614;4
843;0
953;0
071;2
732;6
112;0
332;0
756;6
962;2
812;0
981;14
232;10
035;2
644;2
643;2
122;6
978;0
511;2
721;0
414;6
524;0
114;0
726;0
342;2
572;2
563;4
428;6
233;18
975;2
123;18
972;0
421;10
533;2
151;0
115;0
973;0
723;0
422;4
041;6
958;8
252;4
944;6
722;0
525;2
612;4
642;0
513;0
561;8
571;2
121;2
431;4
253;4
945;28
544;2
069;0
613;4
641;8
724;0
971;4
532;4
043;2
946;14
153;4
068;2
341;4
512;10
117;2
152;12
515;6
116;0
518;0
531;2
042;2
427;6
631;8
234;2
025;2
434;6
977;2
011;14
426;4
045;2
632;2
435;2
954;0
453;6
012;12
411;2
066;2
976;0
551;6
354;18
566;6
838;0
425;12
537;2
044;2
463;8
575;0
521;0
957;0
903;10
741;8
941;2
713;0
322;14
075;0
618;0
727;0
024;0
536;6
633;10
031;16
567;2
839;2
526;0
424;6
047;0
913;2
412;16
065;0
249;2
432;4
574;0
831;8
942;4
462;6
323;8
956;0
619;4
728;0
023;2
553;2
634;10
564;10
974;0
535;0
712;0
912;6
413;0
064;0
046;0
646;8
022;2
527;6
248;10
433;6
461;8
573;2
124;4
565;0
118;8
534;2
645;4
423;2
943;2
711;6
552;2
021;2
231;4
562;2
429;4
