Statistischer Bezirk;Bodenrichtwerte (cls:L308)
227;3
622;3
921;9
132;0
764;0
862;3
763;3
559;0
214;15
615;3
568;0
991;0
768;0
865;0
554;0
061;0
211;3
254;9
541;6
477;0
842;0
735;0
998;0
931;3
963;0
145;0
242;0
773;3
964;0
522;3
578;6
245;3
835;0
074;0
625;0
814;0
244;3
051;6
318;0
813;6
832;0
924;0
454;0
985;12
861;0
851;3
815;0
577;0
313;0
363;0
818;3
742;6
451;0
215;0
226;6
558;3
052;9
755;6
916;0
131;18
765;3
774;0
032;0
036;0
353;0
076;0
241;3
982;6
864;3
868;6
255;3
474;0
542;0
146;9
845;6
317;0
769;0
952;0
557;0
772;0
356;0
465;0
734;3
825;0
569;0
312;0
364;0
624;6
221;12
904;0
455;0
986;6
072;0
852;6
935;3
901;0
754;0
766;0
743;9
819;3
844;9
737;0
475;0
543;3
936;3
212;3
961;0
993;0
824;3
352;0
753;0
816;0
078;0
316;18
767;0
911;9
523;3
965;0
556;0
053;6
905;0
836;3
324;3
073;3
067;3
355;0
617;0
464;0
576;6
311;6
833;0
902;0
321;18
538;0
925;6
472;0
736;0
141;6
867;0
995;0
951;3
915;3
955;0
033;0
853;9
223;3
452;0
077;0
823;6
983;9
247;3
752;6
817;6
331;6
441;0
213;6
063;0
611;3
545;3
922;0
992;0
351;0
966;0
731;3
514;6
111;12
759;9
626;3
079;0
846;6
517;3
473;0
144;0
934;0
994;0
315;9
054;0
361;0
715;0
906;0
621;9
841;0
725;0
251;6
546;3
751;6
222;6
478;0
616;0
154;0
142;3
822;3
908;0
744;0
228;0
837;0
758;0
225;9
134;3
256;3
761;9
923;3
933;3
997;0
143;3
866;0
555;0
914;0
034;9
062;0
733;6
811;6
863;0
714;0
516;3
113;0
821;0
909;0
762;6
471;0
771;3
246;0
757;0
579;3
623;0
224;0
133;6
932;6
996;0
243;6
967;0
314;12
055;3
362;0
984;9
907;0
257;9
476;0
834;0
614;3
843;0
953;0
071;3
732;6
112;0
332;0
756;9
962;0
812;0
981;12
232;6
035;0
644;0
643;0
122;9
978;0
511;9
721;0
414;9
524;0
114;0
726;0
342;0
572;3
563;6
428;6
233;9
975;0
123;6
972;0
421;9
533;3
151;0
115;0
973;0
723;0
422;3
041;12
958;6
252;18
944;3
722;0
525;3
612;6
642;0
513;0
561;3
571;3
121;9
431;6
253;0
945;6
544;0
069;0
613;0
641;3
724;0
971;0
532;0
043;3
946;9
153;0
068;9
341;0
512;9
117;3
152;3
515;6
116;0
518;0
531;3
042;0
427;9
631;12
234;6
025;0
434;6
977;0
011;12
426;6
045;0
632;3
435;3
954;3
453;0
012;6
411;6
066;3
976;0
551;3
354;0
566;6
838;0
425;12
537;0
044;0
463;0
575;0
521;3
957;0
903;0
741;6
941;0
713;0
322;15
075;3
618;0
727;0
024;0
536;0
633;12
031;9
567;0
839;3
526;3
424;9
047;3
913;3
412;15
065;3
249;0
432;12
574;0
831;3
942;0
462;0
323;15
956;0
619;0
728;0
023;0
553;0
634;9
564;9
974;0
535;0
712;0
912;3
413;6
064;0
046;0
646;6
022;0
527;6
248;12
433;3
461;0
573;3
124;0
565;0
118;6
534;0
645;9
423;3
943;6
711;3
552;0
021;3
231;6
562;0
429;3
