"Jahr";"Stadtraum";"Heizungsart";"Anteil in %"
"1993";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Einzelraumheizung";84
"1993";"16 Gorbitz";"Fernheizung";97
"1993";"16 Gorbitz";"Zentralheizung oder Etagenheizung";2
"1993";"16 Gorbitz";"Einzelraumheizung";1
"1993";"17 Briesnitz und westliche OS";"Fernheizung";2
"1993";"17 Briesnitz und westliche OS";"Zentralheizung oder Etagenheizung";39
"1993";"17 Briesnitz und westliche OS";"Einzelraumheizung";60
"1993";"18 Dresden gesamt";"Fernheizung";41
"1993";"18 Dresden gesamt";"Zentralheizung oder Etagenheizung";14
"1993";"18 Dresden gesamt";"Einzelraumheizung";46
"1995";"01 StB Altstadt ohne Johannstadt";"Fernheizung";81
"1995";"01 StB Altstadt ohne Johannstadt";"Zentralheizung oder Etagenheizung";8
"1995";"01 StB Altstadt ohne Johannstadt";"Einzelraumheizung";12
"1995";"02 Johannstadt";"Fernheizung";73
"1995";"02 Johannstadt";"Zentralheizung oder Etagenheizung";4
"1995";"02 Johannstadt";"Einzelraumheizung";23
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"Fernheizung";33
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"Zentralheizung oder Etagenheizung";18
"1995";"03 StB Neustadt ohne Leipziger Vorstadt";"Einzelraumheizung";49
"1995";"04 Leipziger Vorstadt, Pieschen";"Fernheizung";4
"1995";"04 Leipziger Vorstadt, Pieschen";"Zentralheizung oder Etagenheizung";10
"1995";"04 Leipziger Vorstadt, Pieschen";"Einzelraumheizung";87
"1995";"05 Mickten, Kaditz, Trachau";"Fernheizung";22
"1995";"05 Mickten, Kaditz, Trachau";"Zentralheizung oder Etagenheizung";24
"1995";"05 Mickten, Kaditz, Trachau";"Einzelraumheizung";54
"1995";"06 StB Klotzsche und nördliche OS";"Fernheizung";29
"1995";"06 StB Klotzsche und nördliche OS";"Zentralheizung oder Etagenheizung";35
"1995";"06 StB Klotzsche und nördliche OS";"Einzelraumheizung";36
"1995";"07 StB Loschwitz und OS Schönfeld-Weißig";"Fernheizung";2
"1995";"07 StB Loschwitz und OS Schönfeld-Weißig";"Zentralheizung oder Etagenheizung";66
"1995";"07 StB Loschwitz und OS Schönfeld-Weißig";"Einzelraumheizung";32
"1995";"08 Blasewitz, Striesen";"Fernheizung";23
"1995";"08 Blasewitz, Striesen";"Zentralheizung oder Etagenheizung";21
"1995";"08 Blasewitz, Striesen";"Einzelraumheizung";56
"1995";"09 Tolkewitz, Seidnitz, Gruna";"Fernheizung";52
"1995";"09 Tolkewitz, Seidnitz, Gruna";"Zentralheizung oder Etagenheizung";10
"1995";"09 Tolkewitz, Seidnitz, Gruna";"Einzelraumheizung";38
"1995";"10 StB Leuben";"Fernheizung";42
"1995";"10 StB Leuben";"Zentralheizung oder Etagenheizung";25
"1995";"10 StB Leuben";"Einzelraumheizung";34
"1995";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Fernheizung";83
"1995";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";10
"1995";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";8
"1995";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Fernheizung";23
"1995";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";48
"1995";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";30
"1995";"13 Südvorstadt, Zschertnitz";"Fernheizung";65
"1995";"13 Südvorstadt, Zschertnitz";"Zentralheizung oder Etagenheizung";13
"1995";"13 Südvorstadt, Zschertnitz";"Einzelraumheizung";22
"1995";"14 Mockritz, Coschütz, Plauen";"Fernheizung";25
"1995";"14 Mockritz, Coschütz, Plauen";"Zentralheizung oder Etagenheizung";42
"1995";"14 Mockritz, Coschütz, Plauen";"Einzelraumheizung";33
"1995";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Fernheizung";7
"1995";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Zentralheizung oder Etagenheizung";26
"1995";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Einzelraumheizung";67
"1995";"16 Gorbitz";"Fernheizung";96
"1995";"16 Gorbitz";"Zentralheizung oder Etagenheizung";3
"1995";"16 Gorbitz";"Einzelraumheizung";0
"1995";"17 Briesnitz und westliche OS";"Fernheizung";4
"1995";"17 Briesnitz und westliche OS";"Zentralheizung oder Etagenheizung";51
"1995";"17 Briesnitz und westliche OS";"Einzelraumheizung";45
"1995";"18 Dresden gesamt";"Fernheizung";43
"1995";"18 Dresden gesamt";"Zentralheizung oder Etagenheizung";20
"1995";"18 Dresden gesamt";"Einzelraumheizung";36
"1996";"01 StB Altstadt ohne Johannstadt";"Fernheizung";93
"1996";"01 StB Altstadt ohne Johannstadt";"Zentralheizung oder Etagenheizung";2
"1996";"01 StB Altstadt ohne Johannstadt";"Einzelraumheizung";4
"1996";"02 Johannstadt";"Fernheizung";84
"1996";"02 Johannstadt";"Zentralheizung oder Etagenheizung";6
"1996";"02 Johannstadt";"Einzelraumheizung";10
"1996";"03 StB Neustadt ohne Leipziger Vorstadt";"Fernheizung";41
"1996";"03 StB Neustadt ohne Leipziger Vorstadt";"Zentralheizung oder Etagenheizung";20
"1996";"03 StB Neustadt ohne Leipziger Vorstadt";"Einzelraumheizung";39
"1996";"04 Leipziger Vorstadt, Pieschen";"Fernheizung";8
"1996";"04 Leipziger Vorstadt, Pieschen";"Zentralheizung oder Etagenheizung";35
"1996";"04 Leipziger Vorstadt, Pieschen";"Einzelraumheizung";57
"1996";"05 Mickten, Kaditz, Trachau";"Fernheizung";21
"1996";"05 Mickten, Kaditz, Trachau";"Zentralheizung oder Etagenheizung";39
"1996";"05 Mickten, Kaditz, Trachau";"Einzelraumheizung";40
"1996";"06 StB Klotzsche und nördliche OS";"Fernheizung";38
"1996";"06 StB Klotzsche und nördliche OS";"Zentralheizung oder Etagenheizung";51
"1996";"06 StB Klotzsche und nördliche OS";"Einzelraumheizung";12
"1996";"07 StB Loschwitz und OS Schönfeld-Weißig";"Fernheizung";3
"1996";"07 StB Loschwitz und OS Schönfeld-Weißig";"Zentralheizung oder Etagenheizung";64
"1996";"07 StB Loschwitz und OS Schönfeld-Weißig";"Einzelraumheizung";34
"1996";"08 Blasewitz, Striesen";"Fernheizung";39
"1996";"08 Blasewitz, Striesen";"Zentralheizung oder Etagenheizung";27
"1996";"08 Blasewitz, Striesen";"Einzelraumheizung";34
"1996";"09 Tolkewitz, Seidnitz, Gruna";"Fernheizung";59
"1996";"09 Tolkewitz, Seidnitz, Gruna";"Zentralheizung oder Etagenheizung";16
"1996";"09 Tolkewitz, Seidnitz, Gruna";"Einzelraumheizung";25
"1996";"10 StB Leuben";"Fernheizung";43
"1996";"10 StB Leuben";"Zentralheizung oder Etagenheizung";35
"1996";"10 StB Leuben";"Einzelraumheizung";23
"1996";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Fernheizung";84
"1996";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";11
"1996";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";4
"1996";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Fernheizung";16
"1996";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";64
"1996";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";19
"1996";"13 Südvorstadt, Zschertnitz";"Fernheizung";61
"1996";"13 Südvorstadt, Zschertnitz";"Zentralheizung oder Etagenheizung";23
"1996";"13 Südvorstadt, Zschertnitz";"Einzelraumheizung";16
"1996";"14 Mockritz, Coschütz, Plauen";"Fernheizung";34
"1996";"14 Mockritz, Coschütz, Plauen";"Zentralheizung oder Etagenheizung";49
"1996";"14 Mockritz, Coschütz, Plauen";"Einzelraumheizung";17
"1996";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Fernheizung";10
"1996";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Zentralheizung oder Etagenheizung";46
"1996";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Einzelraumheizung";43
"1996";"16 Gorbitz";"Fernheizung";94
"1996";"16 Gorbitz";"Zentralheizung oder Etagenheizung";6
"1996";"16 Gorbitz";"Einzelraumheizung";0
"1996";"17 Briesnitz und westliche OS";"Fernheizung";9
"1996";"17 Briesnitz und westliche OS";"Zentralheizung oder Etagenheizung";56
"1996";"17 Briesnitz und westliche OS";"Einzelraumheizung";35
"1996";"18 Dresden gesamt";"Fernheizung";48
"1996";"18 Dresden gesamt";"Zentralheizung oder Etagenheizung";29
"1996";"18 Dresden gesamt";"Einzelraumheizung";23
