"Jahr";"Stadtraum";"Heizungsart";"Anteil in %"
"2007";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";25
"2007";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";0
"2007";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Fernheizung";25
"2007";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";72
"2007";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";3
"2007";"13 Südvorstadt, Zschertnitz";"Fernheizung";63
"2007";"13 Südvorstadt, Zschertnitz";"Zentralheizung oder Etagenheizung";34
"2007";"13 Südvorstadt, Zschertnitz";"Einzelraumheizung";3
"2007";"14 Mockritz, Coschütz, Plauen";"Fernheizung";31
"2007";"14 Mockritz, Coschütz, Plauen";"Zentralheizung oder Etagenheizung";68
"2007";"14 Mockritz, Coschütz, Plauen";"Einzelraumheizung";1
"2007";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Fernheizung";29
"2007";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Zentralheizung oder Etagenheizung";65
"2007";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Einzelraumheizung";5
"2007";"16 Gorbitz";"Fernheizung";81
"2007";"16 Gorbitz";"Zentralheizung oder Etagenheizung";19
"2007";"16 Gorbitz";"Einzelraumheizung";0
"2007";"17 Briesnitz und westliche OS";"Fernheizung";10
"2007";"17 Briesnitz und westliche OS";"Zentralheizung oder Etagenheizung";88
"2007";"17 Briesnitz und westliche OS";"Einzelraumheizung";2
"2007";"18 Dresden gesamt";"Fernheizung";46
"2007";"18 Dresden gesamt";"Zentralheizung oder Etagenheizung";52
"2007";"18 Dresden gesamt";"Einzelraumheizung";3
"2010";"01 StB Altstadt ohne Johannstadt";"Fernheizung";66
"2010";"01 StB Altstadt ohne Johannstadt";"Zentralheizung oder Etagenheizung";34
"2010";"01 StB Altstadt ohne Johannstadt";"Einzelraumheizung";0
"2010";"02 Johannstadt";"Fernheizung";76
"2010";"02 Johannstadt";"Zentralheizung oder Etagenheizung";24
"2010";"02 Johannstadt";"Einzelraumheizung";0
"2010";"03 StB Neustadt ohne Leipziger Vorstadt";"Fernheizung";53
"2010";"03 StB Neustadt ohne Leipziger Vorstadt";"Zentralheizung oder Etagenheizung";43
"2010";"03 StB Neustadt ohne Leipziger Vorstadt";"Einzelraumheizung";3
"2010";"04 Leipziger Vorstadt, Pieschen";"Fernheizung";23
"2010";"04 Leipziger Vorstadt, Pieschen";"Zentralheizung oder Etagenheizung";75
"2010";"04 Leipziger Vorstadt, Pieschen";"Einzelraumheizung";2
"2010";"05 Mickten, Kaditz, Trachau";"Fernheizung";33
"2010";"05 Mickten, Kaditz, Trachau";"Zentralheizung oder Etagenheizung";67
"2010";"05 Mickten, Kaditz, Trachau";"Einzelraumheizung";1
"2010";"06 StB Klotzsche und nördliche OS";"Fernheizung";28
"2010";"06 StB Klotzsche und nördliche OS";"Zentralheizung oder Etagenheizung";71
"2010";"06 StB Klotzsche und nördliche OS";"Einzelraumheizung";1
"2010";"07 StB Loschwitz und OS Schönfeld-Weißig";"Fernheizung";11
"2010";"07 StB Loschwitz und OS Schönfeld-Weißig";"Zentralheizung oder Etagenheizung";88
"2010";"07 StB Loschwitz und OS Schönfeld-Weißig";"Einzelraumheizung";1
"2010";"08 Blasewitz, Striesen";"Fernheizung";48
"2010";"08 Blasewitz, Striesen";"Zentralheizung oder Etagenheizung";50
"2010";"08 Blasewitz, Striesen";"Einzelraumheizung";1
"2010";"09 Tolkewitz, Seidnitz, Gruna";"Fernheizung";68
"2010";"09 Tolkewitz, Seidnitz, Gruna";"Zentralheizung oder Etagenheizung";32
"2010";"09 Tolkewitz, Seidnitz, Gruna";"Einzelraumheizung";0
"2010";"10 StB Leuben";"Fernheizung";40
"2010";"10 StB Leuben";"Zentralheizung oder Etagenheizung";59
"2010";"10 StB Leuben";"Einzelraumheizung";1
"2010";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Fernheizung";87
"2010";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";13
"2010";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";0
"2010";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Fernheizung";28
"2010";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";70
"2010";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";2
"2010";"13 Südvorstadt, Zschertnitz";"Fernheizung";72
"2010";"13 Südvorstadt, Zschertnitz";"Zentralheizung oder Etagenheizung";28
"2010";"13 Südvorstadt, Zschertnitz";"Einzelraumheizung";0
"2010";"14 Mockritz, Coschütz, Plauen";"Fernheizung";35
"2010";"14 Mockritz, Coschütz, Plauen";"Zentralheizung oder Etagenheizung";65
"2010";"14 Mockritz, Coschütz, Plauen";"Einzelraumheizung";0
"2010";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Fernheizung";20
"2010";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Zentralheizung oder Etagenheizung";79
"2010";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Einzelraumheizung";2
"2010";"16 Gorbitz";"Fernheizung";93
"2010";"16 Gorbitz";"Zentralheizung oder Etagenheizung";7
"2010";"16 Gorbitz";"Einzelraumheizung";0
"2010";"17 Briesnitz und westliche OS";"Fernheizung";11
"2010";"17 Briesnitz und westliche OS";"Zentralheizung oder Etagenheizung";88
"2010";"17 Briesnitz und westliche OS";"Einzelraumheizung";1
"2010";"18 Dresden gesamt";"Fernheizung";46
"2010";"18 Dresden gesamt";"Zentralheizung oder Etagenheizung";53
"2010";"18 Dresden gesamt";"Einzelraumheizung";1
"2012";"01 StB Altstadt ohne Johannstadt";"Fernheizung";79
"2012";"01 StB Altstadt ohne Johannstadt";"Zentralheizung oder Etagenheizung";21
"2012";"01 StB Altstadt ohne Johannstadt";"Einzelraumheizung";0
"2012";"02 Johannstadt";"Fernheizung";85
"2012";"02 Johannstadt";"Zentralheizung oder Etagenheizung";15
"2012";"02 Johannstadt";"Einzelraumheizung";0
"2012";"03 StB Neustadt ohne Leipziger Vorstadt";"Fernheizung";72
"2012";"03 StB Neustadt ohne Leipziger Vorstadt";"Zentralheizung oder Etagenheizung";27
"2012";"03 StB Neustadt ohne Leipziger Vorstadt";"Einzelraumheizung";1
"2012";"04 Leipziger Vorstadt, Pieschen";"Fernheizung";42
"2012";"04 Leipziger Vorstadt, Pieschen";"Zentralheizung oder Etagenheizung";56
"2012";"04 Leipziger Vorstadt, Pieschen";"Einzelraumheizung";1
"2012";"05 Mickten, Kaditz, Trachau";"Fernheizung";49
"2012";"05 Mickten, Kaditz, Trachau";"Zentralheizung oder Etagenheizung";51
"2012";"05 Mickten, Kaditz, Trachau";"Einzelraumheizung";0
"2012";"06 StB Klotzsche und nördliche OS";"Fernheizung";33
"2012";"06 StB Klotzsche und nördliche OS";"Zentralheizung oder Etagenheizung";64
"2012";"06 StB Klotzsche und nördliche OS";"Einzelraumheizung";3
"2012";"07 StB Loschwitz und OS Schönfeld-Weißig";"Fernheizung";13
"2012";"07 StB Loschwitz und OS Schönfeld-Weißig";"Zentralheizung oder Etagenheizung";80
"2012";"07 StB Loschwitz und OS Schönfeld-Weißig";"Einzelraumheizung";8
"2012";"08 Blasewitz, Striesen";"Fernheizung";59
"2012";"08 Blasewitz, Striesen";"Zentralheizung oder Etagenheizung";39
"2012";"08 Blasewitz, Striesen";"Einzelraumheizung";2
"2012";"09 Tolkewitz, Seidnitz, Gruna";"Fernheizung";79
"2012";"09 Tolkewitz, Seidnitz, Gruna";"Zentralheizung oder Etagenheizung";21
"2012";"09 Tolkewitz, Seidnitz, Gruna";"Einzelraumheizung";0
"2012";"10 StB Leuben";"Fernheizung";54
"2012";"10 StB Leuben";"Zentralheizung oder Etagenheizung";43
"2012";"10 StB Leuben";"Einzelraumheizung";3
"2012";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Fernheizung";93
"2012";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";7
"2012";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";0
"2012";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Fernheizung";48
"2012";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";51
"2012";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";1
"2012";"13 Südvorstadt, Zschertnitz";"Fernheizung";84
"2012";"13 Südvorstadt, Zschertnitz";"Zentralheizung oder Etagenheizung";16
"2012";"13 Südvorstadt, Zschertnitz";"Einzelraumheizung";0
"2012";"14 Mockritz, Coschütz, Plauen";"Fernheizung";44
"2012";"14 Mockritz, Coschütz, Plauen";"Zentralheizung oder Etagenheizung";54
"2012";"14 Mockritz, Coschütz, Plauen";"Einzelraumheizung";3
"2012";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Fernheizung";39
"2012";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Zentralheizung oder Etagenheizung";59
"2012";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Einzelraumheizung";2
"2012";"16 Gorbitz";"Fernheizung";91
"2012";"16 Gorbitz";"Zentralheizung oder Etagenheizung";9
"2012";"16 Gorbitz";"Einzelraumheizung";0
"2012";"17 Briesnitz und westliche OS";"Fernheizung";19
"2012";"17 Briesnitz und westliche OS";"Zentralheizung oder Etagenheizung";80
"2012";"17 Briesnitz und westliche OS";"Einzelraumheizung";1
"2012";"18 Dresden gesamt";"Fernheizung";59
"2012";"18 Dresden gesamt";"Zentralheizung oder Etagenheizung";40
"2012";"18 Dresden gesamt";"Einzelraumheizung";1
"2014";"01 StB Altstadt ohne Johannstadt";"Fernheizung";71
"2014";"01 StB Altstadt ohne Johannstadt";"Zentralheizung oder Etagenheizung";30
"2014";"01 StB Altstadt ohne Johannstadt";"Einzelraumheizung";0
"2014";"02 Johannstadt";"Fernheizung";75
"2014";"02 Johannstadt";"Zentralheizung oder Etagenheizung";25
"2014";"02 Johannstadt";"Einzelraumheizung";0
"2014";"03 StB Neustadt ohne Leipziger Vorstadt";"Fernheizung";41
"2014";"03 StB Neustadt ohne Leipziger Vorstadt";"Zentralheizung oder Etagenheizung";55
"2014";"03 StB Neustadt ohne Leipziger Vorstadt";"Einzelraumheizung";4
"2014";"04 Leipziger Vorstadt, Pieschen";"Fernheizung";23
"2014";"04 Leipziger Vorstadt, Pieschen";"Zentralheizung oder Etagenheizung";68
"2014";"04 Leipziger Vorstadt, Pieschen";"Einzelraumheizung";9
"2014";"05 Mickten, Kaditz, Trachau";"Fernheizung";39
"2014";"05 Mickten, Kaditz, Trachau";"Zentralheizung oder Etagenheizung";54
"2014";"05 Mickten, Kaditz, Trachau";"Einzelraumheizung";7
"2014";"06 StB Klotzsche und nördliche OS";"Fernheizung";17
"2014";"06 StB Klotzsche und nördliche OS";"Zentralheizung oder Etagenheizung";81
"2014";"06 StB Klotzsche und nördliche OS";"Einzelraumheizung";2
"2014";"07 StB Loschwitz und OS Schönfeld-Weißig";"Fernheizung";7
"2014";"07 StB Loschwitz und OS Schönfeld-Weißig";"Zentralheizung oder Etagenheizung";89
"2014";"07 StB Loschwitz und OS Schönfeld-Weißig";"Einzelraumheizung";4
"2014";"08 Blasewitz, Striesen";"Fernheizung";55
"2014";"08 Blasewitz, Striesen";"Zentralheizung oder Etagenheizung";45
"2014";"08 Blasewitz, Striesen";"Einzelraumheizung";1
"2014";"09 Tolkewitz, Seidnitz, Gruna";"Fernheizung";65
"2014";"09 Tolkewitz, Seidnitz, Gruna";"Zentralheizung oder Etagenheizung";31
"2014";"09 Tolkewitz, Seidnitz, Gruna";"Einzelraumheizung";4
"2014";"10 StB Leuben";"Fernheizung";47
"2014";"10 StB Leuben";"Zentralheizung oder Etagenheizung";52
"2014";"10 StB Leuben";"Einzelraumheizung";1
"2014";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Fernheizung";75
"2014";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";25
"2014";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";0
"2014";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Fernheizung";32
"2014";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";65
"2014";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";3
"2014";"13 Südvorstadt, Zschertnitz";"Fernheizung";66
"2014";"13 Südvorstadt, Zschertnitz";"Zentralheizung oder Etagenheizung";34
"2014";"13 Südvorstadt, Zschertnitz";"Einzelraumheizung";1
"2014";"14 Mockritz, Coschütz, Plauen";"Fernheizung";25
"2014";"14 Mockritz, Coschütz, Plauen";"Zentralheizung oder Etagenheizung";73
"2014";"14 Mockritz, Coschütz, Plauen";"Einzelraumheizung";1
"2014";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Fernheizung";23
"2014";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Zentralheizung oder Etagenheizung";72
"2014";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Einzelraumheizung";5
"2014";"16 Gorbitz";"Fernheizung";80
"2014";"16 Gorbitz";"Zentralheizung oder Etagenheizung";20
"2014";"16 Gorbitz";"Einzelraumheizung";0
"2014";"17 Briesnitz und westliche OS";"Fernheizung";10
"2014";"17 Briesnitz und westliche OS";"Zentralheizung oder Etagenheizung";88
"2014";"17 Briesnitz und westliche OS";"Einzelraumheizung";2
"2014";"18 Dresden gesamt";"Fernheizung";45
"2014";"18 Dresden gesamt";"Zentralheizung oder Etagenheizung";53
"2014";"18 Dresden gesamt";"Einzelraumheizung";3
"2016";"01 StB Altstadt ohne Johannstadt";"Fernheizung";67
"2016";"01 StB Altstadt ohne Johannstadt";"Zentralheizung oder Etagenheizung";32
"2016";"01 StB Altstadt ohne Johannstadt";"Einzelraumheizung";1
"2016";"02 Johannstadt";"Fernheizung";77
"2016";"02 Johannstadt";"Zentralheizung oder Etagenheizung";23
"2016";"02 Johannstadt";"Einzelraumheizung";0
"2016";"03 StB Neustadt ohne Leipziger Vorstadt";"Fernheizung";52
"2016";"03 StB Neustadt ohne Leipziger Vorstadt";"Zentralheizung oder Etagenheizung";45
"2016";"03 StB Neustadt ohne Leipziger Vorstadt";"Einzelraumheizung";4
"2016";"04 Leipziger Vorstadt, Pieschen";"Fernheizung";25
"2016";"04 Leipziger Vorstadt, Pieschen";"Zentralheizung oder Etagenheizung";74
"2016";"04 Leipziger Vorstadt, Pieschen";"Einzelraumheizung";2
"2016";"05 Mickten, Kaditz, Trachau";"Fernheizung";33
"2016";"05 Mickten, Kaditz, Trachau";"Zentralheizung oder Etagenheizung";66
"2016";"05 Mickten, Kaditz, Trachau";"Einzelraumheizung";1
"2016";"06 StB Klotzsche und nördliche OS";"Fernheizung";28
"2016";"06 StB Klotzsche und nördliche OS";"Zentralheizung oder Etagenheizung";72
"2016";"06 StB Klotzsche und nördliche OS";"Einzelraumheizung";1
"2016";"07 StB Loschwitz und OS Schönfeld-Weißig";"Fernheizung";9
"2016";"07 StB Loschwitz und OS Schönfeld-Weißig";"Zentralheizung oder Etagenheizung";88
"2016";"07 StB Loschwitz und OS Schönfeld-Weißig";"Einzelraumheizung";3
"2016";"08 Blasewitz, Striesen";"Fernheizung";51
"2016";"08 Blasewitz, Striesen";"Zentralheizung oder Etagenheizung";49
"2016";"08 Blasewitz, Striesen";"Einzelraumheizung";0
"2016";"09 Tolkewitz, Seidnitz, Gruna";"Fernheizung";61
"2016";"09 Tolkewitz, Seidnitz, Gruna";"Zentralheizung oder Etagenheizung";39
"2016";"09 Tolkewitz, Seidnitz, Gruna";"Einzelraumheizung";0
"2016";"10 StB Leuben";"Fernheizung";46
"2016";"10 StB Leuben";"Zentralheizung oder Etagenheizung";53
"2016";"10 StB Leuben";"Einzelraumheizung";1
"2016";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Fernheizung";79
"2016";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";20
"2016";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";1
"2016";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Fernheizung";32
"2016";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";66
"2016";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";3
"2016";"13 Südvorstadt, Zschertnitz";"Fernheizung";65
"2016";"13 Südvorstadt, Zschertnitz";"Zentralheizung oder Etagenheizung";34
"2016";"13 Südvorstadt, Zschertnitz";"Einzelraumheizung";0
"2016";"14 Mockritz, Coschütz, Plauen";"Fernheizung";35
"2016";"14 Mockritz, Coschütz, Plauen";"Zentralheizung oder Etagenheizung";64
"2016";"14 Mockritz, Coschütz, Plauen";"Einzelraumheizung";0
"2016";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Fernheizung";32
"2016";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Zentralheizung oder Etagenheizung";68
"2016";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Einzelraumheizung";0
"2016";"16 Gorbitz";"Fernheizung";78
"2016";"16 Gorbitz";"Zentralheizung oder Etagenheizung";22
"2016";"16 Gorbitz";"Einzelraumheizung";0
"2016";"17 Briesnitz und westliche OS";"Fernheizung";12
"2016";"17 Briesnitz und westliche OS";"Zentralheizung oder Etagenheizung";85
"2016";"17 Briesnitz und westliche OS";"Einzelraumheizung";3
"2016";"18 Dresden gesamt";"Fernheizung";45
"2016";"18 Dresden gesamt";"Zentralheizung oder Etagenheizung";54
"2016";"18 Dresden gesamt";"Einzelraumheizung";1
"2018";"01 StB Altstadt ohne Johannstadt";"Fernheizung";68
"2018";"01 StB Altstadt ohne Johannstadt";"Zentralheizung oder Etagenheizung";32
"2018";"01 StB Altstadt ohne Johannstadt";"Einzelraumheizung";0
"2018";"02 Johannstadt";"Fernheizung";73
"2018";"02 Johannstadt";"Zentralheizung oder Etagenheizung";26
"2018";"02 Johannstadt";"Einzelraumheizung";2
"2018";"03 StB Neustadt ohne Leipziger Vorstadt";"Fernheizung";44
"2018";"03 StB Neustadt ohne Leipziger Vorstadt";"Zentralheizung oder Etagenheizung";54
"2018";"03 StB Neustadt ohne Leipziger Vorstadt";"Einzelraumheizung";3
"2018";"04 Leipziger Vorstadt, Pieschen";"Fernheizung";25
"2018";"04 Leipziger Vorstadt, Pieschen";"Zentralheizung oder Etagenheizung";73
"2018";"04 Leipziger Vorstadt, Pieschen";"Einzelraumheizung";2
"2018";"05 Mickten, Kaditz, Trachau";"Fernheizung";39
"2018";"05 Mickten, Kaditz, Trachau";"Zentralheizung oder Etagenheizung";61
"2018";"05 Mickten, Kaditz, Trachau";"Einzelraumheizung";0
"2018";"06 StB Klotzsche und nördliche OS";"Fernheizung";26
"2018";"06 StB Klotzsche und nördliche OS";"Zentralheizung oder Etagenheizung";73
"2018";"06 StB Klotzsche und nördliche OS";"Einzelraumheizung";1
"2018";"07 StB Loschwitz und OS Schönfeld-Weißig";"Fernheizung";12
"2018";"07 StB Loschwitz und OS Schönfeld-Weißig";"Zentralheizung oder Etagenheizung";86
"2018";"07 StB Loschwitz und OS Schönfeld-Weißig";"Einzelraumheizung";2
"2018";"08 Blasewitz, Striesen";"Fernheizung";49
"2018";"08 Blasewitz, Striesen";"Zentralheizung oder Etagenheizung";51
"2018";"08 Blasewitz, Striesen";"Einzelraumheizung";0
"2018";"09 Tolkewitz, Seidnitz, Gruna";"Fernheizung";67
"2018";"09 Tolkewitz, Seidnitz, Gruna";"Zentralheizung oder Etagenheizung";32
"2018";"09 Tolkewitz, Seidnitz, Gruna";"Einzelraumheizung";1
"2018";"10 StB Leuben";"Fernheizung";49
"2018";"10 StB Leuben";"Zentralheizung oder Etagenheizung";51
"2018";"10 StB Leuben";"Einzelraumheizung";1
"2018";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Fernheizung";73
"2018";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";27
"2018";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";0
"2018";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Fernheizung";30
"2018";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Zentralheizung oder Etagenheizung";70
"2018";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";"Einzelraumheizung";1
"2018";"13 Südvorstadt, Zschertnitz";"Fernheizung";63
"2018";"13 Südvorstadt, Zschertnitz";"Zentralheizung oder Etagenheizung";35
"2018";"13 Südvorstadt, Zschertnitz";"Einzelraumheizung";2
"2018";"14 Mockritz, Coschütz, Plauen";"Fernheizung";31
"2018";"14 Mockritz, Coschütz, Plauen";"Zentralheizung oder Etagenheizung";67
"2018";"14 Mockritz, Coschütz, Plauen";"Einzelraumheizung";2
"2018";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Fernheizung";36
"2018";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Zentralheizung oder Etagenheizung";62
"2018";"15 Cotta, Löbtau, Naußlitz, Dölzschen";"Einzelraumheizung";2
"2018";"16 Gorbitz";"Fernheizung";74
"2018";"16 Gorbitz";"Zentralheizung oder Etagenheizung";26
"2018";"16 Gorbitz";"Einzelraumheizung";0
"2018";"17 Briesnitz und westliche OS";"Fernheizung";8
"2018";"17 Briesnitz und westliche OS";"Zentralheizung oder Etagenheizung";91
"2018";"17 Briesnitz und westliche OS";"Einzelraumheizung";2
"2018";"18 Dresden gesamt";"Fernheizung";45
"2018";"18 Dresden gesamt";"Zentralheizung oder Etagenheizung";54
"2018";"18 Dresden gesamt";"Einzelraumheizung";1
