"Statistischer Bezirk";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"Bautätigkeit - Art";"Genehmigungsjahr";"Gebäudeart";"Anzahl Gebäude";"Wohnungen gesamt"
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2016";"Eigenheim";1;1
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2017";"Mehrfamilienhaus";1;11
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2018";"Mehrfamilienhaus";3;63
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1993";"Eigenheim";1;1
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1994";"Mehrfamilienhaus";1;12
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1995";"Mehrfamilienhaus";1;13
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1997";"Mehrfamilienhaus";2;21
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2000";"Mehrfamilienhaus";1;9
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2004";"Eigenheim";1;1
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2004";"Mehrfamilienhaus";1;12
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2007";"Mehrfamilienhaus";2;24
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2010";"Mehrfamilienhaus";2;14
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2011";"Mehrfamilienhaus";4;26
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2012";"Mehrfamilienhaus";3;24
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2013";"Mehrfamilienhaus";1;4
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2015";"Mehrfamilienhaus";2;17
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2016";"Mehrfamilienhaus";1;8
"222  Trachau-Süd(Bunsenstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2018";"Mehrfamilienhaus";1;7
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1996";"Nichtwohngebäude mit Wohnungen";1;4
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1997";"Mehrfamilienhaus";17;136
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2015";"Mehrfamilienhaus";2;25
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1993";"Eigenheim";1;2
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1993";"Mehrfamilienhaus";4;43
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1994";"Mehrfamilienhaus";3;28
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1995";"Eigenheim";1;1
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1997";"Mehrfamilienhaus";4;33
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1998";"Mehrfamilienhaus";4;40
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2000";"Mehrfamilienhaus";1;7
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2007";"Mehrfamilienhaus";1;8
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2008";"Mehrfamilienhaus";3;16
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2010";"Mehrfamilienhaus";1;3
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2012";"Mehrfamilienhaus";17;173
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2015";"Mehrfamilienhaus";1;3
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2015";"Nichtwohngebäude ohne Wohnungen";1;0
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2017";"Mehrfamilienhaus";2;10
"223  Mickten(Dreyßigplatz)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2018";"Eigenheim";1;1
"224  Mickten(Lommatzscher Str)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1995";"Mehrfamilienhaus";2;26
"224  Mickten(Lommatzscher Str)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2003";"Nichtwohngebäude ohne Wohnungen";1;0
"224  Mickten(Lommatzscher Str)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2010";"Nichtwohngebäude ohne Wohnungen";1;0
"224  Mickten(Lommatzscher Str)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1993";"Mehrfamilienhaus";12;78
"224  Mickten(Lommatzscher Str)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2009";"Mehrfamilienhaus";15;119
"224  Mickten(Lommatzscher Str)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2010";"Nichtwohngebäude ohne Wohnungen";1;0
"224  Mickten(Lommatzscher Str)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2011";"Mehrfamilienhaus";3;32
"224  Mickten(Lommatzscher Str)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2011";"Nichtwohngebäude ohne Wohnungen";1;0
"224  Mickten(Lommatzscher Str)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2016";"Mehrfamilienhaus";12;72
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1992";"Nichtwohngebäude mit Wohnungen";1;4
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1993";"Nichtwohngebäude ohne Wohnungen";1;0
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1994";"Mehrfamilienhaus";13;191
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1994";"Nichtwohngebäude ohne Wohnungen";1;0
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1995";"Mehrfamilienhaus";22;408
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1996";"Eigenheim";8;14
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1996";"Mehrfamilienhaus";13;169
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1996";"Nichtwohngebäude ohne Wohnungen";2;0
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1997";"Mehrfamilienhaus";10;160
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1997";"Nichtwohngebäude ohne Wohnungen";1;0
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1998";"Mehrfamilienhaus";5;45
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1998";"Nichtwohngebäude ohne Wohnungen";2;0
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2000";"Nichtwohngebäude mit Wohnungen";1;4
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2001";"Nichtwohngebäude ohne Wohnungen";1;0
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2002";"Nichtwohngebäude ohne Wohnungen";2;0
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2004";"Eigenheim";2;2
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2005";"Eigenheim";4;4
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2006";"Eigenheim";2;2
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2007";"Eigenheim";2;3
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2008";"Eigenheim";4;4
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2008";"Nichtwohngebäude ohne Wohnungen";3;0
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2009";"Eigenheim";1;1
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2010";"Eigenheim";2;2
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2011";"Eigenheim";2;2
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2013";"Nichtwohngebäude ohne Wohnungen";2;0
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2014";"Mehrfamilienhaus";1;10
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2016";"Mehrfamilienhaus";3;180
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2016";"Nichtwohngebäude ohne Wohnungen";1;0
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2017";"Mehrfamilienhaus";1;3
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2018";"Mehrfamilienhaus";3;30
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1993";"Eigenheim";1;2
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1995";"Mehrfamilienhaus";5;60
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1996";"Mehrfamilienhaus";12;161
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1997";"Mehrfamilienhaus";7;56
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1998";"Mehrfamilienhaus";4;35
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1999";"Eigenheim";1;2
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1999";"Mehrfamilienhaus";9;132
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2000";"Mehrfamilienhaus";7;51
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2002";"Mehrfamilienhaus";2;17
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2004";"Mehrfamilienhaus";3;30
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2006";"Eigenheim";1;1
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2006";"Mehrfamilienhaus";12;100
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2007";"Mehrfamilienhaus";1;8
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2007";"Nichtwohngebäude ohne Wohnungen";1;0
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2008";"Nichtwohngebäude ohne Wohnungen";3;0
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2009";"Mehrfamilienhaus";1;8
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2009";"Nichtwohngebäude mit Wohnungen";1;6
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2009";"Nichtwohngebäude ohne Wohnungen";1;0
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2010";"Eigenheim";1;1
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2010";"Mehrfamilienhaus";1;7
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2010";"Nichtwohngebäude mit Wohnungen";1;3
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2010";"Nichtwohngebäude ohne Wohnungen";1;0
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2011";"Mehrfamilienhaus";8;62
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2015";"Eigenheim";1;1
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2016";"Eigenheim";1;2
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2017";"Eigenheim";1;1
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2017";"Mehrfamilienhaus";2;15
"225  Mickten(Sternstr)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2017";"Nichtwohngebäude ohne Wohnungen";1;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1992";"Nichtwohngebäude mit Wohnungen";1;1
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1992";"Nichtwohngebäude ohne Wohnungen";2;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1993";"Nichtwohngebäude ohne Wohnungen";3;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1994";"Nichtwohngebäude ohne Wohnungen";5;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1995";"Eigenheim";3;3
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1995";"Nichtwohngebäude ohne Wohnungen";1;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1996";"Eigenheim";1;1
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1996";"Mehrfamilienhaus";1;12
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1996";"Nichtwohngebäude ohne Wohnungen";4;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1997";"Nichtwohngebäude ohne Wohnungen";3;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1998";"Mehrfamilienhaus";2;20
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1998";"Nichtwohngebäude ohne Wohnungen";1;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1999";"Eigenheim";4;4
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2000";"Eigenheim";1;1
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2000";"Nichtwohngebäude ohne Wohnungen";2;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2001";"Eigenheim";2;2
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2001";"Nichtwohngebäude ohne Wohnungen";4;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2002";"Nichtwohngebäude ohne Wohnungen";1;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2003";"Eigenheim";1;1
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2003";"Nichtwohngebäude ohne Wohnungen";1;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2004";"Nichtwohngebäude ohne Wohnungen";1;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2005";"Eigenheim";3;4
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2007";"Nichtwohngebäude ohne Wohnungen";3;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2008";"Eigenheim";1;2
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2008";"Nichtwohngebäude ohne Wohnungen";2;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2009";"Eigenheim";3;3
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2009";"Nichtwohngebäude ohne Wohnungen";2;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2010";"Eigenheim";1;2
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2010";"Nichtwohngebäude ohne Wohnungen";2;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2011";"Nichtwohngebäude ohne Wohnungen";4;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2012";"Nichtwohngebäude ohne Wohnungen";2;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2013";"Eigenheim";2;2
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2013";"Nichtwohngebäude ohne Wohnungen";1;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2014";"Nichtwohngebäude ohne Wohnungen";1;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2015";"Nichtwohngebäude ohne Wohnungen";2;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2016";"Nichtwohngebäude ohne Wohnungen";1;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2017";"Nichtwohngebäude ohne Wohnungen";1;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2018";"Eigenheim";2;2
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1993";"Eigenheim";1;2
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1994";"Mehrfamilienhaus";1;5
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1996";"Nichtwohngebäude ohne Wohnungen";1;0
