"Jahr";"Stadtraum";"Note für Wohnung";"Note für Wohngegend";"Note für Stadt"
"2010";"17 Briesnitz und westliche OS";2;2;2
"2010";"18 Dresden gesamt";2;2;2
"2012";"01 StB Altstadt ohne Johannstadt";2;2;2
"2012";"02 Johannstadt";2;2;2
"2012";"03 StB Neustadt ohne Leipziger Vorstadt";2;2;2
"2012";"04 Leipziger Vorstadt, Pieschen";2;2;2
"2012";"05 Mickten, Kaditz, Trachau";2;2;2
"2012";"06 StB Klotzsche und nördliche OS";2;2;2
"2012";"07 StB Loschwitz und OS Schönfeld-Weißig";2;2;2
"2012";"08 Blasewitz, Striesen";2;2;2
"2012";"09 Tolkewitz, Seidnitz, Gruna";2;2;2
"2012";"10 StB Leuben";2;2;2
"2012";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";2;3;2
"2012";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";2;2;2
"2012";"13 Südvorstadt, Zschertnitz";2;2;2
"2012";"14 Mockritz, Coschütz, Plauen";2;2;2
"2012";"15 Cotta, Löbtau, Naußlitz, Dölzschen";2;2;2
"2012";"16 Gorbitz";2;2;2
"2012";"17 Briesnitz und westliche OS";2;2;2
"2012";"18 Dresden gesamt";2;2;2
"2014";"01 StB Altstadt ohne Johannstadt";2;2;2
"2014";"02 Johannstadt";2;2;2
"2014";"03 StB Neustadt ohne Leipziger Vorstadt";2;2;2
"2014";"04 Leipziger Vorstadt, Pieschen";2;2;2
"2014";"05 Mickten, Kaditz, Trachau";2;2;2
"2014";"06 StB Klotzsche und nördliche OS";2;2;2
"2014";"07 StB Loschwitz und OS Schönfeld-Weißig";2;2;2
"2014";"08 Blasewitz, Striesen";2;2;2
"2014";"09 Tolkewitz, Seidnitz, Gruna";2;2;2
"2014";"10 StB Leuben";2;2;2
"2014";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";2;3;2
"2014";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";2;2;2
"2014";"13 Südvorstadt, Zschertnitz";2;2;2
"2014";"14 Mockritz, Coschütz, Plauen";2;2;2
"2014";"15 Cotta, Löbtau, Naußlitz, Dölzschen";2;2;2
"2014";"16 Gorbitz";2;2;2
"2014";"17 Briesnitz und westliche OS";2;2;2
"2014";"18 Dresden gesamt";2;2;2
"2016";"01 StB Altstadt ohne Johannstadt";2;2;2
"2016";"02 Johannstadt";2;2;2
"2016";"03 StB Neustadt ohne Leipziger Vorstadt";2;2;2
"2016";"04 Leipziger Vorstadt, Pieschen";2;2;2
"2016";"05 Mickten, Kaditz, Trachau";2;2;2
"2016";"06 StB Klotzsche und nördliche OS";2;2;2
"2016";"07 StB Loschwitz und OS Schönfeld-Weißig";2;2;2
"2016";"08 Blasewitz, Striesen";2;2;2
"2016";"09 Tolkewitz, Seidnitz, Gruna";2;2;2
"2016";"10 StB Leuben";2;2;2
"2016";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";2;3;2
"2016";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";2;2;2
"2016";"13 Südvorstadt, Zschertnitz";2;2;2
"2016";"14 Mockritz, Coschütz, Plauen";2;2;2
"2016";"15 Cotta, Löbtau, Naußlitz, Dölzschen";2;2;2
"2016";"16 Gorbitz";2;3;2
"2016";"17 Briesnitz und westliche OS";2;2;2
"2016";"18 Dresden gesamt";2;2;2
"2018";"01 StB Altstadt ohne Johannstadt";2;2;2
"2018";"02 Johannstadt";2;2;2
"2018";"03 StB Neustadt ohne Leipziger Vorstadt";2;2;2
"2018";"04 Leipziger Vorstadt, Pieschen";2;2;2
"2018";"05 Mickten, Kaditz, Trachau";2;2;2
"2018";"06 StB Klotzsche und nördliche OS";2;2;2
"2018";"07 StB Loschwitz und OS Schönfeld-Weißig";2;2;2
"2018";"08 Blasewitz, Striesen";2;2;2
"2018";"09 Tolkewitz, Seidnitz, Gruna";2;2;2
"2018";"10 StB Leuben";2;2;2
"2018";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";2;3;2
"2018";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";2;2;2
"2018";"13 Südvorstadt, Zschertnitz";2;2;2
"2018";"14 Mockritz, Coschütz, Plauen";2;2;2
"2018";"15 Cotta, Löbtau, Naußlitz, Dölzschen";2;2;2
"2018";"16 Gorbitz";2;3;2
"2018";"17 Briesnitz und westliche OS";2;2;2
"2018";"18 Dresden gesamt";2;2;2
