"Jahr";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"AltK_13IRB-2-5-9-14-17-24-29-44-59-64-74-84-";"Anzahl Einwohner"
"";"03 Seevorstadt-Ost";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"65 - 74 Jahre";559
"";"03 Seevorstadt-Ost";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"75 - 84 Jahre";1158
"";"03 Seevorstadt-Ost";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"85 Jahre u.älter";471
"";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"00 - 02 Jahre";242
"";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"03 - 05 Jahre";172
"";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"06 - 09 Jahre";198
"";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"10 - 14 Jahre";185
"";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"15 - 17 Jahre";104
"";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"18 - 24 Jahre";874
"";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"25 - 29 Jahre";1016
"";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"30 - 44 Jahre";1827
"";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"45 - 59 Jahre";1201
"";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"60 - 64 Jahre";411
