"Jahr";"Quartal";"Monat";"Wirtschaftszweig 2-Steller";"Anzahl Betriebe";"Tätige Personen (absolut)";"Tätige Personen (Anteil an Gesamtsumme des verarb. Gewerbes)";"Geleistete Arbeitsstunden (gesamt in 1000h)";"Geleistete Arbeitsstunden je tätiger Person";"Entgelte (in 1000 EUR)";"Entgelte je tätiger Person";"Gesamtumsatz (in 1000 EUR)";"Absoluter Anteil des Umsatzes in der Europazone am Gesamtumsatz (in 1000 EUR)";"Absoluter Anteil des Umsatzes im Ausland am Gesamtumsatz (in 1000 EUR)";"Gesamtumsatz je tätiger Person";"Anteil des Gesamtumsatzes an Gesamtsumme des verarb. Gewerbes";"Umsatz aus eigenen Erzeugnissen gesamt (in 1000 EUR)";"Umsatz aus eigenen Erzeugnissen Ausland (in 1000 EUR)";"Umsatz aus eigenen Erzeugnissen je tätiger Person"
"2019";"2. Quartal";"04";"Verarbeitendes Gewerbe gesamt";122;25404;100;3368;133;100727;3965;553336;325290;207575;21781;100;534376;321611;21035
"2019";"2. Quartal";"04";"Kohlenbergbau, Torfgewinnung";7;611;2;78;128;1517;2483;9986;0;0;16343;2;9435;0;15442
"2019";"2. Quartal";"04";"Gewinnung v.Erdöl u.Erbringung damit verbund.Dienstleistgen.";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"04";"Bergbau auf Uran- und Thoriumerze";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"04";"Tabakverarbeitung";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"04";"Bekleidungsgewerbe";7;1574;6;204;130;4353;2766;16119;0;0;10240;3;14709;0;9345
"2019";"2. Quartal";"04";"Holzgewerbe (ohne Herstellung von Möbeln) 20";4;349;1;48;138;921;2639;7261;2552;1813;20805;1;5758;2445;16499
"2019";"2. Quartal";"04";"Papiergewerbe";6;1577;6;213;135;6686;4240;25655;0;0;16268;5;24193;0;15341
"2019";"2. Quartal";"04";"Verlags-,Druckgew.,Vervielfält.v.besp.Ton-,Bild-u.Datenträg.";3;337;1;45;134;806;2392;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"04";"Kokerei,Mineralölverarb.,Herst.u.Verarb.v.Spalt-u.Brutstoff. 23";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"04";"Herstellung von Gummi- und Kunststoffwaren 25";10;990;4;129;130;2569;2595;6129;0;0;6190;1;6048;0;6109
"2019";"2. Quartal";"04";"Glasgewerbe, Keramik, Verarbeitung von Steinen und Erden 26";25;8917;35;1190;133;35024;3928;254421;0;0;28532;46;247851;0;27795
"2019";"2. Quartal";"04";"Metallerzeugung und -bearbeitung";11;1582;6;219;138;5911;3736;19565;9378;4182;12367;4;19380;9305;12250
"2019";"2. Quartal";"04";"Herstellung von Metallerzeugnissen";23;4577;18;635;139;22752;4971;59435;41915;6901;12985;11;56082;41358;12253
"2019";"2. Quartal";"04";"Maschinenbau 29";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"04";"Herst.v.Büromasch.,Datenverarbeitungsgeräten u.-einrichtgen.";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"04";"Herstellung v.Geräten der Elektrizitätserzeugung, -verteilg.";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"04";"Rundfunk-, Fernseh- und Nachrichtentechnik";6;675;3;87;129;1583;2345;4019;0;0;5954;1;2280;0;3378
"2019";"2. Quartal";"04";"Medizin-, Meß-, Steuer- und Regelungstechnik, Optik";10;919;4;130;141;4258;4633;16033;0;0;17446;3;15006;0;16329
"2019";"2. Quartal";"05";"Verarbeitendes Gewerbe gesamt";122;25451;100;3478;137;107804;4236;600494;346361;202373;23594;100;585368;341525;23000
"2019";"2. Quartal";"05";"Kohlenbergbau, Torfgewinnung";7;643;3;86;134;1558;2423;10339;0;0;16079;2;9998;0;15549
"2019";"2. Quartal";"05";"Gewinnung v.Erdöl u.Erbringung damit verbund.Dienstleistgen.";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"05";"Bergbau auf Uran- und Thoriumerze";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"05";"Tabakverarbeitung";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"05";"Bekleidungsgewerbe";7;1582;6;210;133;4299;2717;16169;0;0;10220;3;14712;0;9300
"2019";"2. Quartal";"05";"Holzgewerbe (ohne Herstellung von Möbeln) 20";4;345;1;47;136;909;2635;6825;2225;1523;19782;1;5690;2191;16493
"2019";"2. Quartal";"05";"Papiergewerbe";6;1595;6;224;140;6741;4226;28267;0;0;17722;5;26417;0;16562
"2019";"2. Quartal";"05";"Verlags-,Druckgew.,Vervielfält.v.besp.Ton-,Bild-u.Datenträg.";3;352;1;46;131;857;2435;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"05";"Kokerei,Mineralölverarb.,Herst.u.Verarb.v.Spalt-u.Brutstoff. 23";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"05";"Herstellung von Gummi- und Kunststoffwaren 25";10;986;4;130;132;2514;2550;6124;833;677;6210;1;6031;833;6117
"2019";"2. Quartal";"05";"Glasgewerbe, Keramik, Verarbeitung von Steinen und Erden 26";25;8863;35;1219;138;45118;5091;261914;179665;138044;29551;44;258081;177403;29119
"2019";"2. Quartal";"05";"Metallerzeugung und -bearbeitung";11;1577;6;233;148;5954;3776;21004;8954;2542;13318;4;20809;8852;13195
"2019";"2. Quartal";"05";"Herstellung von Metallerzeugnissen";23;4595;18;654;142;18104;3940;91319;65955;16760;19873;15;89432;65081;19463
"2019";"2. Quartal";"05";"Maschinenbau 29";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"05";"Herst.v.Büromasch.,Datenverarbeitungsgeräten u.-einrichtgen.";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"05";"Herstellung v.Geräten der Elektrizitätserzeugung, -verteilg.";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"05";"Rundfunk-, Fernseh- und Nachrichtentechnik";6;675;3;91;135;1576;2335;4598;0;0;6811;1;2762;0;4092
"2019";"2. Quartal";"05";"Medizin-, Meß-, Steuer- und Regelungstechnik, Optik";10;918;4;134;146;4115;4483;19474;4575;4108;21213;3;18638;4107;20303
"2019";"2. Quartal";"06";"Verarbeitendes Gewerbe gesamt";122;25449;100;3181;125;107492;4224;492967;272505;144897;19371;100;472820;266772;18579
"2019";"2. Quartal";"06";"Kohlenbergbau, Torfgewinnung";7;623;2;79;127;1477;2371;9557;0;0;15340;2;9146;0;14681
"2019";"2. Quartal";"06";"Gewinnung v.Erdöl u.Erbringung damit verbund.Dienstleistgen.";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"06";"Bergbau auf Uran- und Thoriumerze";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"06";"Tabakverarbeitung";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"06";"Bekleidungsgewerbe";7;1578;6;185;117;5516;3496;14492;0;0;9184;3;13212;0;8373
"2019";"2. Quartal";"06";"Holzgewerbe (ohne Herstellung von Möbeln) 20";4;346;1;44;127;1081;3124;6572;2507;1775;18994;1;5481;2446;15841
"2019";"2. Quartal";"06";"Papiergewerbe";6;1559;6;184;118;7684;4929;26650;0;0;17094;5;24990;0;16030
"2019";"2. Quartal";"06";"Verlags-,Druckgew.,Vervielfält.v.besp.Ton-,Bild-u.Datenträg.";3;349;1;42;120;1004;2877;5103;0;0;14622;1;5098;0;14607
"2019";"2. Quartal";"06";"Kokerei,Mineralölverarb.,Herst.u.Verarb.v.Spalt-u.Brutstoff. 23";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"06";"Herstellung von Gummi- und Kunststoffwaren 25";10;977;4;116;119;2443;2501;5391;536;509;5518;1;5274;536;5398
"2019";"2. Quartal";"06";"Glasgewerbe, Keramik, Verarbeitung von Steinen und Erden 26";25;8878;35;1144;129;44029;4959;187940;123877;87218;21169;38;178557;120147;20112
"2019";"2. Quartal";"06";"Metallerzeugung und -bearbeitung";11;1581;6;208;132;5833;3689;27445;17937;8568;17359;6;27258;17870;17241
"2019";"2. Quartal";"06";"Herstellung von Metallerzeugnissen";23;4624;18;601;130;18106;3916;66567;46198;7747;14396;14;64372;45592;13921
"2019";"2. Quartal";"06";"Maschinenbau 29";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"06";"Herst.v.Büromasch.,Datenverarbeitungsgeräten u.-einrichtgen.";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"06";"Herstellung v.Geräten der Elektrizitätserzeugung, -verteilg.";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"2. Quartal";"06";"Rundfunk-, Fernseh- und Nachrichtentechnik";6;680;3;82;121;1810;2662;4422;0;0;6503;1;2536;0;3729
"2019";"2. Quartal";"06";"Medizin-, Meß-, Steuer- und Regelungstechnik, Optik";10;919;4;124;135;4433;4824;21107;4939;3910;22967;4;20356;4517;22150
"2019";"3. Quartal";"07";"Verarbeitendes Gewerbe gesamt";122;25428;100;3431;135;94940;3734;477430;230221;136793;18776;100;456529;224047;17954
"2019";"3. Quartal";"07";"Kohlenbergbau, Torfgewinnung";7;641;3;87;136;1509;2354;12039;0;0;18782;3;11648;0;18172
"2019";"3. Quartal";"07";"Gewinnung v.Erdöl u.Erbringung damit verbund.Dienstleistgen.";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"3. Quartal";"07";"Bergbau auf Uran- und Thoriumerze";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"3. Quartal";"07";"Tabakverarbeitung";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"3. Quartal";"07";"Bekleidungsgewerbe";7;1572;6;212;135;4225;2688;14482;0;0;9212;3;13196;0;8394
"2019";"3. Quartal";"07";"Holzgewerbe (ohne Herstellung von Möbeln) 20";4;352;1;50;142;1016;2886;7306;2811;1886;20756;2;5794;2661;16460
"2019";"3. Quartal";"07";"Papiergewerbe";6;1558;6;202;130;6455;4143;28146;0;0;18065;6;26417;0;16956
"2019";"3. Quartal";"07";"Verlags-,Druckgew.,Vervielfält.v.besp.Ton-,Bild-u.Datenträg.";3;341;1;47;138;922;2704;0;0;0;0;0;0;0;0
"2019";"3. Quartal";"07";"Kokerei,Mineralölverarb.,Herst.u.Verarb.v.Spalt-u.Brutstoff. 23";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"3. Quartal";"07";"Herstellung von Gummi- und Kunststoffwaren 25";10;973;4;135;139;2466;2534;7629;353;278;7841;2;7583;353;7793
"2019";"3. Quartal";"07";"Glasgewerbe, Keramik, Verarbeitung von Steinen und Erden 26";25;8876;35;1175;132;34769;3917;191549;113813;77116;21581;40;183847;110045;20713
"2019";"3. Quartal";"07";"Metallerzeugung und -bearbeitung";11;1562;6;239;153;5597;3583;21558;10741;3885;13802;5;20417;10685;13071
"2019";"3. Quartal";"07";"Herstellung von Metallerzeugnissen";23;4610;18;665;144;17092;3708;74998;41515;14901;16269;16;72337;40573;15691
"2019";"3. Quartal";"07";"Maschinenbau 29";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"3. Quartal";"07";"Herst.v.Büromasch.,Datenverarbeitungsgeräten u.-einrichtgen.";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"3. Quartal";"07";"Herstellung v.Geräten der Elektrizitätserzeugung, -verteilg.";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2019";"3. Quartal";"07";"Rundfunk-, Fernseh- und Nachrichtentechnik";6;674;3;87;129;1729;2565;4303;0;0;6384;1;2297;0;3408
"2019";"3. Quartal";"07";"Medizin-, Meß-, Steuer- und Regelungstechnik, Optik";10;925;4;137;148;4320;4670;16449;3411;2998;17783;3;15715;3081;16989
