Jahr,Stadtraum,Anzahl Einwohner,mean_age
2003,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",32374,42.2048557484401
2003,"13 Südvorstadt, Zschertnitz",25147,43.406688670616774
2003,"14 Mockritz, Coschütz, Plauen",22473,41.5892849196814
2003,"15 Cotta, Löbtau, Naußlitz, Dölzschen",32522,38.45593751921776
2003,16 Gorbitz,20668,42.574269401974064
2003,17 Briesnitz und westliche OS,21090,41.53205310573732
2004,01 StB Altstadt ohne Johannstadt,25151,50.13069062860323
2004,02 Johannstadt,22474,49.270979798878706
2004,03 StB Neustadt ohne Leipziger Vorstadt,27713,35.772814202720745
2004,"04 Leipziger Vorstadt, Pieschen",28196,36.51166832174776
2004,"05 Mickten, Kaditz, Trachau",25605,41.87236867799258
2004,06 StB Klotzsche und nördliche OS,29993,42.5076517854166
2004,07 StB Loschwitz und OS Schönfeld-Weißig,31321,42.79748411608825
2004,"08 Blasewitz, Striesen",42232,41.281350634589884
2004,"09 Tolkewitz, Seidnitz, Gruna",35046,45.55858015180049
2004,10 StB Leuben,36565,45.07375905920963
2004,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",21388,44.306433514120066
2004,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",32234,42.44164546751877
2004,"13 Südvorstadt, Zschertnitz",25230,43.53900118906064
2004,"14 Mockritz, Coschütz, Plauen",22691,41.8456216120929
2004,"15 Cotta, Löbtau, Naußlitz, Dölzschen",32851,38.554321025235154
2004,16 Gorbitz,20506,42.92709450892422
2004,17 Briesnitz und westliche OS,21151,41.76185523143114
2005,01 StB Altstadt ohne Johannstadt,25534,49.497728518837626
2005,02 Johannstadt,23117,49.203529869792796
2005,03 StB Neustadt ohne Leipziger Vorstadt,28844,35.42483705450007
2005,"04 Leipziger Vorstadt, Pieschen",28966,36.33359801146172
2005,"05 Mickten, Kaditz, Trachau",25595,41.93424496972065
2005,06 StB Klotzsche und nördliche OS,29950,42.87262103505843
2005,07 StB Loschwitz und OS Schönfeld-Weißig,31547,43.07493581006118
2005,"08 Blasewitz, Striesen",42870,41.26895264753907
2005,"09 Tolkewitz, Seidnitz, Gruna",35193,45.709913903333046
2005,10 StB Leuben,37196,45.07119045058609
2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",21492,44.797599106644334
2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",32256,42.4801277281746
2005,"13 Südvorstadt, Zschertnitz",26064,42.98860497237569
2005,"14 Mockritz, Coschütz, Plauen",22997,41.916510849241206
2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",33909,38.30926892565395
2005,16 Gorbitz,20261,43.007650165342284
2005,17 Briesnitz und westliche OS,21408,41.997337443946186
2006,01 StB Altstadt ohne Johannstadt,25908,48.84985332715763
2006,02 Johannstadt,23524,49.04561299098793
2006,03 StB Neustadt ohne Leipziger Vorstadt,30385,35.17047885469804
2006,"04 Leipziger Vorstadt, Pieschen",30160,36.02324270557029
2006,"05 Mickten, Kaditz, Trachau",26177,41.78920426328456
2006,06 StB Klotzsche und nördliche OS,29991,43.19349138074756
2006,07 StB Loschwitz und OS Schönfeld-Weißig,31643,43.43564137407957
2006,"08 Blasewitz, Striesen",43622,41.315758103709136
2006,"09 Tolkewitz, Seidnitz, Gruna",35670,45.6013456686291
2006,10 StB Leuben,37600,45.141063829787235
2006,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",21968,45.08494173343045
2006,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",32381,42.57907414842037
2006,"13 Südvorstadt, Zschertnitz",26841,42.52755113445848
2006,"14 Mockritz, Coschütz, Plauen",23300,41.97729613733905
2006,"15 Cotta, Löbtau, Naußlitz, Dölzschen",34992,38.11991312299954
2006,16 Gorbitz,20362,42.88051271977213
2006,17 Briesnitz und westliche OS,21497,42.38884495511002
2007,01 StB Altstadt ohne Johannstadt,26737,48.01387590230766
2007,02 Johannstadt,23600,49.09953389830508
2007,03 StB Neustadt ohne Leipziger Vorstadt,31115,35.22471476779688
2007,"04 Leipziger Vorstadt, Pieschen",31010,35.953176394711384
2007,"05 Mickten, Kaditz, Trachau",26670,41.64206974128234
2007,06 StB Klotzsche und nördliche OS,30002,43.52423171788548
2007,07 StB Loschwitz und OS Schönfeld-Weißig,31801,43.666677148517344
2007,"08 Blasewitz, Striesen",44388,41.28009822474543
2007,"09 Tolkewitz, Seidnitz, Gruna",36001,45.7133690730813
2007,10 StB Leuben,37711,45.294502930179526
2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",22371,45.31424612221179
2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",32361,42.78421556812212
2007,"13 Südvorstadt, Zschertnitz",27331,42.17602722183601
2007,"14 Mockritz, Coschütz, Plauen",23472,42.27258009543286
2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",35633,38.008278842645865
2007,16 Gorbitz,20130,43.04361649279682
2007,17 Briesnitz und westliche OS,21582,42.688027059586695
2008,01 StB Altstadt ohne Johannstadt,27329,47.50312854476929
2008,02 Johannstadt,23716,49.115744644965424
2008,03 StB Neustadt ohne Leipziger Vorstadt,31637,35.178272276132375
2008,"04 Leipziger Vorstadt, Pieschen",31994,35.76061136463087
2008,"05 Mickten, Kaditz, Trachau",27084,41.59123467730025
2008,06 StB Klotzsche und nördliche OS,30025,43.788442964196506
2008,07 StB Loschwitz und OS Schönfeld-Weißig,31845,43.94777830114618
2008,"08 Blasewitz, Striesen",44910,41.37717657537297
2008,"09 Tolkewitz, Seidnitz, Gruna",36247,45.82839959169035
2008,10 StB Leuben,37918,45.38348541589746
2008,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",22455,45.51837007348029
2008,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",32529,42.883795997417685
2008,"13 Südvorstadt, Zschertnitz",27314,42.159332210587976
2008,"14 Mockritz, Coschütz, Plauen",23702,42.31938233060501
2008,"15 Cotta, Löbtau, Naußlitz, Dölzschen",36226,37.80897697786121
2008,16 Gorbitz,19944,43.23455675892499
2008,17 Briesnitz und westliche OS,21753,43.00924010481313
2009,01 StB Altstadt ohne Johannstadt,27937,47.133836847191894
2009,02 Johannstadt,23423,49.403492293899156
2009,03 StB Neustadt ohne Leipziger Vorstadt,32441,35.11423815542061
2009,"04 Leipziger Vorstadt, Pieschen",33105,35.49318834012989
2009,"05 Mickten, Kaditz, Trachau",27351,41.517567913421814
2009,06 StB Klotzsche und nördliche OS,30052,43.98968454678557
2009,07 StB Loschwitz und OS Schönfeld-Weißig,31981,44.18245208092305
2009,"08 Blasewitz, Striesen",45472,41.39078993666432
2009,"09 Tolkewitz, Seidnitz, Gruna",36254,45.851657748110554
2009,10 StB Leuben,38075,45.60304661851609
2009,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",22155,45.8788535319341
2009,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",32498,43.04311034525202
2009,"13 Südvorstadt, Zschertnitz",27669,41.90693555965159
2009,"14 Mockritz, Coschütz, Plauen",23904,42.30003346720214
2009,"15 Cotta, Löbtau, Naußlitz, Dölzschen",37041,37.70127696336492
2009,16 Gorbitz,19919,43.34213564937999
2009,17 Briesnitz und westliche OS,21861,43.22981565344678
2010,01 StB Altstadt ohne Johannstadt,28347,46.78530355945956
2010,02 Johannstadt,23578,49.462252947663075
2010,03 StB Neustadt ohne Leipziger Vorstadt,33568,35.061278598665396
2010,"04 Leipziger Vorstadt, Pieschen",34114,35.28574778683239
2010,"05 Mickten, Kaditz, Trachau",27562,41.45882011465061
2010,06 StB Klotzsche und nördliche OS,30137,44.2790921458672
2010,07 StB Loschwitz und OS Schönfeld-Weißig,32185,44.42128320646264
2010,"08 Blasewitz, Striesen",46054,41.39510140270118
2010,"09 Tolkewitz, Seidnitz, Gruna",36204,45.924179648657606
2010,10 StB Leuben,38416,45.5749947938359
2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",22343,45.9358635814349
2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",32909,43.09176820930445
2010,"13 Südvorstadt, Zschertnitz",28041,41.71299169073856
2010,"14 Mockritz, Coschütz, Plauen",24090,42.35786633457867
2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",37698,37.590614886731395
2010,16 Gorbitz,20031,43.281413808596675
2010,17 Briesnitz und westliche OS,21891,43.51386414508245
2011,01 StB Altstadt ohne Johannstadt,28912,46.47315993359159
2011,02 Johannstadt,23865,49.25933375235701
2011,03 StB Neustadt ohne Leipziger Vorstadt,34576,34.98461360481259
2011,"04 Leipziger Vorstadt, Pieschen",35027,35.06880406543524
2011,"05 Mickten, Kaditz, Trachau",27814,41.51006687279787
2011,06 StB Klotzsche und nördliche OS,30237,44.490756358104306
2011,07 StB Loschwitz und OS Schönfeld-Weißig,32389,44.650035505881625
2011,"08 Blasewitz, Striesen",46564,41.453526329353146
2011,"09 Tolkewitz, Seidnitz, Gruna",36663,45.87218721872187
2011,10 StB Leuben,38663,45.7507953340403
2011,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",22566,45.956660462642915
2011,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",33065,43.33760774232572
2011,"13 Südvorstadt, Zschertnitz",28423,41.45058579319565
2011,"14 Mockritz, Coschütz, Plauen",24403,42.23136499610703
2011,"15 Cotta, Löbtau, Naußlitz, Dölzschen",38471,37.47396740401861
2011,16 Gorbitz,20129,43.31889313925183
2011,17 Briesnitz und westliche OS,22040,43.60884754990926
2012,01 StB Altstadt ohne Johannstadt,29247,46.09115464834
2012,02 Johannstadt,23954,49.21336728730066
2012,03 StB Neustadt ohne Leipziger Vorstadt,35537,35.02816782508371
2012,"04 Leipziger Vorstadt, Pieschen",35982,34.951642487910625
2012,"05 Mickten, Kaditz, Trachau",28155,41.430580713905165
2012,06 StB Klotzsche und nördliche OS,30245,44.68560092577285
2012,07 StB Loschwitz und OS Schönfeld-Weißig,32751,44.623522945864245
2012,"08 Blasewitz, Striesen",47142,41.5586101565483
2012,"09 Tolkewitz, Seidnitz, Gruna",37141,45.77962359656444
2012,10 StB Leuben,38841,45.92780824386602
2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",22722,45.86013555144794
2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",33420,43.41146020347097
2012,"13 Südvorstadt, Zschertnitz",29148,41.06796349663785
2012,"14 Mockritz, Coschütz, Plauen",24501,42.268356393616585
2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",39103,37.451730046288006
2012,16 Gorbitz,20381,43.37515332908101
2012,17 Briesnitz und westliche OS,22452,43.63553358275432
2013,01 StB Altstadt ohne Johannstadt,29630,45.76166047924401
2013,02 Johannstadt,24037,49.13853642301452
2013,03 StB Neustadt ohne Leipziger Vorstadt,35912,35.140315214969924
2013,"04 Leipziger Vorstadt, Pieschen",36557,34.87835435073994
2013,"05 Mickten, Kaditz, Trachau",28572,41.35457790844183
2013,06 StB Klotzsche und nördliche OS,30263,44.79327892145524
2013,07 StB Loschwitz und OS Schönfeld-Weißig,33005,44.70961975458264
2013,"08 Blasewitz, Striesen",47809,41.656257190068814
2013,"09 Tolkewitz, Seidnitz, Gruna",37400,45.773395721925134
2013,10 StB Leuben,38814,46.06196217859535
2013,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",22871,45.829653272703425
2013,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",33657,43.49353774846243
2013,"13 Südvorstadt, Zschertnitz",29720,40.74202557200538
2013,"14 Mockritz, Coschütz, Plauen",24676,42.36610471713406
2013,"15 Cotta, Löbtau, Naußlitz, Dölzschen",39509,37.42468804576173
2013,16 Gorbitz,20708,43.102665636469
2013,17 Briesnitz und westliche OS,22670,43.71905602117336
2014,01 StB Altstadt ohne Johannstadt,30423,45.324162640107815
2014,02 Johannstadt,24155,49.15595114883047
2014,03 StB Neustadt ohne Leipziger Vorstadt,36411,35.23495646919887
2014,"04 Leipziger Vorstadt, Pieschen",36715,35.01740433065505
2014,"05 Mickten, Kaditz, Trachau",28762,41.467178916626104
2014,06 StB Klotzsche und nördliche OS,30439,44.920956667433224
2014,07 StB Loschwitz und OS Schönfeld-Weißig,33100,44.97531722054381
2014,"08 Blasewitz, Striesen",48429,41.66053397757542
2014,"09 Tolkewitz, Seidnitz, Gruna",37768,45.663180470239354
2014,10 StB Leuben,39061,46.204910268554315
2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",23119,45.80691206367057
2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",33852,43.586021505376344
2014,"13 Südvorstadt, Zschertnitz",30512,40.33144336654431
2014,"14 Mockritz, Coschütz, Plauen",24767,42.50369443210724
2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",40046,37.29815711931279
2014,16 Gorbitz,20927,43.200697663305775
2014,17 Briesnitz und westliche OS,22818,43.927863967043564
2015,01 StB Altstadt ohne Johannstadt,31761,44.30310758477378
2015,02 Johannstadt,24550,48.861955193482686
2015,03 StB Neustadt ohne Leipziger Vorstadt,37164,35.2513992035303
2015,"04 Leipziger Vorstadt, Pieschen",36985,35.0293632553738
2015,"05 Mickten, Kaditz, Trachau",28790,41.587426189649186
2015,06 StB Klotzsche und nördliche OS,30618,44.97338167091254
2015,07 StB Loschwitz und OS Schönfeld-Weißig,33392,45.084601102060375
2015,"08 Blasewitz, Striesen",49024,41.7240739229765
2015,"09 Tolkewitz, Seidnitz, Gruna",37913,45.63044338353599
