Jahr,Stadtraum,Fälle erfasst,Fälle aufgeklärt,Tatverdächtige insgesamt
2007,02 Johannstadt,1336,595,549
2007,03 StB Neustadt ohne Leipziger Vorstadt,4910,2325,2136
2007,"04 Leipziger Vorstadt, Pieschen",3608,1633,1516
2007,"05 Mickten, Kaditz, Trachau",2348,1286,1216
2007,06 StB Klotzsche und nördliche OS,1317,748,694
2007,07 StB Loschwitz und OS Schönfeld-Weißig,1219,626,606
2007,"08 Blasewitz, Striesen",2275,1372,980
2007,"09 Tolkewitz, Seidnitz, Gruna",1702,953,888
2007,10 StB Leuben,1697,1008,831
2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1959,1193,1136
2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1995,1159,1112
2007,"13 Südvorstadt, Zschertnitz",2219,1136,1035
2007,"14 Mockritz, Coschütz, Plauen",1179,595,457
2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",2941,1618,1504
2007,16 Gorbitz,1543,830,755
2007,17 Briesnitz und westliche OS,893,481,489
2008,01 StB Altstadt ohne Johannstadt,6639,3818,3581
2008,02 Johannstadt,1451,634,586
2008,03 StB Neustadt ohne Leipziger Vorstadt,4995,2591,2333
2008,"04 Leipziger Vorstadt, Pieschen",3575,1693,1460
2008,"05 Mickten, Kaditz, Trachau",2275,1281,1176
2008,06 StB Klotzsche und nördliche OS,1379,735,715
2008,07 StB Loschwitz und OS Schönfeld-Weißig,1110,559,568
2008,"08 Blasewitz, Striesen",1939,1012,913
2008,"09 Tolkewitz, Seidnitz, Gruna",1728,966,892
2008,10 StB Leuben,1697,835,779
2008,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1973,1213,1152
2008,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",2027,1199,1090
2008,"13 Südvorstadt, Zschertnitz",2086,1063,998
2008,"14 Mockritz, Coschütz, Plauen",1163,614,482
2008,"15 Cotta, Löbtau, Naußlitz, Dölzschen",2798,1519,1377
2008,16 Gorbitz,1684,895,737
2008,17 Briesnitz und westliche OS,881,432,395
2009,01 StB Altstadt ohne Johannstadt,6867,3511,3325
