,Jahr,Stadtraum,Heizenergie,Anteil in %
77,1993,16 Gorbitz,Öl,0
78,1993,16 Gorbitz,Strom,0
79,1993,16 Gorbitz,sonstige,0
80,1993,17 Briesnitz und westliche OS,Kohle,"70,8"
81,1993,17 Briesnitz und westliche OS,Gas,"22,2"
82,1993,17 Briesnitz und westliche OS,Öl,7
83,1993,17 Briesnitz und westliche OS,Strom,0
84,1993,17 Briesnitz und westliche OS,sonstige,0
85,1993,18 Dresden gesamt,Kohle,"72,4"
86,1993,18 Dresden gesamt,Gas,"19,4"
87,1993,18 Dresden gesamt,Öl,"5,8"
88,1993,18 Dresden gesamt,Strom,"1,8"
89,1993,18 Dresden gesamt,sonstige,"0,7"
90,1995,01 StB Altstadt ohne Johannstadt,Kohle,54
91,1995,01 StB Altstadt ohne Johannstadt,Gas,"28,5"
92,1995,01 StB Altstadt ohne Johannstadt,Öl,0
93,1995,01 StB Altstadt ohne Johannstadt,Strom,"9,8"
94,1995,01 StB Altstadt ohne Johannstadt,sonstige,"7,8"
95,1995,02 Johannstadt,Kohle,"74,8"
96,1995,02 Johannstadt,Gas,16
97,1995,02 Johannstadt,Öl,0
98,1995,02 Johannstadt,Strom,5
99,1995,02 Johannstadt,sonstige,"4,2"
100,1995,03 StB Neustadt ohne Leipziger Vorstadt,Kohle,"72,9"
101,1995,03 StB Neustadt ohne Leipziger Vorstadt,Gas,"22,4"
102,1995,03 StB Neustadt ohne Leipziger Vorstadt,Öl,"4,7"
103,1995,03 StB Neustadt ohne Leipziger Vorstadt,Strom,0
104,1995,03 StB Neustadt ohne Leipziger Vorstadt,sonstige,0
105,1995,"04 Leipziger Vorstadt, Pieschen",Kohle,"86,7"
106,1995,"04 Leipziger Vorstadt, Pieschen",Gas,"9,7"
107,1995,"04 Leipziger Vorstadt, Pieschen",Öl,"1,5"
108,1995,"04 Leipziger Vorstadt, Pieschen",Strom,"1,1"
109,1995,"04 Leipziger Vorstadt, Pieschen",sonstige,"1,1"
110,1995,"05 Mickten, Kaditz, Trachau",Kohle,"62,1"
111,1995,"05 Mickten, Kaditz, Trachau",Gas,"31,8"
112,1995,"05 Mickten, Kaditz, Trachau",Öl,"5,5"
113,1995,"05 Mickten, Kaditz, Trachau",Strom,"0,5"
114,1995,"05 Mickten, Kaditz, Trachau",sonstige,0
115,1995,06 StB Klotzsche und nördliche OS,Kohle,37
116,1995,06 StB Klotzsche und nördliche OS,Gas,"39,5"
117,1995,06 StB Klotzsche und nördliche OS,Öl,"18,1"
118,1995,06 StB Klotzsche und nördliche OS,Strom,"5,4"
119,1995,06 StB Klotzsche und nördliche OS,sonstige,0
120,1995,07 StB Loschwitz und OS Schönfeld-Weißig,Kohle,"43,1"
121,1995,07 StB Loschwitz und OS Schönfeld-Weißig,Gas,"36,7"
122,1995,07 StB Loschwitz und OS Schönfeld-Weißig,Öl,17
123,1995,07 StB Loschwitz und OS Schönfeld-Weißig,Strom,"3,2"
124,1995,07 StB Loschwitz und OS Schönfeld-Weißig,sonstige,0
125,1995,"08 Blasewitz, Striesen",Kohle,"66,5"
126,1995,"08 Blasewitz, Striesen",Gas,"28,4"
127,1995,"08 Blasewitz, Striesen",Öl,"2,4"
128,1995,"08 Blasewitz, Striesen",Strom,"2,6"
129,1995,"08 Blasewitz, Striesen",sonstige,0
130,1995,"09 Tolkewitz, Seidnitz, Gruna",Kohle,"74,2"
131,1995,"09 Tolkewitz, Seidnitz, Gruna",Gas,"20,2"
132,1995,"09 Tolkewitz, Seidnitz, Gruna",Öl,"1,7"
133,1995,"09 Tolkewitz, Seidnitz, Gruna",Strom,"3,9"
134,1995,"09 Tolkewitz, Seidnitz, Gruna",sonstige,0
135,1995,10 StB Leuben,Kohle,"54,9"
136,1995,10 StB Leuben,Gas,"34,3"
137,1995,10 StB Leuben,Öl,"5,6"
138,1995,10 StB Leuben,Strom,"4,7"
139,1995,10 StB Leuben,sonstige,"0,5"
140,1995,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Kohle,"49,9"
141,1995,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Gas,46
142,1995,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Öl,0
143,1995,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Strom,2
144,1995,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",sonstige,"2,1"
145,1995,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Kohle,"35,3"
146,1995,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Gas,"50,7"
147,1995,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Öl,"11,3"
148,1995,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Strom,"2,7"
149,1995,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",sonstige,0
150,1995,"13 Südvorstadt, Zschertnitz",Kohle,"61,6"
151,1995,"13 Südvorstadt, Zschertnitz",Gas,"30,5"
152,1995,"13 Südvorstadt, Zschertnitz",Öl,"4,3"
153,1995,"13 Südvorstadt, Zschertnitz",Strom,"3,6"
