,Jahr,Stadtraum,Eigentümer des Gebäudes,Anteil in %
31,1993,"08 Blasewitz, Striesen",Eigentümer privat,24
32,1993,"09 Tolkewitz, Seidnitz, Gruna",Eigennutzung,3
33,1993,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Wohnungsgenossenschaft,48
34,1993,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Stadt,41
35,1993,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer privat,9
36,1993,10 StB Leuben,Eigennutzung,8
37,1993,10 StB Leuben,Eigentümer Wohnungsgenossenschaft,47
38,1993,10 StB Leuben,Eigentümer Stadt,31
39,1993,10 StB Leuben,Eigentümer privat,14
40,1993,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigennutzung,2
41,1993,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,46
42,1993,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,51
43,1993,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer privat,1
44,1993,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigennutzung,27
45,1993,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,23
46,1993,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,28
47,1993,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer privat,22
48,1993,"13 Südvorstadt, Zschertnitz",Eigennutzung,4
49,1993,"13 Südvorstadt, Zschertnitz",Eigentümer Wohnungsgenossenschaft,39
50,1993,"13 Südvorstadt, Zschertnitz",Eigentümer Stadt,49
51,1993,"13 Südvorstadt, Zschertnitz",Eigentümer privat,8
52,1993,"14 Mockritz, Coschütz, Plauen",Eigennutzung,13
53,1993,"14 Mockritz, Coschütz, Plauen",Eigentümer Wohnungsgenossenschaft,36
54,1993,"14 Mockritz, Coschütz, Plauen",Eigentümer Stadt,35
55,1993,"14 Mockritz, Coschütz, Plauen",Eigentümer privat,17
56,1993,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigennutzung,10
57,1993,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Wohnungsgenossenschaft,21
58,1993,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Stadt,46
59,1993,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer privat,22
60,1993,16 Gorbitz,Eigennutzung,0
61,1993,16 Gorbitz,Eigentümer Wohnungsgenossenschaft,68
62,1993,16 Gorbitz,Eigentümer Stadt,31
63,1993,16 Gorbitz,Eigentümer privat,0
64,1993,17 Briesnitz und westliche OS,Eigennutzung,33
65,1993,17 Briesnitz und westliche OS,Eigentümer Wohnungsgenossenschaft,25
66,1993,17 Briesnitz und westliche OS,Eigentümer Stadt,29
67,1993,17 Briesnitz und westliche OS,Eigentümer privat,13
68,1993,18 Dresden gesamt,Eigennutzung,8
69,1993,18 Dresden gesamt,Eigentümer Wohnungsgenossenschaft,36
70,1993,18 Dresden gesamt,Eigentümer Stadt,42
71,1993,18 Dresden gesamt,Eigentümer privat,15
72,1995,01 StB Altstadt ohne Johannstadt,Eigennutzung,0
73,1995,01 StB Altstadt ohne Johannstadt,Eigentümer Wohnungsgenossenschaft,45
74,1995,01 StB Altstadt ohne Johannstadt,Eigentümer Stadt,48
75,1995,01 StB Altstadt ohne Johannstadt,Eigentümer privat,8
76,1995,02 Johannstadt,Eigennutzung,3
77,1995,02 Johannstadt,Eigentümer Wohnungsgenossenschaft,50
78,1995,02 Johannstadt,Eigentümer Stadt,39
79,1995,02 Johannstadt,Eigentümer privat,9
80,1995,03 StB Neustadt ohne Leipziger Vorstadt,Eigennutzung,4
81,1995,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Wohnungsgenossenschaft,12
82,1995,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Stadt,30
83,1995,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer privat,54
84,1995,"04 Leipziger Vorstadt, Pieschen",Eigennutzung,5
85,1995,"04 Leipziger Vorstadt, Pieschen",Eigentümer Wohnungsgenossenschaft,23
86,1995,"04 Leipziger Vorstadt, Pieschen",Eigentümer Stadt,31
87,1995,"04 Leipziger Vorstadt, Pieschen",Eigentümer privat,41
88,1995,"05 Mickten, Kaditz, Trachau",Eigennutzung,10
89,1995,"05 Mickten, Kaditz, Trachau",Eigentümer Wohnungsgenossenschaft,23
90,1995,"05 Mickten, Kaditz, Trachau",Eigentümer Stadt,40
91,1995,"05 Mickten, Kaditz, Trachau",Eigentümer privat,27
92,1995,06 StB Klotzsche und nördliche OS,Eigennutzung,30
93,1995,06 StB Klotzsche und nördliche OS,Eigentümer Wohnungsgenossenschaft,22
94,1995,06 StB Klotzsche und nördliche OS,Eigentümer Stadt,29
95,1995,06 StB Klotzsche und nördliche OS,Eigentümer privat,19
96,1995,07 StB Loschwitz und OS Schönfeld-Weißig,Eigennutzung,33
97,1995,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Wohnungsgenossenschaft,3
98,1995,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Stadt,13
99,1995,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer privat,50
100,1995,"08 Blasewitz, Striesen",Eigennutzung,2
101,1995,"08 Blasewitz, Striesen",Eigentümer Wohnungsgenossenschaft,28
102,1995,"08 Blasewitz, Striesen",Eigentümer Stadt,37
103,1995,"08 Blasewitz, Striesen",Eigentümer privat,34
104,1995,"09 Tolkewitz, Seidnitz, Gruna",Eigennutzung,4
105,1995,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Wohnungsgenossenschaft,43
106,1995,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Stadt,40
107,1995,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer privat,13
108,1995,10 StB Leuben,Eigennutzung,12
109,1995,10 StB Leuben,Eigentümer Wohnungsgenossenschaft,42
110,1995,10 StB Leuben,Eigentümer Stadt,32
111,1995,10 StB Leuben,Eigentümer privat,14
112,1995,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigennutzung,2
113,1995,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,48
114,1995,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,46
115,1995,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer privat,3
116,1995,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigennutzung,21
117,1995,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,20
118,1995,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,20
119,1995,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer privat,38
120,1995,"13 Südvorstadt, Zschertnitz",Eigennutzung,2
121,1995,"13 Südvorstadt, Zschertnitz",Eigentümer Wohnungsgenossenschaft,40
122,1995,"13 Südvorstadt, Zschertnitz",Eigentümer Stadt,50
123,1995,"13 Südvorstadt, Zschertnitz",Eigentümer privat,8
124,1995,"14 Mockritz, Coschütz, Plauen",Eigennutzung,17
125,1995,"14 Mockritz, Coschütz, Plauen",Eigentümer Wohnungsgenossenschaft,28
126,1995,"14 Mockritz, Coschütz, Plauen",Eigentümer Stadt,20
127,1995,"14 Mockritz, Coschütz, Plauen",Eigentümer privat,36
128,1995,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigennutzung,9
129,1995,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Wohnungsgenossenschaft,27
130,1995,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Stadt,33
131,1995,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer privat,31
132,1995,16 Gorbitz,Eigennutzung,1
133,1995,16 Gorbitz,Eigentümer Wohnungsgenossenschaft,72
134,1995,16 Gorbitz,Eigentümer Stadt,26
135,1995,16 Gorbitz,Eigentümer privat,1
136,1995,17 Briesnitz und westliche OS,Eigennutzung,24
137,1995,17 Briesnitz und westliche OS,Eigentümer Wohnungsgenossenschaft,41
138,1995,17 Briesnitz und westliche OS,Eigentümer Stadt,9
139,1995,17 Briesnitz und westliche OS,Eigentümer privat,26
140,1995,18 Dresden gesamt,Eigennutzung,8
141,1995,18 Dresden gesamt,Eigentümer Wohnungsgenossenschaft,35
142,1995,18 Dresden gesamt,Eigentümer Stadt,35
143,1995,18 Dresden gesamt,Eigentümer privat,22
144,1996,01 StB Altstadt ohne Johannstadt,Eigennutzung,1
145,1996,01 StB Altstadt ohne Johannstadt,Eigentümer Wohnungsgenossenschaft,43
146,1996,01 StB Altstadt ohne Johannstadt,Eigentümer Stadt,48
147,1996,01 StB Altstadt ohne Johannstadt,Eigentümer privat,7
148,1996,02 Johannstadt,Eigennutzung,3
149,1996,02 Johannstadt,Eigentümer Wohnungsgenossenschaft,49
150,1996,02 Johannstadt,Eigentümer Stadt,37
151,1996,02 Johannstadt,Eigentümer privat,11
152,1996,03 StB Neustadt ohne Leipziger Vorstadt,Eigennutzung,5
153,1996,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Wohnungsgenossenschaft,4
154,1996,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Stadt,37
155,1996,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer privat,53
156,1996,"04 Leipziger Vorstadt, Pieschen",Eigennutzung,6
157,1996,"04 Leipziger Vorstadt, Pieschen",Eigentümer Wohnungsgenossenschaft,29
158,1996,"04 Leipziger Vorstadt, Pieschen",Eigentümer Stadt,24
159,1996,"04 Leipziger Vorstadt, Pieschen",Eigentümer privat,41
160,1996,"05 Mickten, Kaditz, Trachau",Eigennutzung,9
161,1996,"05 Mickten, Kaditz, Trachau",Eigentümer Wohnungsgenossenschaft,36
162,1996,"05 Mickten, Kaditz, Trachau",Eigentümer Stadt,17
163,1996,"05 Mickten, Kaditz, Trachau",Eigentümer privat,39
164,1996,06 StB Klotzsche und nördliche OS,Eigennutzung,33
165,1996,06 StB Klotzsche und nördliche OS,Eigentümer Wohnungsgenossenschaft,38
166,1996,06 StB Klotzsche und nördliche OS,Eigentümer Stadt,6
167,1996,06 StB Klotzsche und nördliche OS,Eigentümer privat,24
168,1996,07 StB Loschwitz und OS Schönfeld-Weißig,Eigennutzung,47
169,1996,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Wohnungsgenossenschaft,2
170,1996,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Stadt,8
171,1996,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer privat,43
172,1996,"08 Blasewitz, Striesen",Eigennutzung,3
173,1996,"08 Blasewitz, Striesen",Eigentümer Wohnungsgenossenschaft,40
174,1996,"08 Blasewitz, Striesen",Eigentümer Stadt,16
175,1996,"08 Blasewitz, Striesen",Eigentümer privat,41
176,1996,"09 Tolkewitz, Seidnitz, Gruna",Eigennutzung,3
177,1996,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Wohnungsgenossenschaft,42
178,1996,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer Stadt,29
179,1996,"09 Tolkewitz, Seidnitz, Gruna",Eigentümer privat,25
180,1996,10 StB Leuben,Eigennutzung,14
181,1996,10 StB Leuben,Eigentümer Wohnungsgenossenschaft,38
182,1996,10 StB Leuben,Eigentümer Stadt,22
183,1996,10 StB Leuben,Eigentümer privat,26
184,1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigennutzung,2
185,1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,41
186,1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,53
187,1996,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Eigentümer privat,4
188,1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigennutzung,23
189,1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Wohnungsgenossenschaft,21
190,1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer Stadt,10
191,1996,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Eigentümer privat,45
192,1996,"13 Südvorstadt, Zschertnitz",Eigennutzung,5
193,1996,"13 Südvorstadt, Zschertnitz",Eigentümer Wohnungsgenossenschaft,43
194,1996,"13 Südvorstadt, Zschertnitz",Eigentümer Stadt,38
195,1996,"13 Südvorstadt, Zschertnitz",Eigentümer privat,15
196,1996,"14 Mockritz, Coschütz, Plauen",Eigennutzung,20
197,1996,"14 Mockritz, Coschütz, Plauen",Eigentümer Wohnungsgenossenschaft,32
198,1996,"14 Mockritz, Coschütz, Plauen",Eigentümer Stadt,19
199,1996,"14 Mockritz, Coschütz, Plauen",Eigentümer privat,29
200,1996,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigennutzung,10
201,1996,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Wohnungsgenossenschaft,22
202,1996,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer Stadt,15
203,1996,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Eigentümer privat,53
204,1996,16 Gorbitz,Eigennutzung,2
205,1996,16 Gorbitz,Eigentümer Wohnungsgenossenschaft,73
206,1996,16 Gorbitz,Eigentümer Stadt,24
207,1996,16 Gorbitz,Eigentümer privat,1
208,1996,17 Briesnitz und westliche OS,Eigennutzung,37
209,1996,17 Briesnitz und westliche OS,Eigentümer Wohnungsgenossenschaft,22
210,1996,17 Briesnitz und westliche OS,Eigentümer Stadt,6
211,1996,17 Briesnitz und westliche OS,Eigentümer privat,35
212,1996,18 Dresden gesamt,Eigennutzung,10
213,1996,18 Dresden gesamt,Eigentümer Wohnungsgenossenschaft,36
214,1996,18 Dresden gesamt,Eigentümer Stadt,26
215,1996,18 Dresden gesamt,Eigentümer privat,28
216,1998,01 StB Altstadt ohne Johannstadt,Eigennutzung,1
217,1998,01 StB Altstadt ohne Johannstadt,Eigentümer Wohnungsgenossenschaft,41
218,1998,01 StB Altstadt ohne Johannstadt,Eigentümer Stadt,42
219,1998,01 StB Altstadt ohne Johannstadt,Eigentümer privat,17
220,1998,02 Johannstadt,Eigennutzung,0
221,1998,02 Johannstadt,Eigentümer Wohnungsgenossenschaft,47
222,1998,02 Johannstadt,Eigentümer Stadt,38
223,1998,02 Johannstadt,Eigentümer privat,15
224,1998,03 StB Neustadt ohne Leipziger Vorstadt,Eigennutzung,6
225,1998,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Wohnungsgenossenschaft,8
226,1998,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer Stadt,17
227,1998,03 StB Neustadt ohne Leipziger Vorstadt,Eigentümer privat,69
228,1998,"04 Leipziger Vorstadt, Pieschen",Eigennutzung,4
229,1998,"04 Leipziger Vorstadt, Pieschen",Eigentümer Wohnungsgenossenschaft,27
230,1998,"04 Leipziger Vorstadt, Pieschen",Eigentümer Stadt,15
231,1998,"04 Leipziger Vorstadt, Pieschen",Eigentümer privat,54
232,1998,"05 Mickten, Kaditz, Trachau",Eigennutzung,13
233,1998,"05 Mickten, Kaditz, Trachau",Eigentümer Wohnungsgenossenschaft,33
234,1998,"05 Mickten, Kaditz, Trachau",Eigentümer Stadt,6
235,1998,"05 Mickten, Kaditz, Trachau",Eigentümer privat,48
236,1998,06 StB Klotzsche und nördliche OS,Eigennutzung,29
237,1998,06 StB Klotzsche und nördliche OS,Eigentümer Wohnungsgenossenschaft,32
238,1998,06 StB Klotzsche und nördliche OS,Eigentümer Stadt,7
239,1998,06 StB Klotzsche und nördliche OS,Eigentümer privat,33
240,1998,07 StB Loschwitz und OS Schönfeld-Weißig,Eigennutzung,36
241,1998,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Wohnungsgenossenschaft,2
242,1998,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer Stadt,4
243,1998,07 StB Loschwitz und OS Schönfeld-Weißig,Eigentümer privat,59
244,1998,"08 Blasewitz, Striesen",Eigennutzung,5
245,1998,"08 Blasewitz, Striesen",Eigentümer Wohnungsgenossenschaft,25
246,1998,"08 Blasewitz, Striesen",Eigentümer Stadt,13
