Jahr,Stadtraum,Wahlart,Stimmen CDU,Stimmen SPD,Stimmen Die Linke,Stimmen Grüne,Stimmen FDP,Stimmen Rechte Parteien,Stimmen AfD,Stimmen Piraten,Stimmen sonstiger Parteien
2005,06 StB Klotzsche und nördliche OS,Bundestagswahl,0.3237934041002958,0.2450989723418571,0.18492669458679956,0.07469221294107539,0.10817265941582342,0.03933574524464094,0.0,0.0,0.02398031136950778
2005,07 StB Loschwitz und OS Schönfeld-Weißig,Bundestagswahl,0.3524906180637399,0.22493827134469319,0.15691784550541438,0.10351220960704985,0.11683314384634463,0.030217821420679865,0.0,0.0,0.01509009021207822
2005,"08 Blasewitz, Striesen",Bundestagswahl,0.24575624662063555,0.27244211555999864,0.15514723485191284,0.11116331904401293,0.1816181787521554,0.019901233677164988,0.0,0.0,0.01397167149411962
2005,"09 Tolkewitz, Seidnitz, Gruna",Bundestagswahl,0.23305394437869004,0.27708385364016974,0.21764193792564826,0.053105705569746454,0.17459049960116477,0.027142111090682392,0.0,0.0,0.017381947793898213
2005,10 StB Leuben,Bundestagswahl,0.2536318486639499,0.2605435925572277,0.19122938824046473,0.05771760595235528,0.18981977215359871,0.03129139172982672,0.0,0.0,0.01576640070257694
2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Bundestagswahl,0.2200337282548207,0.2692742100167604,0.24833189469193007,0.04289527505026873,0.14310376476861675,0.05412007442997171,0.0,0.0,0.021904352450931384
2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Bundestagswahl,0.2496191459087851,0.2595834221510308,0.18195061668348533,0.0655460928415327,0.19723863508056685,0.03172953890503737,0.0,0.0,0.014368173652219311
2005,"13 Südvorstadt, Zschertnitz",Bundestagswahl,0.22659457536590671,0.297936460979638,0.2088321565593642,0.07356849006018817,0.15449045771635198,0.024415883987050004,0.0,0.0,0.014161975331500893
2005,"14 Mockritz, Coschütz, Plauen",Bundestagswahl,0.24417881511557046,0.27369704588512944,0.16974179267628062,0.09114385989325735,0.18525066112586608,0.0232786296179416,0.0,0.0,0.012709195685954551
2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Bundestagswahl,0.2616058751938465,0.254058303155691,0.20379107225873339,0.08411573263301898,0.12179553259753184,0.050710460317172905,0.0,0.0,0.023923023844005343
