"Jahr";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtraum";"Wohnungen gesamt";"Wohnungen mit 1Raum";"Wohnungen mit 2 Räumen";"Wohnungen mit 3 Räumen";"Wohnungen mit 4 Räumen";"Wohnungen mit 5 Räumen";"Wohnungen mit 6 Räumen";"Wohnungen mit 7 u.mehr Räumen";"Gebäudeanzahl"
"2002";"62 Laubegast";"StB 6 Leuben";"10 StB Leuben";6697;613;2596;2682;564;183;41;18;1184
"2002";"63 Kleinzschachwitz";"StB 6 Leuben";"10 StB Leuben";4212;240;1105;1397;850;398;141;81;1827
"2002";"64 Großzschachwitz";"StB 6 Leuben";"10 StB Leuben";3729;716;902;1409;537;145;16;4;527
"2002";"71 Prohlis-Nord";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";4082;747;1073;1696;484;75;5;2;318
"2002";"72 Prohlis-Süd";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";5349;1419;1412;1741;634;131;12;0;256
"2002";"73 Niedersedlitz";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";4331;382;1328;1627;727;158;74;35;1072
"2002";"74 Lockwitz";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";2652;94;719;845;556;258;129;51;1371
"2002";"75 Leubnitz-Neuostra";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";7533;756;1871;2802;1467;437;117;83;2098
"2002";"76 Strehlen";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";3333;989;590;1129;624;0;0;1;227
"2002";"76 Strehlen";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";3164;186;855;1229;583;242;42;27;759
"2002";"77 Reick";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";3193;236;1150;1262;428;105;11;1;523
"2002";"81 Südvorstadt-West";"StB 8 Plauen";"13 Südvorstadt, Zschertnitz";5949;432;1686;2685;961;141;31;13;562
"2002";"82 Südvorstadt-Ost";"StB 8 Plauen";"13 Südvorstadt, Zschertnitz";2883;729;808;966;260;76;24;20;340
"2002";"83 Räcknitz/Zschertnitz";"StB 8 Plauen";"13 Südvorstadt, Zschertnitz";5725;1168;1058;2222;1121;121;22;13;675
"2002";"84 Kleinpestitz/Mockritz";"StB 8 Plauen";"14 Mockritz, Coschütz, Plauen";3960;521;824;1478;828;182;81;46;925
"2002";"85 Coschütz/Gittersee";"StB 8 Plauen";"14 Mockritz, Coschütz, Plauen";3082;268;1091;1068;423;165;50;17;1087
"2002";"86 Plauen";"StB 8 Plauen";"14 Mockritz, Coschütz, Plauen";5577;358;1464;2040;1304;322;68;21;946
"2002";"90 Cossebaude/Mobschatz/Oberw.";"StB 9 Cotta/westliche Ortschaften";"17 Briesnitz und westliche OS";3687;205;1016;1212;715;354;120;65;1575
"2002";"91 Cotta";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";6531;425;3275;2219;467;108;31;6;889
"2002";"92 Löbtau-Nord";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";4940;280;2306;1860;416;56;19;3;451
"2002";"93 Löbtau-Süd";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";6486;479;3235;2218;441;90;18;5;672
"2002";"94 Naußlitz";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";5115;331;2215;1323;742;315;133;56;1733
"2002";"95 Gorbitz-Süd";"StB 9 Cotta/westliche Ortschaften";"16 Gorbitz";5673;2126;841;1716;889;89;7;5;543
"2002";"96 Gorbitz-Ost";"StB 9 Cotta/westliche Ortschaften";"16 Gorbitz";3899;1017;678;1502;619;82;0;1;256
"2002";"97 Gorbitz-Nord/Neu-Omsewitz";"StB 9 Cotta/westliche Ortschaften";"16 Gorbitz";4799;1265;647;1910;962;15;0;0;336
"2002";"98 Briesnitz";"StB 9 Cotta/westliche Ortschaften";"17 Briesnitz und westliche OS";5863;490;1962;1945;905;359;129;73;2052
"2002";"99 Altfranken/Gompitz";"StB 9 Cotta/westliche Ortschaften";"17 Briesnitz und westliche OS";1679;60;366;388;314;361;143;47;992
"2003";"01 Innere Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";998;112;448;263;140;33;2;0;79
"2003";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4175;808;2223;927;199;17;0;1;208
"2003";"03 Seevorstadt-Ost";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4136;1353;1079;1425;223;40;11;5;278
"2003";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4924;527;2089;1843;451;11;3;0;367
"2003";"05 Friedrichstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4126;646;1667;1357;370;75;11;0;374
"2003";"06 Johannstadt-Nord";"StB 0 Altstadt";"02 Johannstadt";6035;561;2456;2366;569;70;8;5;311
"2003";"07 Johannstadt-Süd";"StB 0 Altstadt";"02 Johannstadt";7370;664;3331;3020;332;17;1;5;468
"2003";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";9604;1015;4156;2948;1032;344;64;45;1122
"2003";"12 Radeberger Vorstadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";4455;523;1284;1581;745;217;69;36;690
"2003";"13 Innere Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";3780;510;1177;1411;545;92;32;13;423
"2003";"14 Leipziger Vorstadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";6518;474;2784;2380;717;131;25;7;770
"2003";"15 Albertstadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";1170;166;469;402;106;26;0;1;139
"2003";"21 Pieschen-Süd";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";6524;453;3157;2294;482;109;20;9;790
"2003";"22 Mickten";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";7175;603;3038;2749;617;136;23;9;913
"2003";"23 Kaditz";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";3090;201;1416;1028;274;106;44;21;889
"2003";"24 Trachau";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";5408;278;1831;2097;911;204;64;23;1237
"2003";"25 Pieschen-N/Trachenberge";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";7116;529;3168;2446;728;194;38;13;1085
"2003";"31 Klotzsche";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";7292;981;1856;2551;1327;375;138;64;1737
"2003";"32 Hellerau/Wilschdorf";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";2913;119;632;884;662;375;171;70;1945
"2003";"35 Weixdorf";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";2604;63;530;746;647;417;148;53;1721
"2003";"36 Langebrück/Schönborn";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";1830;43;303;595;417;293;150;29;1048
"2003";"41 Loschwitz/Wachwitz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";2797;157;765;819;574;252;134;96;1173
"2003";"42 Bühlau/Weißer Hirsch";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";5485;309;1302;1769;1184;573;210;138;2212
"2003";"43 Hosterwitz/Pillnitz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";1632;58;428;512;317;177;95;45;872
"2003";"45 Weißig";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";2933;365;1055;701;361;282;96;73;1095
"2003";"46 Gönnsdorf/Pappritz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";1610;78;286;371;371;294;112;98;1052
"2003";"47 Schönfeld/Schullwitz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";1438;58;233;379;364;249;99;56;963
"2003";"51 Blasewitz";"StB 5 Blasewitz";"08 Blasewitz, Striesen";5124;402;1697;1646;852;354;104;69;1103
"2003";"52 Striesen-Ost";"StB 5 Blasewitz";"08 Blasewitz, Striesen";6859;418;2736;2312;1016;271;80;26;760
"2003";"53 Striesen-Süd";"StB 5 Blasewitz";"08 Blasewitz, Striesen";5798;525;2317;2153;645;117;22;19;534
"2003";"54 Striesen-West";"StB 5 Blasewitz";"08 Blasewitz, Striesen";6715;425;2667;2892;557;126;29;19;646
"2003";"55 Tolkewitz/Seidnitz-Nord";"StB 5 Blasewitz";"09 Tolkewitz, Seidnitz, Gruna";6750;422;1989;3432;723;154;20;10;833
"2003";"56 Seidnitz/Dobritz";"StB 5 Blasewitz";"09 Tolkewitz, Seidnitz, Gruna";7787;991;2944;2875;822;128;22;5;993
"2003";"57 Gruna";"StB 5 Blasewitz";"09 Tolkewitz, Seidnitz, Gruna";7170;675;1858;3283;1083;206;38;27;1090
"2003";"61 Leuben";"StB 6 Leuben";"10 StB Leuben";7220;358;2963;2981;708;160;10;40;953
"2003";"62 Laubegast";"StB 6 Leuben";"10 StB Leuben";6686;609;2560;2682;586;185;45;19;1200
"2003";"63 Kleinzschachwitz";"StB 6 Leuben";"10 StB Leuben";4214;228;1088;1405;852;403;155;83;1845
"2003";"64 Großzschachwitz";"StB 6 Leuben";"10 StB Leuben";3723;710;899;1414;530;150;16;4;533
"2003";"71 Prohlis-Nord";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";4113;765;1077;1695;494;75;5;2;320
"2003";"72 Prohlis-Süd";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";5349;1419;1412;1741;634;131;12;0;256
"2003";"73 Niedersedlitz";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";4412;390;1341;1645;747;170;80;39;1100
"2003";"74 Lockwitz";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";2733;90;717;852;616;271;134;53;1451
"2003";"75 Leubnitz-Neuostra";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";7571;763;1874;2819;1474;441;117;83;2109
"2003";"76 Strehlen";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";3333;989;590;1129;624;0;0;1;227
"2003";"76 Strehlen";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";3171;186;852;1232;588;243;43;27;767
"2003";"77 Reick";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";3055;242;1151;1178;369;105;9;1;513
"2003";"81 Südvorstadt-West";"StB 8 Plauen";"13 Südvorstadt, Zschertnitz";5954;406;1689;2703;970;142;31;13;567
"2003";"82 Südvorstadt-Ost";"StB 8 Plauen";"13 Südvorstadt, Zschertnitz";2957;752;818;978;291;74;24;20;366
"2003";"83 Räcknitz/Zschertnitz";"StB 8 Plauen";"13 Südvorstadt, Zschertnitz";5664;1003;1191;2191;1122;122;22;13;680
"2003";"84 Kleinpestitz/Mockritz";"StB 8 Plauen";"14 Mockritz, Coschütz, Plauen";3982;530;831;1475;833;185;81;47;932
"2003";"85 Coschütz/Gittersee";"StB 8 Plauen";"14 Mockritz, Coschütz, Plauen";3097;272;1084;1072;434;170;50;15;1102
"2003";"86 Plauen";"StB 8 Plauen";"14 Mockritz, Coschütz, Plauen";5620;376;1469;2055;1312;318;68;22;950
"2003";"90 Cossebaude/Mobschatz/Oberw.";"StB 9 Cotta/westliche Ortschaften";"17 Briesnitz und westliche OS";3699;204;1016;1215;726;355;118;65;1580
"2003";"91 Cotta";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";6477;420;3223;2228;462;107;31;6;885
"2003";"92 Löbtau-Nord";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";4974;282;2321;1868;423;58;19;3;455
"2003";"93 Löbtau-Süd";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";6552;498;3240;2243;462;86;18;5;678
"2003";"94 Naußlitz";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";5123;334;2190;1328;753;324;137;57;1744
"2003";"95 Gorbitz-Süd";"StB 9 Cotta/westliche Ortschaften";"16 Gorbitz";5684;2148;841;1704;889;90;7;5;544
"2003";"96 Gorbitz-Ost";"StB 9 Cotta/westliche Ortschaften";"16 Gorbitz";3902;1019;681;1500;619;82;0;1;256
"2003";"97 Gorbitz-Nord/Neu-Omsewitz";"StB 9 Cotta/westliche Ortschaften";"16 Gorbitz";4800;1265;647;1910;962;15;0;1;336
"2003";"98 Briesnitz";"StB 9 Cotta/westliche Ortschaften";"17 Briesnitz und westliche OS";5863;489;1949;1949;913;359;131;73;2060
"2003";"99 Altfranken/Gompitz";"StB 9 Cotta/westliche Ortschaften";"17 Briesnitz und westliche OS";1720;59;366;393;346;366;144;46;1028
"2004";"01 Innere Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";990;116;452;259;128;33;2;0;77
"2004";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4177;807;2218;934;200;17;0;1;208
"2004";"03 Seevorstadt-Ost";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4137;1353;1079;1426;223;40;11;5;279
"2004";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4917;526;2085;1839;453;11;3;0;366
"2004";"05 Friedrichstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4087;645;1650;1341;364;76;11;0;370
"2004";"06 Johannstadt-Nord";"StB 0 Altstadt";"02 Johannstadt";6049;579;2444;2365;575;72;9;5;312
"2004";"07 Johannstadt-Süd";"StB 0 Altstadt";"02 Johannstadt";7172;573;3104;3140;332;17;1;5;463
"2004";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";9624;1050;4148;2956;1022;340;63;45;1122
"2004";"12 Radeberger Vorstadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";4470;519;1282;1591;755;216;71;36;698
"2004";"13 Innere Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";3777;520;1208;1383;528;91;32;15;420
"2004";"14 Leipziger Vorstadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";6517;481;2766;2385;720;133;25;7;767
"2004";"15 Albertstadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";1173;166;467;407;106;26;0;1;142
"2004";"21 Pieschen-Süd";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";6520;453;3153;2293;480;112;19;10;794
"2004";"22 Mickten";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";7167;606;3036;2744;614;135;23;9;912
"2004";"23 Kaditz";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";3094;201;1413;1027;281;106;45;21;893
"2004";"24 Trachau";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";5405;276;1825;2092;921;204;63;24;1240
"2004";"25 Pieschen-N/Trachenberge";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";6965;443;3107;2440;726;198;38;13;1087
"2004";"31 Klotzsche";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";7334;980;1846;2568;1339;392;144;65;1776
"2004";"32 Hellerau/Wilschdorf";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";2930;120;631;886;661;389;173;70;1953
"2004";"35 Weixdorf";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";2632;61;528;746;672;421;150;54;1754
"2004";"36 Langebrück/Schönborn";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";1851;44;303;594;424;303;152;31;1070
"2004";"41 Loschwitz/Wachwitz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";2826;161;778;816;567;255;143;106;1184
"2004";"42 Bühlau/Weißer Hirsch";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";5523;317;1302;1768;1202;580;207;147;2232
"2004";"43 Hosterwitz/Pillnitz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";1622;57;420;508;317;178;94;48;873
"2004";"45 Weißig";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";2954;366;1062;701;375;280;97;73;1105
"2004";"46 Gönnsdorf/Pappritz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";1629;78;280;385;378;294;117;97;1069
"2004";"47 Schönfeld/Schullwitz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";1448;57;229;383;371;253;99;56;974
"2004";"51 Blasewitz";"StB 5 Blasewitz";"08 Blasewitz, Striesen";5110;389;1687;1644;854;360;103;73;1104
"2004";"52 Striesen-Ost";"StB 5 Blasewitz";"08 Blasewitz, Striesen";6877;425;2744;2316;1021;265;80;26;762
"2004";"53 Striesen-Süd";"StB 5 Blasewitz";"08 Blasewitz, Striesen";5799;525;2315;2162;632;124;22;19;535
"2004";"54 Striesen-West";"StB 5 Blasewitz";"08 Blasewitz, Striesen";6675;418;2656;2885;545;123;29;19;639
"2004";"55 Tolkewitz/Seidnitz-Nord";"StB 5 Blasewitz";"09 Tolkewitz, Seidnitz, Gruna";6764;422;2002;3411;738;154;26;11;839
"2004";"56 Seidnitz/Dobritz";"StB 5 Blasewitz";"09 Tolkewitz, Seidnitz, Gruna";7843;998;2974;2872;844;127;23;5;1016
"2004";"57 Gruna";"StB 5 Blasewitz";"09 Tolkewitz, Seidnitz, Gruna";7151;680;1860;3262;1084;203;34;28;1087
"2004";"61 Leuben";"StB 6 Leuben";"10 StB Leuben";7161;303;2953;2958;727;162;17;41;965
"2004";"62 Laubegast";"StB 6 Leuben";"10 StB Leuben";6681;614;2593;2595;621;191;47;20;1217
"2004";"63 Kleinzschachwitz";"StB 6 Leuben";"10 StB Leuben";4222;229;1082;1405;853;407;160;86;1853
"2004";"64 Großzschachwitz";"StB 6 Leuben";"10 StB Leuben";3731;718;898;1407;533;154;17;4;537
"2004";"71 Prohlis-Nord";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";4105;821;1053;1655;493;75;5;3;321
"2004";"72 Prohlis-Süd";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";5189;1419;1332;1661;634;131;12;0;252
"2004";"73 Niedersedlitz";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";4407;390;1337;1645;746;170;80;39;1102
"2004";"74 Lockwitz";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";2753;90;712;856;628;277;135;55;1473
"2004";"75 Leubnitz-Neuostra";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";7577;767;1862;2794;1502;449;120;83;2129
"2004";"76 Strehlen";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";3333;989;590;1129;624;0;0;1;227
"2004";"76 Strehlen";"StB 7 Prohlis";"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)";3162;183;851;1207;596;255;43;27;776
"2004";"77 Reick";"StB 7 Prohlis";"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)";3056;242;1151;1178;370;105;9;1;514
"2004";"81 Südvorstadt-West";"StB 8 Plauen";"13 Südvorstadt, Zschertnitz";5949;410;1676;2702;973;143;32;13;566
"2004";"82 Südvorstadt-Ost";"StB 8 Plauen";"13 Südvorstadt, Zschertnitz";2958;752;817;978;292;75;24;20;367
"2004";"83 Räcknitz/Zschertnitz";"StB 8 Plauen";"13 Südvorstadt, Zschertnitz";5677;1005;1205;2177;1123;127;27;13;680
"2004";"84 Kleinpestitz/Mockritz";"StB 8 Plauen";"14 Mockritz, Coschütz, Plauen";3946;528;814;1461;836;176;82;49;935
"2004";"85 Coschütz/Gittersee";"StB 8 Plauen";"14 Mockritz, Coschütz, Plauen";3108;274;1079;1062;441;184;53;15;1118
"2004";"86 Plauen";"StB 8 Plauen";"14 Mockritz, Coschütz, Plauen";5651;374;1464;2047;1336;334;74;22;962
"2004";"90 Cossebaude/Mobschatz/Oberw.";"StB 9 Cotta/westliche Ortschaften";"17 Briesnitz und westliche OS";3705;204;1004;1219;732;359;122;65;1591
"2004";"91 Cotta";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";6480;426;3234;2239;439;107;29;6;888
"2004";"92 Löbtau-Nord";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";4999;288;2318;1871;435;65;19;3;456
"2004";"93 Löbtau-Süd";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";6415;467;3146;2239;455;85;18;5;665
"2004";"94 Naußlitz";"StB 9 Cotta/westliche Ortschaften";"15 Cotta, Löbtau, Naußlitz, Dölzschen";5126;317;2126;1346;814;327;138;58;1789
"2004";"95 Gorbitz-Süd";"StB 9 Cotta/westliche Ortschaften";"16 Gorbitz";5683;2147;841;1704;886;92;8;5;544
"2004";"96 Gorbitz-Ost";"StB 9 Cotta/westliche Ortschaften";"16 Gorbitz";3903;1019;682;1500;619;82;0;1;257
"2004";"97 Gorbitz-Nord/Neu-Omsewitz";"StB 9 Cotta/westliche Ortschaften";"16 Gorbitz";4264;1266;669;1584;725;19;0;1;301
"2004";"98 Briesnitz";"StB 9 Cotta/westliche Ortschaften";"17 Briesnitz und westliche OS";5815;481;1916;1929;918;363;134;74;2063
"2004";"99 Altfranken/Gompitz";"StB 9 Cotta/westliche Ortschaften";"17 Briesnitz und westliche OS";1749;59;365;396;359;377;147;46;1055
"2005";"01 Innere Altstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";990;116;452;259;128;33;2;0;78
"2005";"02 Pirnaische Vorstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";3961;591;2218;934;200;17;0;1;207
"2005";"03 Seevorstadt-Ost";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4203;1382;1098;1440;225;42;11;5;282
"2005";"04 Wilsdruffer Vs./Seevs.-West";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4876;527;2089;1790;454;12;4;0;363
"2005";"05 Friedrichstadt";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";4054;597;1675;1350;357;66;9;0;367
"2005";"06 Johannstadt-Nord";"StB 0 Altstadt";"02 Johannstadt";6054;580;2451;2367;569;72;10;5;312
"2005";"07 Johannstadt-Süd";"StB 0 Altstadt";"02 Johannstadt";7100;571;3070;3105;331;17;1;5;461
"2005";"11 Äußere Neustadt (Antonstadt)";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";9663;1077;4180;2948;1016;335;63;44;1130
"2005";"12 Radeberger Vorstadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";4540;551;1295;1600;771;218;69;36;707
"2005";"13 Innere Neustadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";3786;539;1216;1393;499;92;33;14;422
"2005";"14 Leipziger Vorstadt";"StB 1 Neustadt";"04 Leipziger Vorstadt, Pieschen";6516;478;2747;2393;727;137;27;7;769
"2005";"15 Albertstadt";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";1176;166;467;409;107;26;0;1;145
"2005";"21 Pieschen-Süd";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";6494;463;3089;2292;486;128;26;10;792
"2005";"22 Mickten";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";7178;607;3023;2755;623;135;26;9;924
"2005";"23 Kaditz";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";3102;196;1412;1029;289;108;46;22;898
"2005";"24 Trachau";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";5402;276;1814;2090;924;210;63;25;1244
"2005";"25 Pieschen-N/Trachenberge";"StB 2 Pieschen";"04 Leipziger Vorstadt, Pieschen";6973;444;3113;2439;727;199;38;13;1092
"2005";"31 Klotzsche";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";7368;978;1854;2562;1356;405;145;68;1802
"2005";"32 Hellerau/Wilschdorf";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";2946;119;637;888;664;392;174;72;1969
"2005";"35 Weixdorf";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";2643;61;526;742;681;428;148;57;1766
"2005";"36 Langebrück/Schönborn";"StB 3 Klotzsche/nördliche Ortschaften";"06 StB Klotzsche und nördliche OS";1870;44;308;592;429;307;157;33;1081
"2005";"41 Loschwitz/Wachwitz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";2839;158;777;813;572;256;154;109;1200
"2005";"42 Bühlau/Weißer Hirsch";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";5549;312;1291;1792;1199;593;212;150;2258
"2005";"43 Hosterwitz/Pillnitz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";1641;56;419;518;322;182;95;49;881
"2005";"45 Weißig";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";2981;366;1067;710;376;289;99;74;1123
"2005";"46 Gönnsdorf/Pappritz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";1651;80;279;388;380;299;121;104;1087
"2005";"47 Schönfeld/Schullwitz";"StB 4 Loschwitz/OS Schönfeld-Weißig";"07 StB Loschwitz und OS Schönfeld-Weißig";1465;57;231;387;382;251;101;56;984
"2005";"51 Blasewitz";"StB 5 Blasewitz";"08 Blasewitz, Striesen";5141;391;1683;1648;876;363;105;75;1121
"2005";"52 Striesen-Ost";"StB 5 Blasewitz";"08 Blasewitz, Striesen";6930;420;2733;2343;1070;268;73;23;772
