Statistischer Bezirk;Bodenrichtwerte (cls:L301)
227;6
622;0
921;6
132;3
764;0
862;3
763;3
559;0
214;3
615;0
568;0
991;0
768;0
865;3
554;0
061;0
211;3
254;6
541;3
477;0
842;0
735;0
998;0
931;6
963;0
145;0
242;0
773;3
964;0
522;3
578;0
245;3
835;0
074;0
625;3
814;3
244;0
051;9
318;0
813;3
832;0
924;0
454;0
985;6
861;0
851;0
815;3
577;3
313;0
363;0
818;3
742;3
451;0
215;0
226;0
558;0
052;6
755;3
916;0
131;12
765;3
774;0
032;0
036;0
353;0
076;3
241;0
982;3
864;0
868;3
255;0
474;0
542;0
146;3
845;6
317;0
769;0
952;0
557;0
772;0
356;0
465;0
734;3
825;0
569;0
312;0
364;0
624;3
221;0
904;0
455;0
986;0
072;0
852;6
935;3
901;0
754;0
766;0
743;9
819;0
844;3
737;0
475;0
543;0
936;0
212;0
961;0
993;0
824;0
352;0
753;0
816;0
078;3
316;9
767;0
911;6
523;0
965;0
556;0
053;6
905;0
836;0
324;6
073;3
067;3
355;0
617;0
464;0
576;0
311;6
833;0
902;0
321;9
538;0
925;3
472;0
736;0
141;0
867;0
995;0
951;3
915;6
955;0
033;0
853;6
223;3
452;0
077;0
823;3
983;3
247;3
752;6
817;3
331;6
441;0
213;3
063;0
611;3
545;3
922;3
992;0
351;0
966;0
731;6
514;3
111;6
759;0
626;0
079;0
846;3
517;0
473;0
144;0
934;0
994;0
315;6
054;0
361;0
715;0
906;0
621;6
841;0
725;0
251;6
546;0
751;6
222;0
478;0
616;0
154;0
142;3
822;3
908;0
744;0
228;0
837;0
758;0
225;3
134;0
256;6
761;6
923;0
933;0
997;0
143;6
866;0
555;0
914;0
034;9
062;0
733;6
811;3
863;0
714;0
516;3
113;0
821;0
909;0
762;3
471;0
771;3
246;0
757;0
579;3
623;0
224;0
133;3
932;6
996;0
243;3
967;0
314;9
055;3
362;0
984;6
907;0
257;3
476;0
834;0
614;3
843;0
953;0
071;0
732;3
112;0
332;0
756;3
962;0
812;0
981;6
232;3
035;0
644;0
643;0
122;6
978;0
511;6
721;0
414;3
524;3
114;0
726;0
342;0
572;3
563;0
428;6
233;6
975;0
123;3
972;0
421;6
533;3
151;0
115;0
973;0
723;0
422;3
041;12
958;6
252;3
944;3
722;0
525;0
612;3
642;0
513;0
561;3
571;0
121;0
431;3
253;0
945;6
544;0
069;0
613;3
641;0
724;0
971;0
532;3
043;3
946;6
153;0
068;0
341;0
512;9
117;0
152;3
515;3
116;0
518;0
531;0
042;0
427;3
631;3
234;0
025;0
434;3
977;0
011;15
426;3
045;0
632;3
435;3
954;3
453;0
012;6
411;3
066;3
976;0
551;3
354;0
566;6
838;0
425;6
537;0
044;0
463;0
575;0
521;3
957;0
903;0
741;3
941;3
713;0
322;9
075;0
618;0
727;0
024;3
536;0
633;3
031;12
567;0
839;3
526;3
424;6
047;3
913;3
412;12
065;0
249;0
432;3
574;0
831;3
942;0
462;0
323;9
956;0
619;0
728;0
023;0
553;0
634;6
564;6
974;0
535;0
712;0
912;0
413;3
064;0
046;0
646;3
022;0
527;3
248;3
433;3
461;0
573;0
124;0
565;0
118;3
534;0
645;9
423;3
943;3
711;0
552;0
021;9
231;6
562;0
429;3
