Statistischer Bezirk;Bodenrichtwerte (cls:L303);Bodenrichtwerte (cls:L483);Bodenrichtwertzonen 2015 - Beschriftung (cls:L580);Bodenleitwerte (cls:L295);Bodenrichtwerte (cls:L318);Bodenrichtwerte (cls:L308);Bodenrichtwerte (cls:L322);Bodenrichtwerte (cls:L311);Bodenrichtwerte (cls:L331);Bodenrichtwerte (cls:L312);Bodenrichtwerte (cls:L326);Bodenrichtwerte (cls:L335);Bodenrichtwerte (cls:L315);Bodenrichtwerte (cls:L329);Bodenrichtwerte (cls:L337);Bodenrichtwertzonen 2011 - Beschriftung (cls:L588);Bodenrichtwertzonen 2013 - Beschriftung (cls:L589);Bodenrichtwerte (cls:L298);Bodenrichtwerte (cls:L301);Bodenrichtwertzonen 2017 - Beschriftung (cls:L682);Bodenrichtwertzonen 2019 - Beschriftung (cls:L1079)
836;1;1;2;0;1;1;1;1;1;1;1;1;0;1;1;3;2;0;0;2;2
324;2;4;6;0;3;1;3;1;3;1;3;3;2;3;4;6;7;1;2;6;6
073;1;1;1;0;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1
067;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1
355;0;2;4;0;0;0;1;0;2;0;1;2;0;2;2;3;4;0;0;4;4
617;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1
464;0;3;2;0;0;0;2;0;2;0;2;2;0;2;3;2;2;0;0;2;2
576;2;1;3;1;1;2;1;1;1;1;1;1;1;1;1;2;3;0;0;3;3
311;2;4;5;0;2;2;2;2;3;2;2;5;2;2;4;6;5;0;2;6;6
833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
902;0;5;8;0;3;0;3;0;3;0;4;4;4;3;5;8;8;0;0;7;7
321;3;8;4;0;5;6;5;6;6;6;5;6;6;6;8;4;4;2;3;4;5
538;0;2;4;0;0;0;1;1;1;0;0;2;0;1;2;4;4;1;0;4;4
925;1;0;1;1;1;2;2;1;1;2;1;0;2;1;0;1;1;1;1;1;1
472;0;3;2;0;0;0;2;0;2;0;2;2;0;2;3;2;2;0;0;2;2
736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141;2;1;3;1;2;2;2;3;1;3;1;1;3;1;1;3;3;2;0;3;3
867;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;2;2
995;0;1;1;0;0;0;1;0;1;0;1;1;0;1;1;1;1;0;0;1;1
951;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0
915;1;1;2;0;1;1;1;1;1;1;1;1;2;1;1;3;2;2;2;2;2
955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
033;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;2;2
853;2;4;9;1;2;3;2;4;4;3;3;5;2;4;4;18;9;1;2;9;9
223;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1
452;0;1;3;0;0;0;1;0;1;0;1;1;0;1;1;3;3;0;0;3;3
077;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1
823;2;2;3;1;1;2;1;2;2;1;1;1;1;2;2;5;4;1;1;4;4
983;2;6;9;0;2;3;2;1;3;1;2;5;2;3;6;12;9;1;1;8;8
247;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;2;2
752;2;9;9;1;3;2;4;3;6;3;5;7;3;6;9;10;9;2;2;9;9
817;2;1;3;1;1;2;1;3;1;3;1;2;2;2;1;3;3;1;1;3;3
331;2;1;1;0;1;2;1;1;1;1;1;1;0;1;1;1;1;1;2;1;1
441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
213;1;1;0;0;1;2;1;3;1;3;1;1;3;1;1;0;0;0;1;0;0
063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
611;1;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1
545;2;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
922;1;2;4;0;0;0;0;2;0;0;0;1;0;0;1;4;4;1;1;4;4
992;0;3;3;0;0;0;2;0;2;0;2;2;0;2;3;4;3;0;0;3;3
351;0;6;6;0;0;0;4;0;4;0;4;6;0;4;6;5;6;0;0;6;6
