Statistischer Bezirk;Bodenrichtwerte (cls:L303);Bodenrichtwerte (cls:L483);Bodenrichtwertzonen 2015 - Beschriftung (cls:L580);Bodenleitwerte (cls:L295);Bodenrichtwerte (cls:L318);Bodenrichtwerte (cls:L308);Bodenrichtwerte (cls:L322);Bodenrichtwerte (cls:L311);Bodenrichtwerte (cls:L331);Bodenrichtwerte (cls:L312);Bodenrichtwerte (cls:L326);Bodenrichtwerte (cls:L335);Bodenrichtwerte (cls:L315);Bodenrichtwerte (cls:L329);Bodenrichtwerte (cls:L337);Bodenrichtwertzonen 2011 - Beschriftung (cls:L588);Bodenrichtwertzonen 2013 - Beschriftung (cls:L589);Bodenrichtwerte (cls:L298);Bodenrichtwerte (cls:L301);Bodenrichtwertzonen 2017 - Beschriftung (cls:L682);Bodenrichtwertzonen 2019 - Beschriftung (cls:L1079)
042;0;0;1;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;1;1
427;2;5;3;0;2;3;3;4;3;2;2;5;2;2;5;3;3;1;1;3;3
631;2;4;4;0;3;4;3;3;4;3;3;4;3;4;4;4;4;1;1;5;5
234;1;1;1;0;1;2;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1
025;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;1;1
434;1;2;3;0;2;2;2;2;2;2;2;2;2;2;2;3;3;1;1;3;3
977;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
011;4;8;7;7;4;4;4;4;4;4;4;4;4;4;8;10;8;8;5;7;7
426;1;2;2;1;2;2;1;2;2;2;2;2;2;3;2;2;2;1;1;1;1
045;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;2
632;1;2;1;1;1;1;2;1;2;1;3;2;1;2;2;1;1;1;1;1;1
435;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
954;1;1;0;0;0;1;0;1;1;1;0;1;1;1;1;0;0;0;1;0;0
453;0;1;3;0;0;0;1;0;1;0;1;1;0;1;1;2;3;0;0;3;3
012;2;4;6;2;2;2;2;2;2;2;2;2;2;1;3;6;6;4;2;6;6
411;2;4;1;1;2;2;1;2;1;1;1;2;2;2;4;1;1;1;1;1;1
066;1;1;1;0;1;1;1;2;1;2;0;1;1;1;1;1;1;0;1;1;1
976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
551;2;3;3;0;1;1;2;1;2;1;3;2;1;2;3;3;3;0;1;3;3
354;0;5;9;0;0;0;4;0;5;0;4;5;0;4;5;10;9;0;0;9;9
566;2;2;3;0;1;2;2;1;2;2;2;2;2;2;2;3;3;1;2;3;3
838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
425;2;5;6;1;3;4;3;4;3;3;3;5;3;3;5;6;6;2;2;6;6
537;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
044;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;1;0
463;0;2;4;0;0;0;2;0;1;0;1;2;0;1;2;6;6;0;0;5;5
575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
521;0;1;0;1;1;1;1;1;1;1;1;1;2;1;1;0;0;0;1;0;0
957;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
903;0;4;5;0;3;0;4;0;4;0;4;3;4;4;4;5;5;0;0;4;5
741;2;4;4;0;1;2;1;1;3;1;1;3;1;2;4;4;4;1;1;4;4
941;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1;1;1;1
713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
322;4;6;7;1;4;5;4;6;3;5;3;3;5;3;5;8;8;1;3;7;7
075;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
024;1;0;0;0;1;0;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0
536;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;3;2
633;2;6;5;1;5;4;5;4;5;4;4;5;4;5;5;5;5;1;1;5;5
031;3;5;8;4;3;3;3;3;3;2;3;3;2;3;5;8;9;4;4;8;8
567;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;2
839;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
526;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0
424;2;4;3;1;2;3;3;2;2;3;2;2;2;2;4;3;3;2;2;3;3
047;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0
913;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1
412;2;5;8;2;5;5;5;4;4;5;4;3;5;3;3;4;5;5;4;9;9
065;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0
249;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
432;2;3;2;1;3;4;3;3;3;2;3;3;3;3;3;2;2;2;1;2;2
574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
831;1;3;4;0;2;1;2;1;2;1;2;2;1;2;3;4;4;1;1;4;4
942;1;2;2;0;2;0;1;0;1;0;2;1;0;1;1;3;3;1;0;2;1
462;0;4;3;0;0;0;3;0;4;0;4;4;0;4;4;3;3;0;0;2;2
323;4;3;4;0;3;5;3;5;3;4;3;3;4;3;3;6;4;2;3;4;4
956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
619;0;1;2;0;0;0;0;0;0;0;0;1;0;0;1;2;2;0;0;2;2
728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
023;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
553;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1
634;3;4;5;0;2;3;2;4;2;4;2;3;2;2;4;5;5;1;2;6;6
564;3;6;5;0;3;3;4;3;4;3;4;5;4;4;6;4;4;1;2;5;5
974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
535;0;0;0;0;1;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0
712;1;1;0;0;1;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0
912;1;2;3;0;1;1;1;2;1;2;1;2;2;1;2;2;3;0;0;3;3
413;2;3;0;2;2;2;2;2;3;2;3;3;2;3;3;0;0;2;1;0;0
064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
046;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
646;2;2;4;0;1;2;1;1;2;1;2;2;1;2;2;4;4;1;1;4;4
022;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1
527;2;3;3;2;1;2;1;1;1;1;1;1;0;1;3;3;3;2;1;3;3
248;1;5;5;0;4;4;4;5;4;5;4;4;4;4;5;7;7;0;1;5;5
433;1;3;3;0;2;1;2;1;3;1;3;3;1;3;3;4;4;1;1;3;3
461;0;5;4;0;0;0;5;0;6;0;6;5;0;6;5;6;6;0;0;4;4
573;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
124;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;3;3;0;0;2;2
565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;1;3;4;0;3;2;3;3;3;3;3;3;3;3;3;4;4;0;1;3;3
534;0;1;1;0;0;0;0;0;1;0;0;1;0;1;1;1;1;1;0;1;1
645;3;2;2;0;2;3;3;2;2;2;2;2;2;2;2;3;2;1;3;2;2
423;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
943;1;2;1;0;1;2;2;2;2;2;1;2;2;2;2;1;1;0;1;1;1
711;0;1;3;0;0;1;0;1;1;1;2;1;1;1;1;3;3;1;0;3;3
552;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;1;1;0;0;1;1
021;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;1;1
231;0;1;2;0;1;2;1;2;1;2;1;1;2;1;1;2;2;1;2;2;2
562;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
429;1;3;2;0;2;1;1;2;2;1;2;2;2;2;2;3;2;0;1;2;2
