Statistischer Bezirk;Lebensmittelmärkte (cls:L700);WLAN-Hotspots (cls:L581);Paketstationen/Paketboxen (cls:L582);Märkte (cls:L108);Geldautomaten (cls:L110);Notare (cls:L109);Verbraucherberatung (cls:L461)
908;0;0;0;0;0;0;0
744;0;0;0;0;0;0;0
228;0;0;0;0;0;0;0
837;0;0;0;0;0;0;0
758;0;0;0;0;0;0;0
225;4;8;0;0;9;0;0
134;0;18;0;0;3;0;0
256;2;4;0;0;0;0;0
761;4;2;0;0;6;0;0
923;0;0;0;0;0;0;0
933;2;2;0;0;0;0;0
997;0;0;0;0;0;0;0
143;2;0;0;0;0;0;0
866;0;0;0;0;0;0;0
555;0;0;0;0;3;0;0
914;0;0;0;0;0;0;0
034;2;0;0;0;0;3;0
062;2;0;0;0;0;0;0
733;0;0;0;0;0;0;0
811;4;0;2;0;0;0;0
863;0;0;0;0;0;0;0
714;2;2;0;0;3;0;0
516;0;0;0;0;0;0;0
113;6;4;0;0;3;0;0
821;0;4;0;0;0;0;0
909;2;0;0;0;0;0;0
762;2;4;2;0;3;0;0
471;0;0;0;0;3;0;0
771;4;0;2;0;3;0;0
246;2;0;0;0;3;0;0
757;0;0;0;0;0;0;0
579;0;6;0;0;0;3;0
623;0;0;0;0;0;0;0
224;0;0;0;0;0;0;0
133;0;2;0;0;6;0;0
932;4;0;4;0;0;0;0
996;0;0;0;0;0;0;0
243;0;2;0;0;0;0;0
967;0;8;0;0;0;0;0
314;4;0;0;0;0;0;0
055;0;0;0;0;3;0;0
362;0;0;0;0;3;0;0
984;2;6;0;0;3;0;0
907;0;0;0;0;0;0;0
257;2;0;0;0;0;0;0
476;0;0;0;0;0;0;0
834;4;0;0;0;0;0;0
614;6;0;4;0;6;0;0
843;0;0;0;0;0;0;0
953;0;0;0;0;0;0;0
071;6;0;2;0;0;0;0
732;0;0;0;0;3;0;0
112;2;4;0;0;0;0;0
332;0;0;0;0;0;0;0
756;0;0;0;0;3;0;0
962;0;0;0;0;0;0;0
812;0;4;0;0;0;6;0
981;2;6;2;0;0;0;0
232;0;0;0;0;0;0;0
035;0;0;0;0;0;0;0
644;0;0;0;0;0;0;0
643;0;0;0;0;0;0;0
