Statistischer Bezirk;2013: Temperatur 1m unter Wasserspiegel  (Messwerte in Dresden) (cls:L960);2017: Temperatur 1m unter Wasserspiegel (Messwerte in Dresden) (cls:L961);2015: Temperatur 1m über Grundwasserleitersohle (Messwerte) (cls:L967);2015: Temperatur 1m unter Wasserspiegel (Messwerte) (cls:L970)
341;10;10;10;10
512;4;4;4;4
117;0;0;0;0
152;12;10;10;12
515;0;0;0;0
116;0;0;0;0
518;0;0;0;0
531;2;2;2;2
042;0;0;0;0
427;0;0;0;0
631;6;6;4;4
234;2;2;2;2
025;2;2;2;2
434;10;10;8;10
977;0;0;0;0
011;18;14;14;20
426;2;2;0;2
045;2;2;2;2
632;0;0;0;0
435;2;2;0;2
954;0;0;0;0
453;0;0;0;0
012;22;22;22;24
411;0;0;0;0
066;0;0;0;0
976;0;0;0;0
551;4;10;12;12
354;2;2;0;2
566;0;0;0;0
838;0;0;0;0
425;0;0;0;0
537;0;0;0;0
044;2;2;2;2
463;2;2;2;2
575;0;0;0;0
521;2;2;2;2
957;0;0;0;0
903;30;26;26;30
741;2;2;2;2
941;0;0;0;0
713;0;0;0;0
322;4;4;4;4
075;0;0;0;0
618;2;2;2;2
727;0;0;0;0
024;2;2;2;2
536;2;2;2;2
633;4;6;4;4
031;10;10;10;10
567;4;4;2;4
839;0;0;0;0
526;2;2;2;2
424;0;0;0;0
047;2;2;2;2
913;0;0;0;0
412;8;8;8;8
065;0;0;0;0
249;6;6;6;6
432;8;8;8;8
574;0;0;0;0
831;6;8;8;8
942;0;0;0;0
462;2;2;2;2
323;2;2;0;0
956;0;0;0;0
619;6;6;6;6
728;0;0;0;0
023;2;2;2;2
553;0;0;0;0
634;14;22;12;18
564;4;4;4;4
974;0;0;0;0
535;0;0;0;0
712;2;2;0;2
912;2;2;2;2
413;0;0;0;0
064;0;0;0;0
046;2;2;2;2
646;10;10;8;10
022;2;2;2;2
527;2;2;2;2
248;0;0;0;0
433;4;4;4;4
461;2;2;0;2
573;0;0;0;0
124;0;0;0;0
565;0;0;0;0
118;2;2;2;2
534;0;0;0;0
645;2;2;2;2
423;2;2;2;2
943;0;0;0;0
711;2;2;2;2
552;0;0;0;0
021;2;2;0;2
231;2;2;2;2
562;0;0;0;0
429;0;0;0;0
