,Jahr,Stadtraum,Heizungsart,Anteil in %
358,2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,72
359,2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Einzelraumheizung,3
360,2007,"13 Südvorstadt, Zschertnitz",Fernheizung,63
361,2007,"13 Südvorstadt, Zschertnitz",Zentralheizung oder Etagenheizung,34
362,2007,"13 Südvorstadt, Zschertnitz",Einzelraumheizung,3
363,2007,"14 Mockritz, Coschütz, Plauen",Fernheizung,31
364,2007,"14 Mockritz, Coschütz, Plauen",Zentralheizung oder Etagenheizung,68
365,2007,"14 Mockritz, Coschütz, Plauen",Einzelraumheizung,1
366,2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Fernheizung,29
367,2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Zentralheizung oder Etagenheizung,65
368,2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Einzelraumheizung,5
369,2007,16 Gorbitz,Fernheizung,81
370,2007,16 Gorbitz,Zentralheizung oder Etagenheizung,19
371,2007,16 Gorbitz,Einzelraumheizung,0
372,2007,17 Briesnitz und westliche OS,Fernheizung,10
373,2007,17 Briesnitz und westliche OS,Zentralheizung oder Etagenheizung,88
374,2007,17 Briesnitz und westliche OS,Einzelraumheizung,2
375,2007,18 Dresden gesamt,Fernheizung,46
376,2007,18 Dresden gesamt,Zentralheizung oder Etagenheizung,52
377,2007,18 Dresden gesamt,Einzelraumheizung,3
378,2010,01 StB Altstadt ohne Johannstadt,Fernheizung,66
379,2010,01 StB Altstadt ohne Johannstadt,Zentralheizung oder Etagenheizung,34
380,2010,01 StB Altstadt ohne Johannstadt,Einzelraumheizung,0
381,2010,02 Johannstadt,Fernheizung,76
382,2010,02 Johannstadt,Zentralheizung oder Etagenheizung,24
383,2010,02 Johannstadt,Einzelraumheizung,0
384,2010,03 StB Neustadt ohne Leipziger Vorstadt,Fernheizung,53
385,2010,03 StB Neustadt ohne Leipziger Vorstadt,Zentralheizung oder Etagenheizung,43
386,2010,03 StB Neustadt ohne Leipziger Vorstadt,Einzelraumheizung,3
387,2010,"04 Leipziger Vorstadt, Pieschen",Fernheizung,23
388,2010,"04 Leipziger Vorstadt, Pieschen",Zentralheizung oder Etagenheizung,75
389,2010,"04 Leipziger Vorstadt, Pieschen",Einzelraumheizung,2
390,2010,"05 Mickten, Kaditz, Trachau",Fernheizung,33
391,2010,"05 Mickten, Kaditz, Trachau",Zentralheizung oder Etagenheizung,67
392,2010,"05 Mickten, Kaditz, Trachau",Einzelraumheizung,1
393,2010,06 StB Klotzsche und nördliche OS,Fernheizung,28
394,2010,06 StB Klotzsche und nördliche OS,Zentralheizung oder Etagenheizung,71
395,2010,06 StB Klotzsche und nördliche OS,Einzelraumheizung,1
396,2010,07 StB Loschwitz und OS Schönfeld-Weißig,Fernheizung,11
397,2010,07 StB Loschwitz und OS Schönfeld-Weißig,Zentralheizung oder Etagenheizung,88
398,2010,07 StB Loschwitz und OS Schönfeld-Weißig,Einzelraumheizung,1
399,2010,"08 Blasewitz, Striesen",Fernheizung,48
400,2010,"08 Blasewitz, Striesen",Zentralheizung oder Etagenheizung,50
401,2010,"08 Blasewitz, Striesen",Einzelraumheizung,1
402,2010,"09 Tolkewitz, Seidnitz, Gruna",Fernheizung,68
403,2010,"09 Tolkewitz, Seidnitz, Gruna",Zentralheizung oder Etagenheizung,32
404,2010,"09 Tolkewitz, Seidnitz, Gruna",Einzelraumheizung,0
405,2010,10 StB Leuben,Fernheizung,40
406,2010,10 StB Leuben,Zentralheizung oder Etagenheizung,59
407,2010,10 StB Leuben,Einzelraumheizung,1
408,2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Fernheizung,87
409,2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,13
410,2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Einzelraumheizung,0
411,2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Fernheizung,28
412,2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,70
413,2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Einzelraumheizung,2
414,2010,"13 Südvorstadt, Zschertnitz",Fernheizung,72
415,2010,"13 Südvorstadt, Zschertnitz",Zentralheizung oder Etagenheizung,28
416,2010,"13 Südvorstadt, Zschertnitz",Einzelraumheizung,0
417,2010,"14 Mockritz, Coschütz, Plauen",Fernheizung,35
418,2010,"14 Mockritz, Coschütz, Plauen",Zentralheizung oder Etagenheizung,65
419,2010,"14 Mockritz, Coschütz, Plauen",Einzelraumheizung,0
420,2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Fernheizung,20
421,2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Zentralheizung oder Etagenheizung,79
422,2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Einzelraumheizung,2
423,2010,16 Gorbitz,Fernheizung,93
424,2010,16 Gorbitz,Zentralheizung oder Etagenheizung,7
425,2010,16 Gorbitz,Einzelraumheizung,0
426,2010,17 Briesnitz und westliche OS,Fernheizung,11
427,2010,17 Briesnitz und westliche OS,Zentralheizung oder Etagenheizung,88
428,2010,17 Briesnitz und westliche OS,Einzelraumheizung,1
429,2010,18 Dresden gesamt,Fernheizung,46
430,2010,18 Dresden gesamt,Zentralheizung oder Etagenheizung,53
431,2010,18 Dresden gesamt,Einzelraumheizung,1
432,2012,01 StB Altstadt ohne Johannstadt,Fernheizung,79
433,2012,01 StB Altstadt ohne Johannstadt,Zentralheizung oder Etagenheizung,21
434,2012,01 StB Altstadt ohne Johannstadt,Einzelraumheizung,0
435,2012,02 Johannstadt,Fernheizung,85
436,2012,02 Johannstadt,Zentralheizung oder Etagenheizung,15
437,2012,02 Johannstadt,Einzelraumheizung,0
438,2012,03 StB Neustadt ohne Leipziger Vorstadt,Fernheizung,72
439,2012,03 StB Neustadt ohne Leipziger Vorstadt,Zentralheizung oder Etagenheizung,27
440,2012,03 StB Neustadt ohne Leipziger Vorstadt,Einzelraumheizung,1
441,2012,"04 Leipziger Vorstadt, Pieschen",Fernheizung,42
442,2012,"04 Leipziger Vorstadt, Pieschen",Zentralheizung oder Etagenheizung,56
443,2012,"04 Leipziger Vorstadt, Pieschen",Einzelraumheizung,1
444,2012,"05 Mickten, Kaditz, Trachau",Fernheizung,49
445,2012,"05 Mickten, Kaditz, Trachau",Zentralheizung oder Etagenheizung,51
446,2012,"05 Mickten, Kaditz, Trachau",Einzelraumheizung,0
447,2012,06 StB Klotzsche und nördliche OS,Fernheizung,33
448,2012,06 StB Klotzsche und nördliche OS,Zentralheizung oder Etagenheizung,64
449,2012,06 StB Klotzsche und nördliche OS,Einzelraumheizung,3
450,2012,07 StB Loschwitz und OS Schönfeld-Weißig,Fernheizung,13
451,2012,07 StB Loschwitz und OS Schönfeld-Weißig,Zentralheizung oder Etagenheizung,80
452,2012,07 StB Loschwitz und OS Schönfeld-Weißig,Einzelraumheizung,8
453,2012,"08 Blasewitz, Striesen",Fernheizung,59
454,2012,"08 Blasewitz, Striesen",Zentralheizung oder Etagenheizung,39
455,2012,"08 Blasewitz, Striesen",Einzelraumheizung,2
456,2012,"09 Tolkewitz, Seidnitz, Gruna",Fernheizung,79
457,2012,"09 Tolkewitz, Seidnitz, Gruna",Zentralheizung oder Etagenheizung,21
458,2012,"09 Tolkewitz, Seidnitz, Gruna",Einzelraumheizung,0
459,2012,10 StB Leuben,Fernheizung,54
460,2012,10 StB Leuben,Zentralheizung oder Etagenheizung,43
461,2012,10 StB Leuben,Einzelraumheizung,3
462,2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Fernheizung,93
463,2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,7
464,2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Einzelraumheizung,0
465,2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Fernheizung,48
466,2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,51
467,2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Einzelraumheizung,1
468,2012,"13 Südvorstadt, Zschertnitz",Fernheizung,84
469,2012,"13 Südvorstadt, Zschertnitz",Zentralheizung oder Etagenheizung,16
470,2012,"13 Südvorstadt, Zschertnitz",Einzelraumheizung,0
471,2012,"14 Mockritz, Coschütz, Plauen",Fernheizung,44
472,2012,"14 Mockritz, Coschütz, Plauen",Zentralheizung oder Etagenheizung,54
473,2012,"14 Mockritz, Coschütz, Plauen",Einzelraumheizung,3
474,2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Fernheizung,39
475,2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Zentralheizung oder Etagenheizung,59
476,2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Einzelraumheizung,2
477,2012,16 Gorbitz,Fernheizung,91
478,2012,16 Gorbitz,Zentralheizung oder Etagenheizung,9
479,2012,16 Gorbitz,Einzelraumheizung,0
480,2012,17 Briesnitz und westliche OS,Fernheizung,19
481,2012,17 Briesnitz und westliche OS,Zentralheizung oder Etagenheizung,80
482,2012,17 Briesnitz und westliche OS,Einzelraumheizung,1
483,2012,18 Dresden gesamt,Fernheizung,59
484,2012,18 Dresden gesamt,Zentralheizung oder Etagenheizung,40
485,2012,18 Dresden gesamt,Einzelraumheizung,1
486,2014,01 StB Altstadt ohne Johannstadt,Fernheizung,71
487,2014,01 StB Altstadt ohne Johannstadt,Zentralheizung oder Etagenheizung,30
488,2014,01 StB Altstadt ohne Johannstadt,Einzelraumheizung,0
489,2014,02 Johannstadt,Fernheizung,75
490,2014,02 Johannstadt,Zentralheizung oder Etagenheizung,25
491,2014,02 Johannstadt,Einzelraumheizung,0
492,2014,03 StB Neustadt ohne Leipziger Vorstadt,Fernheizung,41
493,2014,03 StB Neustadt ohne Leipziger Vorstadt,Zentralheizung oder Etagenheizung,55
494,2014,03 StB Neustadt ohne Leipziger Vorstadt,Einzelraumheizung,4
495,2014,"04 Leipziger Vorstadt, Pieschen",Fernheizung,23
496,2014,"04 Leipziger Vorstadt, Pieschen",Zentralheizung oder Etagenheizung,68
497,2014,"04 Leipziger Vorstadt, Pieschen",Einzelraumheizung,9
498,2014,"05 Mickten, Kaditz, Trachau",Fernheizung,39
499,2014,"05 Mickten, Kaditz, Trachau",Zentralheizung oder Etagenheizung,54
500,2014,"05 Mickten, Kaditz, Trachau",Einzelraumheizung,7
501,2014,06 StB Klotzsche und nördliche OS,Fernheizung,17
502,2014,06 StB Klotzsche und nördliche OS,Zentralheizung oder Etagenheizung,81
503,2014,06 StB Klotzsche und nördliche OS,Einzelraumheizung,2
504,2014,07 StB Loschwitz und OS Schönfeld-Weißig,Fernheizung,7
505,2014,07 StB Loschwitz und OS Schönfeld-Weißig,Zentralheizung oder Etagenheizung,89
506,2014,07 StB Loschwitz und OS Schönfeld-Weißig,Einzelraumheizung,4
507,2014,"08 Blasewitz, Striesen",Fernheizung,55
508,2014,"08 Blasewitz, Striesen",Zentralheizung oder Etagenheizung,45
509,2014,"08 Blasewitz, Striesen",Einzelraumheizung,1
510,2014,"09 Tolkewitz, Seidnitz, Gruna",Fernheizung,65
511,2014,"09 Tolkewitz, Seidnitz, Gruna",Zentralheizung oder Etagenheizung,31
512,2014,"09 Tolkewitz, Seidnitz, Gruna",Einzelraumheizung,4
513,2014,10 StB Leuben,Fernheizung,47
514,2014,10 StB Leuben,Zentralheizung oder Etagenheizung,52
515,2014,10 StB Leuben,Einzelraumheizung,1
516,2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Fernheizung,75
517,2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,25
518,2014,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Einzelraumheizung,0
519,2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Fernheizung,32
520,2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,65
521,2014,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Einzelraumheizung,3
522,2014,"13 Südvorstadt, Zschertnitz",Fernheizung,66
523,2014,"13 Südvorstadt, Zschertnitz",Zentralheizung oder Etagenheizung,34
524,2014,"13 Südvorstadt, Zschertnitz",Einzelraumheizung,1
525,2014,"14 Mockritz, Coschütz, Plauen",Fernheizung,25
526,2014,"14 Mockritz, Coschütz, Plauen",Zentralheizung oder Etagenheizung,73
527,2014,"14 Mockritz, Coschütz, Plauen",Einzelraumheizung,1
528,2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Fernheizung,23
529,2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Zentralheizung oder Etagenheizung,72
530,2014,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Einzelraumheizung,5
531,2014,16 Gorbitz,Fernheizung,80
532,2014,16 Gorbitz,Zentralheizung oder Etagenheizung,20
533,2014,16 Gorbitz,Einzelraumheizung,0
534,2014,17 Briesnitz und westliche OS,Fernheizung,10
535,2014,17 Briesnitz und westliche OS,Zentralheizung oder Etagenheizung,88
536,2014,17 Briesnitz und westliche OS,Einzelraumheizung,2
537,2014,18 Dresden gesamt,Fernheizung,45
538,2014,18 Dresden gesamt,Zentralheizung oder Etagenheizung,53
539,2014,18 Dresden gesamt,Einzelraumheizung,3
540,2016,01 StB Altstadt ohne Johannstadt,Fernheizung,67
541,2016,01 StB Altstadt ohne Johannstadt,Zentralheizung oder Etagenheizung,32
542,2016,01 StB Altstadt ohne Johannstadt,Einzelraumheizung,1
543,2016,02 Johannstadt,Fernheizung,77
544,2016,02 Johannstadt,Zentralheizung oder Etagenheizung,23
545,2016,02 Johannstadt,Einzelraumheizung,0
546,2016,03 StB Neustadt ohne Leipziger Vorstadt,Fernheizung,52
547,2016,03 StB Neustadt ohne Leipziger Vorstadt,Zentralheizung oder Etagenheizung,45
548,2016,03 StB Neustadt ohne Leipziger Vorstadt,Einzelraumheizung,4
549,2016,"04 Leipziger Vorstadt, Pieschen",Fernheizung,25
550,2016,"04 Leipziger Vorstadt, Pieschen",Zentralheizung oder Etagenheizung,74
551,2016,"04 Leipziger Vorstadt, Pieschen",Einzelraumheizung,2
552,2016,"05 Mickten, Kaditz, Trachau",Fernheizung,33
553,2016,"05 Mickten, Kaditz, Trachau",Zentralheizung oder Etagenheizung,66
554,2016,"05 Mickten, Kaditz, Trachau",Einzelraumheizung,1
555,2016,06 StB Klotzsche und nördliche OS,Fernheizung,28
556,2016,06 StB Klotzsche und nördliche OS,Zentralheizung oder Etagenheizung,72
557,2016,06 StB Klotzsche und nördliche OS,Einzelraumheizung,1
558,2016,07 StB Loschwitz und OS Schönfeld-Weißig,Fernheizung,9
559,2016,07 StB Loschwitz und OS Schönfeld-Weißig,Zentralheizung oder Etagenheizung,88
560,2016,07 StB Loschwitz und OS Schönfeld-Weißig,Einzelraumheizung,3
561,2016,"08 Blasewitz, Striesen",Fernheizung,51
562,2016,"08 Blasewitz, Striesen",Zentralheizung oder Etagenheizung,49
563,2016,"08 Blasewitz, Striesen",Einzelraumheizung,0
564,2016,"09 Tolkewitz, Seidnitz, Gruna",Fernheizung,61
565,2016,"09 Tolkewitz, Seidnitz, Gruna",Zentralheizung oder Etagenheizung,39
566,2016,"09 Tolkewitz, Seidnitz, Gruna",Einzelraumheizung,0
567,2016,10 StB Leuben,Fernheizung,46
568,2016,10 StB Leuben,Zentralheizung oder Etagenheizung,53
569,2016,10 StB Leuben,Einzelraumheizung,1
570,2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Fernheizung,79
571,2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,20
572,2016,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Einzelraumheizung,1
573,2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Fernheizung,32
574,2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,66
575,2016,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Einzelraumheizung,3
576,2016,"13 Südvorstadt, Zschertnitz",Fernheizung,65
577,2016,"13 Südvorstadt, Zschertnitz",Zentralheizung oder Etagenheizung,34
578,2016,"13 Südvorstadt, Zschertnitz",Einzelraumheizung,0
579,2016,"14 Mockritz, Coschütz, Plauen",Fernheizung,35
580,2016,"14 Mockritz, Coschütz, Plauen",Zentralheizung oder Etagenheizung,64
581,2016,"14 Mockritz, Coschütz, Plauen",Einzelraumheizung,0
582,2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Fernheizung,32
583,2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Zentralheizung oder Etagenheizung,68
584,2016,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Einzelraumheizung,0
585,2016,16 Gorbitz,Fernheizung,78
586,2016,16 Gorbitz,Zentralheizung oder Etagenheizung,22
587,2016,16 Gorbitz,Einzelraumheizung,0
588,2016,17 Briesnitz und westliche OS,Fernheizung,12
589,2016,17 Briesnitz und westliche OS,Zentralheizung oder Etagenheizung,85
590,2016,17 Briesnitz und westliche OS,Einzelraumheizung,3
591,2016,18 Dresden gesamt,Fernheizung,45
592,2016,18 Dresden gesamt,Zentralheizung oder Etagenheizung,54
593,2016,18 Dresden gesamt,Einzelraumheizung,1
594,2018,01 StB Altstadt ohne Johannstadt,Fernheizung,68
595,2018,01 StB Altstadt ohne Johannstadt,Zentralheizung oder Etagenheizung,32
596,2018,01 StB Altstadt ohne Johannstadt,Einzelraumheizung,0
597,2018,02 Johannstadt,Fernheizung,73
598,2018,02 Johannstadt,Zentralheizung oder Etagenheizung,26
599,2018,02 Johannstadt,Einzelraumheizung,2
600,2018,03 StB Neustadt ohne Leipziger Vorstadt,Fernheizung,44
601,2018,03 StB Neustadt ohne Leipziger Vorstadt,Zentralheizung oder Etagenheizung,54
602,2018,03 StB Neustadt ohne Leipziger Vorstadt,Einzelraumheizung,3
603,2018,"04 Leipziger Vorstadt, Pieschen",Fernheizung,25
604,2018,"04 Leipziger Vorstadt, Pieschen",Zentralheizung oder Etagenheizung,73
605,2018,"04 Leipziger Vorstadt, Pieschen",Einzelraumheizung,2
606,2018,"05 Mickten, Kaditz, Trachau",Fernheizung,39
607,2018,"05 Mickten, Kaditz, Trachau",Zentralheizung oder Etagenheizung,61
608,2018,"05 Mickten, Kaditz, Trachau",Einzelraumheizung,0
609,2018,06 StB Klotzsche und nördliche OS,Fernheizung,26
610,2018,06 StB Klotzsche und nördliche OS,Zentralheizung oder Etagenheizung,73
611,2018,06 StB Klotzsche und nördliche OS,Einzelraumheizung,1
612,2018,07 StB Loschwitz und OS Schönfeld-Weißig,Fernheizung,12
613,2018,07 StB Loschwitz und OS Schönfeld-Weißig,Zentralheizung oder Etagenheizung,86
614,2018,07 StB Loschwitz und OS Schönfeld-Weißig,Einzelraumheizung,2
615,2018,"08 Blasewitz, Striesen",Fernheizung,49
616,2018,"08 Blasewitz, Striesen",Zentralheizung oder Etagenheizung,51
617,2018,"08 Blasewitz, Striesen",Einzelraumheizung,0
618,2018,"09 Tolkewitz, Seidnitz, Gruna",Fernheizung,67
619,2018,"09 Tolkewitz, Seidnitz, Gruna",Zentralheizung oder Etagenheizung,32
620,2018,"09 Tolkewitz, Seidnitz, Gruna",Einzelraumheizung,1
621,2018,10 StB Leuben,Fernheizung,49
622,2018,10 StB Leuben,Zentralheizung oder Etagenheizung,51
623,2018,10 StB Leuben,Einzelraumheizung,1
624,2018,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Fernheizung,73
625,2018,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,27
626,2018,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",Einzelraumheizung,0
627,2018,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Fernheizung,30
628,2018,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Zentralheizung oder Etagenheizung,70
629,2018,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",Einzelraumheizung,1
630,2018,"13 Südvorstadt, Zschertnitz",Fernheizung,63
631,2018,"13 Südvorstadt, Zschertnitz",Zentralheizung oder Etagenheizung,35
632,2018,"13 Südvorstadt, Zschertnitz",Einzelraumheizung,2
633,2018,"14 Mockritz, Coschütz, Plauen",Fernheizung,31
634,2018,"14 Mockritz, Coschütz, Plauen",Zentralheizung oder Etagenheizung,67
635,2018,"14 Mockritz, Coschütz, Plauen",Einzelraumheizung,2
636,2018,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Fernheizung,36
637,2018,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Zentralheizung oder Etagenheizung,62
638,2018,"15 Cotta, Löbtau, Naußlitz, Dölzschen",Einzelraumheizung,2
639,2018,16 Gorbitz,Fernheizung,74
640,2018,16 Gorbitz,Zentralheizung oder Etagenheizung,26
641,2018,16 Gorbitz,Einzelraumheizung,0
642,2018,17 Briesnitz und westliche OS,Fernheizung,8
643,2018,17 Briesnitz und westliche OS,Zentralheizung oder Etagenheizung,91
644,2018,17 Briesnitz und westliche OS,Einzelraumheizung,2
645,2018,18 Dresden gesamt,Fernheizung,45
646,2018,18 Dresden gesamt,Zentralheizung oder Etagenheizung,54
647,2018,18 Dresden gesamt,Einzelraumheizung,1
