Jahr,Stadtraum,Anteil_Haushalte_ohne_Kinder
2003,17 Briesnitz und westliche OS,0.7506823430610959
2004,01 StB Altstadt ohne Johannstadt,0.8998046875
2004,02 Johannstadt,0.8657806218721799
2004,03 StB Neustadt ohne Leipziger Vorstadt,0.8387133765265753
2004,"04 Leipziger Vorstadt, Pieschen",0.8179067283730865
2004,"05 Mickten, Kaditz, Trachau",0.8009478672985783
2004,06 StB Klotzsche und nördliche OS,0.7543950745493658
2004,07 StB Loschwitz und OS Schönfeld-Weißig,0.7618268478338195
2004,"08 Blasewitz, Striesen",0.8008099661046794
2004,"09 Tolkewitz, Seidnitz, Gruna",0.828744896891029
2004,10 StB Leuben,0.814757837780489
2004,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.841899208663057
2004,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.7837907155680944
2004,"13 Südvorstadt, Zschertnitz",0.8636363636363636
2004,"14 Mockritz, Coschütz, Plauen",0.8024649383765405
2004,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.8099296825058598
2004,16 Gorbitz,0.8380214229730907
2004,17 Briesnitz und westliche OS,0.759165022328383
2005,01 StB Altstadt ohne Johannstadt,0.9095731402895657
2005,02 Johannstadt,0.8704859739233505
2005,03 StB Neustadt ohne Leipziger Vorstadt,0.84423828125
2005,"04 Leipziger Vorstadt, Pieschen",0.8246738513896766
2005,"05 Mickten, Kaditz, Trachau",0.8082682524897901
2005,06 StB Klotzsche und nördliche OS,0.76960748483298
2005,07 StB Loschwitz und OS Schönfeld-Weißig,0.7698666296193387
2005,"08 Blasewitz, Striesen",0.8091881902961021
2005,"09 Tolkewitz, Seidnitz, Gruna",0.836285451008498
2005,10 StB Leuben,0.8218868699312185
2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.8548032265949645
2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.794052794052794
2005,"13 Südvorstadt, Zschertnitz",0.8734926864074206
2005,"14 Mockritz, Coschütz, Plauen",0.8111193844626459
2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.8240509554140127
2005,16 Gorbitz,0.8571790754669145
2005,17 Briesnitz und westliche OS,0.768912231087769
2006,01 StB Altstadt ohne Johannstadt,0.9147248078965453
2006,02 Johannstadt,0.8751462216330032
2006,03 StB Neustadt ohne Leipziger Vorstadt,0.8451534133135152
2006,"04 Leipziger Vorstadt, Pieschen",0.8303853617965068
2006,"05 Mickten, Kaditz, Trachau",0.8116094616410472
2006,06 StB Klotzsche und nördliche OS,0.778029197080292
2006,07 StB Loschwitz und OS Schönfeld-Weißig,0.7741022099447514
2006,"08 Blasewitz, Striesen",0.8104745617785378
2006,"09 Tolkewitz, Seidnitz, Gruna",0.8398299078667611
2006,10 StB Leuben,0.8252654035658048
2006,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.8605350641127117
2006,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.8004780475531513
2006,"13 Südvorstadt, Zschertnitz",0.8791748526522594
2006,"14 Mockritz, Coschütz, Plauen",0.8204202232435982
2006,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.8287196368896205
2006,16 Gorbitz,0.8665437169922039
2006,17 Briesnitz und westliche OS,0.7792012811530378
2007,01 StB Altstadt ohne Johannstadt,0.9176054650047939
2007,02 Johannstadt,0.8785964912280702
2007,03 StB Neustadt ohne Leipziger Vorstadt,0.841055780028336
2007,"04 Leipziger Vorstadt, Pieschen",0.8315355845845304
2007,"05 Mickten, Kaditz, Trachau",0.8143988976920428
2007,06 StB Klotzsche und nördliche OS,0.7861868411486732
2007,07 StB Loschwitz und OS Schönfeld-Weißig,0.7783695206882425
2007,"08 Blasewitz, Striesen",0.8079899074852818
2007,"09 Tolkewitz, Seidnitz, Gruna",0.8452037055483614
2007,10 StB Leuben,0.828500832030659
2007,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.8604957397366383
2007,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.8056619170171364
2007,"13 Südvorstadt, Zschertnitz",0.8826714801444043
2007,"14 Mockritz, Coschütz, Plauen",0.8241021025934713
2007,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.83265605875153
2007,16 Gorbitz,0.8680953567572057
2007,17 Briesnitz und westliche OS,0.7875930521091812
2008,01 StB Altstadt ohne Johannstadt,0.9188619599578504
2008,02 Johannstadt,0.8827069989968361
2008,03 StB Neustadt ohne Leipziger Vorstadt,0.8415286359624072
2008,"04 Leipziger Vorstadt, Pieschen",0.8302524558994402
2008,"05 Mickten, Kaditz, Trachau",0.8174447672454563
2008,06 StB Klotzsche und nördliche OS,0.794251134644478
2008,07 StB Loschwitz und OS Schönfeld-Weißig,0.7787291879034999
2008,"08 Blasewitz, Striesen",0.810494416538669
2008,"09 Tolkewitz, Seidnitz, Gruna",0.8491355957247697
2008,10 StB Leuben,0.8294546544147023
2008,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.8624844527363185
2008,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.8106003986048829
2008,"13 Südvorstadt, Zschertnitz",0.8839084386744107
2008,"14 Mockritz, Coschütz, Plauen",0.8283317199096483
2008,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.8344111969111969
2008,16 Gorbitz,0.8775458888609504
2008,17 Briesnitz und westliche OS,0.79701230228471
2009,01 StB Altstadt ohne Johannstadt,0.9204728023869635
2009,02 Johannstadt,0.8853645392254985
2009,03 StB Neustadt ohne Leipziger Vorstadt,0.8389128778257556
2009,"04 Leipziger Vorstadt, Pieschen",0.8301330895052321
2009,"05 Mickten, Kaditz, Trachau",0.8108017668317494
2009,06 StB Klotzsche und nördliche OS,0.7928107838242636
2009,07 StB Loschwitz und OS Schönfeld-Weißig,0.7795333826396826
2009,"08 Blasewitz, Striesen",0.8065714285714286
2009,"09 Tolkewitz, Seidnitz, Gruna",0.8459158111891547
2009,10 StB Leuben,0.828160521893842
2009,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.8624695815998116
2009,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.8095860566448801
2009,"13 Südvorstadt, Zschertnitz",0.8812806887737943
2009,"14 Mockritz, Coschütz, Plauen",0.8255665496329396
2009,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.8359085145352932
2009,16 Gorbitz,0.8742070116861436
2009,17 Briesnitz und westliche OS,0.7931599229287091
2010,01 StB Altstadt ohne Johannstadt,0.9168031629483196
2010,02 Johannstadt,0.886945229547017
2010,03 StB Neustadt ohne Leipziger Vorstadt,0.8357075495110935
2010,"04 Leipziger Vorstadt, Pieschen",0.8229698260912649
2010,"05 Mickten, Kaditz, Trachau",0.8058819624244838
2010,06 StB Klotzsche und nördliche OS,0.7885309734513274
2010,07 StB Loschwitz und OS Schönfeld-Weißig,0.7764886310595452
2010,"08 Blasewitz, Striesen",0.8005822416302766
2010,"09 Tolkewitz, Seidnitz, Gruna",0.8403377847604084
2010,10 StB Leuben,0.8237769080234834
2010,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.8586745396628078
2010,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.8072340948169983
2010,"13 Südvorstadt, Zschertnitz",0.8755904464107511
2010,"14 Mockritz, Coschütz, Plauen",0.8214849921011058
2010,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.8326781667668686
2010,16 Gorbitz,0.8677424721344202
2010,17 Briesnitz und westliche OS,0.788538681948424
2011,01 StB Altstadt ohne Johannstadt,0.9145087690362307
2011,02 Johannstadt,0.8825167456912771
2011,03 StB Neustadt ohne Leipziger Vorstadt,0.8305847076461769
2011,"04 Leipziger Vorstadt, Pieschen",0.8176115802171291
2011,"05 Mickten, Kaditz, Trachau",0.8057474260393588
2011,06 StB Klotzsche und nördliche OS,0.7825112107623319
2011,07 StB Loschwitz und OS Schönfeld-Weißig,0.7731386668428354
2011,"08 Blasewitz, Striesen",0.79857518108732
2011,"09 Tolkewitz, Seidnitz, Gruna",0.8359747579363168
2011,10 StB Leuben,0.8199758162031439
2011,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.8605641298563066
2011,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.8046618914653393
2011,"13 Südvorstadt, Zschertnitz",0.8742154811715481
2011,"14 Mockritz, Coschütz, Plauen",0.8160678177010422
2011,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.8316666666666667
2011,16 Gorbitz,0.8656814992157187
2011,17 Briesnitz und westliche OS,0.7864553857762686
2012,01 StB Altstadt ohne Johannstadt,0.9137364442983897
2012,02 Johannstadt,0.8806149231346082
2012,03 StB Neustadt ohne Leipziger Vorstadt,0.8268876611418048
2012,"04 Leipziger Vorstadt, Pieschen",0.8136740004731488
2012,"05 Mickten, Kaditz, Trachau",0.800282740007711
2012,06 StB Klotzsche und nördliche OS,0.7763940390400895
2012,07 StB Loschwitz und OS Schönfeld-Weißig,0.7682815356489945
2012,"08 Blasewitz, Striesen",0.7955133735979293
2012,"09 Tolkewitz, Seidnitz, Gruna",0.8317058066974706
2012,10 StB Leuben,0.8166056636486226
2012,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",0.8571105072463768
2012,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",0.8020368808002892
2012,"13 Südvorstadt, Zschertnitz",0.8728169837044731
2012,"14 Mockritz, Coschütz, Plauen",0.8106348345089528
2012,"15 Cotta, Löbtau, Naußlitz, Dölzschen",0.8299403841907705
2012,16 Gorbitz,0.860699755899105
2012,17 Briesnitz und westliche OS,0.7816315205327414
2013,01 StB Altstadt ohne Johannstadt,0.9101475915013245
2013,02 Johannstadt,0.8763977485928706
2013,03 StB Neustadt ohne Leipziger Vorstadt,0.8224272799662747
