Jahr,Stadtraum,Anzahl_Kinder_pro_Haushalt
2004,01 StB Altstadt ohne Johannstadt,1.6339285714285714
2004,02 Johannstadt,1.5982142857142856
2004,03 StB Neustadt ohne Leipziger Vorstadt,1.5787671232876712
2004,"04 Leipziger Vorstadt, Pieschen",1.5874560729189546
2004,"05 Mickten, Kaditz, Trachau",1.5708092485549132
2004,06 StB Klotzsche und nördliche OS,1.5589430894308944
2004,07 StB Loschwitz und OS Schönfeld-Weißig,1.5783333333333334
2004,"08 Blasewitz, Striesen",1.5434782608695652
2004,"09 Tolkewitz, Seidnitz, Gruna",1.5664556962025316
2004,10 StB Leuben,1.574579831932773
2004,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.6075418994413408
2004,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5887755102040817
2004,"13 Südvorstadt, Zschertnitz",1.5792682926829267
2004,"14 Mockritz, Coschütz, Plauen",1.5696969696969698
2004,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.569672131147541
2004,16 Gorbitz,1.6457055214723928
2004,17 Briesnitz und westliche OS,1.5366666666666666
2005,01 StB Altstadt ohne Johannstadt,1.6192660550458715
2005,02 Johannstadt,1.59251968503937
2005,03 StB Neustadt ohne Leipziger Vorstadt,1.5759911894273126
2005,"04 Leipziger Vorstadt, Pieschen",1.5846705046545813
2005,"05 Mickten, Kaditz, Trachau",1.5709876543209877
2005,06 StB Klotzsche und nördliche OS,1.5627530364372468
2005,07 StB Loschwitz und OS Schönfeld-Weißig,1.5702341137123745
2005,"08 Blasewitz, Striesen",1.5555555555555556
2005,"09 Tolkewitz, Seidnitz, Gruna",1.5701219512195121
2005,10 StB Leuben,1.5622529644268774
2005,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.5909090909090908
2005,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.588709677419355
2005,"13 Südvorstadt, Zschertnitz",1.5717213114754098
2005,"14 Mockritz, Coschütz, Plauen",1.564935064935065
2005,"15 Cotta, Löbtau, Naußlitz, Dölzschen",1.5760233918128654
2005,16 Gorbitz,1.6597633136094676
2005,17 Briesnitz und westliche OS,1.5330188679245285
2006,01 StB Altstadt ohne Johannstadt,1.6
2006,02 Johannstadt,1.5940170940170941
2006,03 StB Neustadt ohne Leipziger Vorstadt,1.5678879310344827
2006,"04 Leipziger Vorstadt, Pieschen",1.5982393916155417
2006,"05 Mickten, Kaditz, Trachau",1.573611111111111
2006,06 StB Klotzsche und nördliche OS,1.560377358490566
2006,07 StB Loschwitz und OS Schönfeld-Weißig,1.5625
2006,"08 Blasewitz, Striesen",1.5467741935483872
2006,"09 Tolkewitz, Seidnitz, Gruna",1.5679190751445087
2006,10 StB Leuben,1.5698818897637796
2006,"11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben)",1.5958083832335328
2006,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben)",1.5855855855855856
